block_number,trial_number,state_id,stim_id,action,w_values
0,31872,State AE,AE,1,"[np.float64(-0.036810946262702614), np.float64(0.11548221239750663)]"
0,31873,State BG,BG,1,"[np.float64(-0.9631890537372975), np.float64(0.46354859928056535)]"
0,31874,State AN,AN,0,"[np.float64(-0.036810946262702614), np.float64(-0.15)]"
0,31875,State GH,GH,0,"[np.float64(0.46354859928056535), np.float64(-0.5364514007194346)]"
0,31876,State EH,EH,0,"[np.float64(0.11548221239750663), np.float64(-0.5364514007194346)]"
0,31877,State EF,EF,0,"[np.float64(0.11548221239750663), np.float64(-0.8845177876024934)]"
0,31878,State DG,DG,1,"[np.float64(-0.8499725111009115), np.float64(0.46354859928056535)]"
0,31879,State CN,CN,0,"[np.float64(0.15002748889908846), np.float64(-0.15)]"
0,31880,State AD,AD,0,"[np.float64(-0.036810946262702614), np.float64(-0.8499725111009115)]"
0,31881,State BF,BF,1,"[np.float64(-0.9631890537372975), np.float64(-0.8845177876024934)]"
0,31882,State GH,GH,0,"[np.float64(0.46354859928056535), np.float64(-0.5364514007194346)]"
0,31883,State GH,GH,0,"[np.float64(0.46354859928056535), np.float64(-0.5364514007194346)]"
0,31884,State DN,DN,1,"[np.float64(-0.8499725111009115), np.float64(-0.15)]"
0,31885,State CN,CN,0,"[np.float64(0.15002748889908846), np.float64(-0.15)]"
0,31886,State AF,AF,0,"[np.float64(-0.036810946262702614), np.float64(-0.8845177876024934)]"
0,31887,State GN,GN,0,"[np.float64(0.46354859928056535), np.float64(-0.15)]"
0,31888,State FN,FN,1,"[np.float64(-0.8845177876024934), np.float64(-0.15)]"
0,31889,State CH,CH,0,"[np.float64(0.15002748889908846), np.float64(-0.5364514007194346)]"
0,31890,State AB,AB,0,"[np.float64(-0.036810946262702614), np.float64(-0.9631890537372975)]"
0,31891,State EN,EN,0,"[np.float64(0.11548221239750663), np.float64(-0.15)]"
0,31892,State DF,DF,1,"[np.float64(-0.8499725111009115), np.float64(-0.8845177876024934)]"
0,31893,State CH,CH,0,"[np.float64(0.15002748889908846), np.float64(-0.5364514007194346)]"
0,31894,State EN,EN,0,"[np.float64(0.11548221239750663), np.float64(-0.15)]"
0,31895,State BE,BE,1,"[np.float64(-0.9631890537372975), np.float64(0.11548221239750663)]"
0,31896,State AG,AG,1,"[np.float64(-0.036810946262702614), np.float64(0.46354859928056535)]"
0,31897,State DF,DF,1,"[np.float64(-0.8499725111009115), np.float64(-0.8845177876024934)]"
0,31898,State CH,CH,0,"[np.float64(0.15002748889908846), np.float64(-0.5364514007194346)]"
0,31899,State GF,GF,0,"[np.float64(0.46354859928056535), np.float64(-0.8845177876024934)]"
0,31900,State CE,CE,0,"[np.float64(0.15002748889908846), np.float64(0.11548221239750663)]"
0,31901,State BN,BN,1,"[np.float64(-0.9631890537372975), np.float64(-0.15)]"
0,31902,State DG,DG,1,"[np.float64(-0.8499725111009115), np.float64(0.46354859928056535)]"
0,31903,State GH,GH,0,"[np.float64(0.46354859928056535), np.float64(-0.5364514007194346)]"
0,31904,State DN,DN,1,"[np.float64(-0.8499725111009115), np.float64(-0.15)]"
0,31905,State AH,AH,0,"[np.float64(-0.036810946262702614), np.float64(-0.5364514007194346)]"
0,31906,State AN,AN,1,"[np.float64(-0.036810946262702614), np.float64(-0.15)]"
0,31907,State AB,AB,0,"[np.float64(-0.036810946262702614), np.float64(-0.9631890537372975)]"
0,31908,State EN,EN,0,"[np.float64(0.11548221239750663), np.float64(-0.15)]"
0,31909,State AD,AD,0,"[np.float64(-0.036810946262702614), np.float64(-0.8499725111009115)]"
0,31910,State AD,AD,0,"[np.float64(-0.036810946262702614), np.float64(-0.8499725111009115)]"
0,31911,State GF,GF,0,"[np.float64(0.46354859928056535), np.float64(-0.8845177876024934)]"
0,31912,State EF,EF,0,"[np.float64(0.11548221239750663), np.float64(-0.8845177876024934)]"
0,31913,State BH,BH,1,"[np.float64(-0.9631890537372975), np.float64(-0.5364514007194346)]"
0,31914,State EN,EN,0,"[np.float64(0.11548221239750663), np.float64(-0.15)]"
0,31915,State BN,BN,1,"[np.float64(-0.9631890537372975), np.float64(-0.15)]"
0,31916,State AE,AE,1,"[np.float64(-0.036810946262702614), np.float64(0.11548221239750663)]"
0,31917,State CE,CE,1,"[np.float64(0.15002748889908846), np.float64(0.11548221239750663)]"
0,31918,State DH,DH,1,"[np.float64(-0.8499725111009115), np.float64(-0.5364514007194346)]"
0,31919,State DF,DF,0,"[np.float64(-0.8499725111009115), np.float64(-0.8845177876024934)]"
0,31920,State DH,DH,1,"[np.float64(-0.8499725111009115), np.float64(-0.5364514007194346)]"
