block_number,trial_number,state_id,stim_id,q_values,action,w_values
0,6912,State GF,GF,"[np.float64(-0.1127463710714964), np.float64(-0.8180914945321489)]",0,"[np.float64(0.01646366639660984), np.float64(-0.9929990734108538)]"
0,6913,State DH,DH,"[np.float64(0.0008823476819844198), np.float64(-0.6762058507907591)]",0,"[np.float64(-0.9372853842942364), np.float64(-0.9835363336033901)]"
0,6914,State AH,AH,"[np.float64(0.7208940821197858), np.float64(-0.6762058507907591)]",0,"[np.float64(0.18353753190175304), np.float64(-0.9835363336033901)]"
0,6915,State AF,AF,"[np.float64(0.7208940821197858), np.float64(-0.8180914945321489)]",0,"[np.float64(0.18353753190175304), np.float64(-0.9929990734108538)]"
0,6916,State CN,CN,"[np.float64(0.7670145339926397), np.float64(-0.41)]",0,"[np.float64(0.06271461570576368), np.float64(-0.41)]"
0,6917,State EF,EF,"[np.float64(-0.28480838855366364), np.float64(-0.8180914945321489)]",0,"[np.float64(-0.007000926589146109), np.float64(-0.9929990734108538)]"
0,6918,State AN,AN,"[np.float64(0.7208940821197858), np.float64(-0.41)]",0,"[np.float64(0.18353753190175304), np.float64(-0.41)]"
0,6919,State BH,BH,"[np.float64(0.5524065672864904), np.float64(-0.6762058507907591)]",0,"[np.float64(-0.816462468098247), np.float64(-0.9835363336033901)]"
0,6920,State AB,AB,"[np.float64(0.7208940821197858), np.float64(0.5524065672864904)]",0,"[np.float64(0.18353753190175304), np.float64(-0.816462468098247)]"
0,6921,State DF,DF,"[np.float64(0.0008823476819844198), np.float64(-0.8180914945321489)]",0,"[np.float64(-0.9372853842942364), np.float64(-0.9929990734108538)]"
0,6922,State DG,DG,"[np.float64(0.0008823476819844198), np.float64(-0.1127463710714964)]",1,"[np.float64(-0.9372853842942364), np.float64(0.01646366639660984)]"
0,6923,State AE,AE,"[np.float64(0.7208940821197858), np.float64(-0.28480838855366364)]",0,"[np.float64(0.18353753190175304), np.float64(-0.007000926589146109)]"
0,6924,State EN,EN,"[np.float64(-0.28480838855366364), np.float64(-0.41)]",1,"[np.float64(-0.007000926589146109), np.float64(-0.41)]"
0,6925,State AE,AE,"[np.float64(0.7208940821197858), np.float64(-0.28480838855366364)]",0,"[np.float64(0.18353753190175304), np.float64(-0.007000926589146109)]"
0,6926,State BN,BN,"[np.float64(0.5524065672864904), np.float64(-0.41)]",1,"[np.float64(-0.816462468098247), np.float64(-0.41)]"
0,6927,State BN,BN,"[np.float64(0.5524065672864904), np.float64(-0.41)]",0,"[np.float64(-0.816462468098247), np.float64(-0.41)]"
0,6928,State GN,GN,"[np.float64(-0.1127463710714964), np.float64(-0.41)]",0,"[np.float64(0.01646366639660984), np.float64(-0.41)]"
0,6929,State BF,BF,"[np.float64(0.5524065672864904), np.float64(-0.8180914945321489)]",0,"[np.float64(-0.816462468098247), np.float64(-0.9929990734108538)]"
0,6930,State BN,BN,"[np.float64(0.5524065672864904), np.float64(-0.41)]",1,"[np.float64(-0.816462468098247), np.float64(-0.41)]"
0,6931,State CH,CH,"[np.float64(0.7670145339926397), np.float64(-0.6762058507907591)]",0,"[np.float64(0.06271461570576368), np.float64(-0.9835363336033901)]"
0,6932,State DN,DN,"[np.float64(0.0008823476819844198), np.float64(-0.41)]",1,"[np.float64(-0.9372853842942364), np.float64(-0.41)]"
0,6933,State HN,HN,"[np.float64(-0.6762058507907591), np.float64(-0.41)]",1,"[np.float64(-0.9835363336033901), np.float64(-0.41)]"
0,6934,State AN,AN,"[np.float64(0.7208940821197858), np.float64(-0.41)]",0,"[np.float64(0.18353753190175304), np.float64(-0.41)]"
0,6935,State EH,EH,"[np.float64(-0.28480838855366364), np.float64(-0.6762058507907591)]",0,"[np.float64(-0.007000926589146109), np.float64(-0.9835363336033901)]"
0,6936,State CH,CH,"[np.float64(0.7670145339926397), np.float64(-0.6762058507907591)]",0,"[np.float64(0.06271461570576368), np.float64(-0.9835363336033901)]"
0,6937,State CG,CG,"[np.float64(0.7670145339926397), np.float64(-0.1127463710714964)]",0,"[np.float64(0.06271461570576368), np.float64(0.01646366639660984)]"
0,6938,State GN,GN,"[np.float64(-0.1127463710714964), np.float64(-0.41)]",0,"[np.float64(0.01646366639660984), np.float64(-0.41)]"
0,6939,State AB,AB,"[np.float64(0.7208940821197858), np.float64(0.5524065672864904)]",0,"[np.float64(0.18353753190175304), np.float64(-0.816462468098247)]"
0,6940,State HN,HN,"[np.float64(-0.6762058507907591), np.float64(-0.41)]",1,"[np.float64(-0.9835363336033901), np.float64(-0.41)]"
0,6941,State AE,AE,"[np.float64(0.7208940821197858), np.float64(-0.28480838855366364)]",0,"[np.float64(0.18353753190175304), np.float64(-0.007000926589146109)]"
0,6942,State EN,EN,"[np.float64(-0.28480838855366364), np.float64(-0.41)]",0,"[np.float64(-0.007000926589146109), np.float64(-0.41)]"
