block_number,trial_number,state_id,stim_id,q_values,action
0,1152,State EH,EH,"[np.float64(-0.001624945104263786), np.float64(-0.9189713741685583)]",0
0,1153,State CN,CN,"[np.float64(0.9996909391346894), np.float64(0.71)]",0
0,1154,State CF,CF,"[np.float64(0.9996909391346894), np.float64(-0.7580579729349016)]",0
0,1155,State CH,CH,"[np.float64(0.9996909391346894), np.float64(-0.9189713741685583)]",0
0,1156,State HN,HN,"[np.float64(-0.9189713741685583), np.float64(0.71)]",1
0,1157,State EH,EH,"[np.float64(-0.001624945104263786), np.float64(-0.9189713741685583)]",0
0,1158,State DG,DG,"[np.float64(0.15917725968286833), np.float64(-0.18281401026621155)]",0
0,1159,State FN,FN,"[np.float64(-0.7580579729349016), np.float64(0.71)]",1
0,1160,State BG,BG,"[np.float64(0.49204940796809427), np.float64(-0.18281401026621155)]",0
0,1161,State DE,DE,"[np.float64(0.15917725968286833), np.float64(-0.001624945104263786)]",0
0,1162,State AF,AF,"[np.float64(0.846767921524025), np.float64(-0.7580579729349016)]",0
0,1163,State AD,AD,"[np.float64(0.846767921524025), np.float64(0.15917725968286833)]",0
0,1164,State GF,GF,"[np.float64(-0.18281401026621155), np.float64(-0.7580579729349016)]",0
0,1165,State DG,DG,"[np.float64(0.15917725968286833), np.float64(-0.18281401026621155)]",0
0,1166,State DN,DN,"[np.float64(0.15917725968286833), np.float64(0.71)]",1
0,1167,State BF,BF,"[np.float64(0.49204940796809427), np.float64(-0.7580579729349016)]",0
0,1168,State CF,CF,"[np.float64(0.9996909391346894), np.float64(-0.7580579729349016)]",0
0,1169,State AG,AG,"[np.float64(0.846767921524025), np.float64(-0.18281401026621155)]",0
0,1170,State DH,DH,"[np.float64(0.15917725968286833), np.float64(-0.9189713741685583)]",0
0,1171,State BE,BE,"[np.float64(0.49204940796809427), np.float64(-0.001624945104263786)]",0
0,1172,State DH,DH,"[np.float64(0.15917725968286833), np.float64(-0.9189713741685583)]",0
0,1173,State GN,GN,"[np.float64(-0.18281401026621155), np.float64(0.71)]",1
0,1174,State AN,AN,"[np.float64(0.846767921524025), np.float64(0.71)]",0
0,1175,State AH,AH,"[np.float64(0.846767921524025), np.float64(-0.9189713741685583)]",0
0,1176,State DH,DH,"[np.float64(0.15917725968286833), np.float64(-0.9189713741685583)]",0
0,1177,State BE,BE,"[np.float64(0.49204940796809427), np.float64(-0.001624945104263786)]",0
0,1178,State EH,EH,"[np.float64(-0.001624945104263786), np.float64(-0.9189713741685583)]",0
0,1179,State CF,CF,"[np.float64(0.9996909391346894), np.float64(-0.7580579729349016)]",0
0,1180,State BF,BF,"[np.float64(0.49204940796809427), np.float64(-0.7580579729349016)]",0
0,1181,State AD,AD,"[np.float64(0.846767921524025), np.float64(0.15917725968286833)]",0
0,1182,State AH,AH,"[np.float64(0.846767921524025), np.float64(-0.9189713741685583)]",0
0,1183,State BG,BG,"[np.float64(0.49204940796809427), np.float64(-0.18281401026621155)]",0
0,1184,State CG,CG,"[np.float64(0.9996909391346894), np.float64(-0.18281401026621155)]",0
0,1185,State GF,GF,"[np.float64(-0.18281401026621155), np.float64(-0.7580579729349016)]",0
0,1186,State EF,EF,"[np.float64(-0.001624945104263786), np.float64(-0.7580579729349016)]",0
0,1187,State AG,AG,"[np.float64(0.846767921524025), np.float64(-0.18281401026621155)]",0
0,1188,State CE,CE,"[np.float64(0.9996909391346894), np.float64(-0.001624945104263786)]",0
0,1189,State HN,HN,"[np.float64(-0.9189713741685583), np.float64(0.71)]",1
0,1190,State BN,BN,"[np.float64(0.49204940796809427), np.float64(0.71)]",1
0,1191,State DN,DN,"[np.float64(0.15917725968286833), np.float64(0.71)]",1
0,1192,State AD,AD,"[np.float64(0.846767921524025), np.float64(0.15917725968286833)]",0
0,1193,State AB,AB,"[np.float64(0.846767921524025), np.float64(0.49204940796809427)]",0
0,1194,State DF,DF,"[np.float64(0.15917725968286833), np.float64(-0.7580579729349016)]",0
0,1195,State AF,AF,"[np.float64(0.846767921524025), np.float64(-0.7580579729349016)]",0
0,1196,State FN,FN,"[np.float64(-0.7580579729349016), np.float64(0.71)]",1
0,1197,State CN,CN,"[np.float64(0.9996909391346894), np.float64(0.71)]",0
0,1198,State GF,GF,"[np.float64(-0.18281401026621155), np.float64(-0.7580579729349016)]",0
0,1199,State BF,BF,"[np.float64(0.49204940796809427), np.float64(-0.7580579729349016)]",0
0,1200,State CD,CD,"[np.float64(0.9996909391346894), np.float64(0.15917725968286833)]",0
0,1201,State CH,CH,"[np.float64(0.9996909391346894), np.float64(-0.9189713741685583)]",0
0,1202,State CD,CD,"[np.float64(0.9996909391346894), np.float64(0.15917725968286833)]",0
0,1203,State AH,AH,"[np.float64(0.846767921524025), np.float64(-0.9189713741685583)]",0
0,1204,State AE,AE,"[np.float64(0.846767921524025), np.float64(-0.001624945104263786)]",0
0,1205,State EF,EF,"[np.float64(-0.001624945104263786), np.float64(-0.7580579729349016)]",0
0,1206,State GH,GH,"[np.float64(-0.18281401026621155), np.float64(-0.9189713741685583)]",0
0,1207,State AF,AF,"[np.float64(0.846767921524025), np.float64(-0.7580579729349016)]",0
0,1208,State DG,DG,"[np.float64(0.15917725968286833), np.float64(-0.18281401026621155)]",0
0,1209,State CE,CE,"[np.float64(0.9996909391346894), np.float64(-0.001624945104263786)]",0
0,1210,State AD,AD,"[np.float64(0.846767921524025), np.float64(0.15917725968286833)]",0
0,1211,State GN,GN,"[np.float64(-0.18281401026621155), np.float64(0.71)]",1
0,1212,State DN,DN,"[np.float64(0.15917725968286833), np.float64(0.71)]",1
0,1213,State GN,GN,"[np.float64(-0.18281401026621155), np.float64(0.71)]",1
0,1214,State AD,AD,"[np.float64(0.846767921524025), np.float64(0.15917725968286833)]",0
0,1215,State CG,CG,"[np.float64(0.9996909391346894), np.float64(-0.18281401026621155)]",0
0,1216,State DG,DG,"[np.float64(0.15917725968286833), np.float64(-0.18281401026621155)]",0
0,1217,State CF,CF,"[np.float64(0.9996909391346894), np.float64(-0.7580579729349016)]",0
0,1218,State DG,DG,"[np.float64(0.15917725968286833), np.float64(-0.18281401026621155)]",1
0,1219,State DH,DH,"[np.float64(0.15917725968286833), np.float64(-0.9189713741685583)]",0
0,1220,State CH,CH,"[np.float64(0.9996909391346894), np.float64(-0.9189713741685583)]",0
0,1221,State DE,DE,"[np.float64(0.15917725968286833), np.float64(-0.001624945104263786)]",0
0,1222,State CG,CG,"[np.float64(0.9996909391346894), np.float64(-0.18281401026621155)]",0
