block_number,trial_number,state_index,state_id,stim_id,context,feedback,probabilities,rewards,q_values,action,prediction_errors,correct_action,accuracy,context_value,context_prediction_errors,trial_total,averaged_pe,q_values1,q_values2
0,1,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[0, 0]",1,"[1, 0]",0,0,[0.45],[0.5],1,0.5,0.0,0.0
0,1,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[0, 0]",0,"[-1, -1]",0,1,[-0.9],[-1.],1,-1.0,0.0,0.0
0,1,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[0, 0]",1,"[1, 0]",0,0,[0.45],[0.5],1,0.5,0.0,0.0
0,1,0,State EF,"['E', 'F']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[0, 0]",0,"[-1, -1]",0,1,[-0.9],[-1.],1,-1.0,0.0,0.0
0,2,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.05), np.float64(0.0)]",1,"[np.float64(0.5), np.float64(-0.45)]",0,0,[0.495],[0.05],2,0.024999999999999994,0.05,0.0
0,2,0,State GH,"['G', 'H']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(-0.42), np.float64(-0.05)]",1,"[np.float64(0.32), np.float64(-0.049999999999999975)]",0,0,[-0.99],[-0.1],2,0.135,-0.42,-0.05
0,2,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(-0.42), np.float64(-0.05)]",1,"[np.float64(0.32), np.float64(-0.049999999999999975)]",0,0,[-0.99],[-0.1],2,0.135,-0.42,-0.05
0,2,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.05), np.float64(0.0)]",0,"[np.float64(0.5), np.float64(-0.45)]",0,1,[0.495],[0.05],2,0.024999999999999994,0.05,0.0
0,3,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]","[np.float64(-0.40399999999999997), np.float64(-0.071)]",0,"[np.float64(1.394), np.float64(1.061)]",0,1,[-0.099],[0.99],3,1.2275,-0.40399999999999997,-0.071
0,3,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(-0.40399999999999997), np.float64(-0.071)]",1,"[np.float64(1.394), np.float64(0.060999999999999985)]",0,0,[-0.549],[0.49],3,0.7274999999999999,-0.40399999999999997,-0.071
0,3,0,State AB,"['B', 'A']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(0.07500000000000001), np.float64(-0.189)]",0,"[np.float64(-0.5700000000000001), np.float64(-0.306)]",0,1,[0.0495],[-0.495],3,-0.43800000000000006,0.07500000000000001,-0.189
0,4,0,State EF,"['F', 'E']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]","[np.float64(0.18147999999999992), np.float64(-0.017949999999999994)]",0,"[np.float64(-0.08247999999999994), np.float64(0.11694999999999997)]",0,1,[-0.0099],[0.099],4,0.017235000000000014,0.18147999999999992,-0.017949999999999994
0,4,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(-0.3343), np.float64(-0.045380000000000004)]",1,"[np.float64(0.8833), np.float64(-0.4056200000000001)]",0,0,[-0.5049],[0.049],4,0.23883999999999994,-0.3343,-0.045380000000000004
0,3,0,State CD,"['C', 'D']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[np.float64(0.26), np.float64(-0.022500000000000003)]",1,"[np.float64(0.245), np.float64(0.5275)]",0,0,[0.9495],[0.505],3,0.38625,0.26,-0.022500000000000003
0,4,0,State AB,"['A', 'B']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(-0.16440000000000002), np.float64(-0.2043)]",0,"[np.float64(0.11490000000000003), np.float64(0.15480000000000002)]",0,1,[0.00495],[-0.0495],4,0.13485000000000003,-0.16440000000000002,-0.2043
0,4,0,State CD,"['D', 'C']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[np.float64(0.27225), np.float64(0.19904999999999998)]",0,"[np.float64(-0.22175), np.float64(-0.14855)]",0,1,[0.99495],[0.0505],4,-0.18514999999999998,0.27225,0.19904999999999998
0,5,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(0.14683839999999995), np.float64(-0.012102499999999995)]",0,"[np.float64(-0.13693839999999996), np.float64(-0.9779975)]",0,1,[-0.45099],[-0.4901],5,-0.5574679499999999,0.14683839999999995,-0.012102499999999995
0,5,0,State AB,"['A', 'B']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[np.float64(-0.11614200000000001), np.float64(-0.19656)]",0,"[np.float64(1.111192), np.float64(1.19161)]",0,1,[0.900495],[0.99505],5,1.151401,-0.11614200000000001,-0.19656
0,5,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(-0.290135), np.float64(-0.21574040000000003)]",0,"[np.float64(0.7950349999999999), np.float64(-0.27935959999999993)]",0,1,[-0.50049],[0.0049],5,0.2578377,-0.290135,-0.21574040000000003
0,6,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(0.04377969999999998), np.float64(-0.22970838000000002)]",0,"[np.float64(0.4567103), np.float64(-0.26980161999999996)]",0,1,[-0.500049],[0.00049],6,0.09345434000000002,0.04377969999999998,-0.22970838000000002
0,6,0,State AB,"['B', 'A']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[np.float64(0.3505586399999999), np.float64(-0.1369795)]",0,"[np.float64(-0.25105363999999997), np.float64(0.23648449999999996)]",0,1,[0.9900495],[0.099505],6,-0.007284570000000004,0.3505586399999999,-0.1369795
0,6,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(0.08932427199999997), np.float64(-0.061002375)]",1,"[np.float64(0.361665728), np.float64(-0.488007625)]",0,0,[-0.495099],[-0.04901],6,-0.06317094849999999,0.08932427199999997,-0.061002375
0,5,0,State CD,"['D', 'C']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(0.179115), np.float64(0.19162249999999997)]",0,"[np.float64(-1.174065), np.float64(-1.1865725)]",0,1,[0.099495],[-0.99495],5,-1.18031875,0.179115,0.19162249999999997
0,6,0,State CD,"['C', 'D']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(-0.3139923), np.float64(0.13229387499999998)]",1,"[np.float64(0.2144973), np.float64(-0.23178887499999998)]",0,0,[0.0099495],[-0.099495],6,-0.008645787499999988,-0.3139923,0.13229387499999998
0,7,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(0.235598026), np.float64(-0.243198461)]",0,"[np.float64(0.26445097399999995), np.float64(-0.25675253900000006)]",0,1,[-0.5000049],[4.9e-05],7,0.0038492174999999462,0.235598026,-0.243198461
0,7,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(0.10740755839999996), np.float64(-0.2659655775)]",0,"[np.float64(-0.6123085584), np.float64(-0.23893542250000005)]",0,1,[-0.9495099],[-0.504901],7,-0.42562199045000004,0.10740755839999996,-0.2659655775
0,7,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.24511611119999993), np.float64(-0.125155275)]",0,"[np.float64(-0.23516561119999996), np.float64(-0.864894225)]",0,1,[0.54900495],[-0.4900495],7,-0.5500299181,0.24511611119999993,-0.125155275
0,7,0,State CD,"['D', 'C']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(-0.303267435), np.float64(0.03494254749999999)]",1,"[np.float64(0.293317935), np.float64(-0.04489204749999999)]",0,0,[0.00099495],[-0.0099495],7,0.12421294375,-0.303267435,0.03494254749999999
0,8,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(0.34666743508), np.float64(-0.25603608795)]",0,"[np.float64(0.15333746492), np.float64(-0.24395901205000003)]",0,1,[-0.50000049],[4.9e-06],8,-0.04531077356500002,0.34666743508,-0.25603608795
0,8,0,State CD,"['C', 'D']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(-0.28860153824999996), np.float64(0.016087887549999996)]",0,"[np.float64(0.28760658824999996), np.float64(-0.017082837549999993)]",0,1,[9.9495e-05],[-0.00099495],8,0.13526187534999998,-0.28860153824999996,0.016087887549999996
0,8,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.14634655449599995), np.float64(-0.16839998625000002)]",0,"[np.float64(0.30464849550399997), np.float64(-0.38060496375)]",0,1,[0.5049005],[-0.04900495],8,-0.037978234123000026,0.14634655449599995,-0.16839998625000002
0,8,0,State EF,"['E', 'F']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(-0.14976203612800001), np.float64(-0.27791234862499997)]",0,"[np.float64(0.09927193612800003), np.float64(0.227422248625)]",0,1,[-0.99495099],[-0.0504901],8,0.16334709237650002,-0.14976203612800001,-0.27791234862499997
