block_number,trial_number,state_id,stim_id,q_values,action
0,91008,State DF,DF,"[np.float64(-0.32191631922791464), np.float64(-0.43981651292053525)]",0
0,91009,State AF,AF,"[np.float64(0.36122893059772154), np.float64(-0.43981651292053525)]",0
0,91010,State DG,DG,"[np.float64(-0.32191631922791464), np.float64(0.5186203267742343)]",1
0,91011,State BE,BE,"[np.float64(-0.217491539370388), np.float64(-0.1515377196990843)]",0
0,91012,State CB,CB,"[np.float64(0.08692404370995133), np.float64(-0.217491539370388)]",0
0,91013,State BN,BN,"[np.float64(-0.217491539370388), np.float64(-0.04)]",1
0,91014,State AG,AG,"[np.float64(0.36122893059772154), np.float64(0.5186203267742343)]",1
0,91015,State HN,HN,"[np.float64(-0.48872729706022755), np.float64(-0.04)]",1
0,91016,State BE,BE,"[np.float64(-0.217491539370388), np.float64(-0.1515377196990843)]",1
0,91017,State BH,BH,"[np.float64(-0.217491539370388), np.float64(-0.48872729706022755)]",0
0,91018,State CH,CH,"[np.float64(0.08692404370995133), np.float64(-0.48872729706022755)]",0
0,91019,State CG,CG,"[np.float64(0.08692404370995133), np.float64(0.5186203267742343)]",1
0,91020,State EF,EF,"[np.float64(-0.1515377196990843), np.float64(-0.43981651292053525)]",0
0,91021,State DH,DH,"[np.float64(-0.32191631922791464), np.float64(-0.48872729706022755)]",0
0,91022,State AE,AE,"[np.float64(0.36122893059772154), np.float64(-0.1515377196990843)]",0
0,91023,State EH,EH,"[np.float64(-0.1515377196990843), np.float64(-0.48872729706022755)]",0
0,91024,State EH,EH,"[np.float64(-0.1515377196990843), np.float64(-0.48872729706022755)]",0
0,91025,State CH,CH,"[np.float64(0.08692404370995133), np.float64(-0.48872729706022755)]",0
0,91026,State BF,BF,"[np.float64(-0.217491539370388), np.float64(-0.43981651292053525)]",0
0,91027,State BG,BG,"[np.float64(-0.217491539370388), np.float64(0.5186203267742343)]",1
0,91028,State BH,BH,"[np.float64(-0.217491539370388), np.float64(-0.48872729706022755)]",0
0,91029,State EH,EH,"[np.float64(-0.1515377196990843), np.float64(-0.48872729706022755)]",0
0,91030,State EF,EF,"[np.float64(-0.1515377196990843), np.float64(-0.43981651292053525)]",0
0,91031,State AG,AG,"[np.float64(0.36122893059772154), np.float64(0.5186203267742343)]",1
0,91032,State CN,CN,"[np.float64(0.08692404370995133), np.float64(-0.04)]",0
0,91033,State BG,BG,"[np.float64(-0.217491539370388), np.float64(0.5186203267742343)]",1
0,91034,State CG,CG,"[np.float64(0.08692404370995133), np.float64(0.5186203267742343)]",1
0,91035,State CH,CH,"[np.float64(0.08692404370995133), np.float64(-0.48872729706022755)]",0
0,91036,State AF,AF,"[np.float64(0.36122893059772154), np.float64(-0.43981651292053525)]",0
0,91037,State AH,AH,"[np.float64(0.36122893059772154), np.float64(-0.48872729706022755)]",0
0,91038,State DH,DH,"[np.float64(-0.32191631922791464), np.float64(-0.48872729706022755)]",0
0,91039,State AD,AD,"[np.float64(0.36122893059772154), np.float64(-0.32191631922791464)]",0
0,91040,State GN,GN,"[np.float64(0.5186203267742343), np.float64(-0.04)]",0
0,91041,State DG,DG,"[np.float64(-0.32191631922791464), np.float64(0.5186203267742343)]",1
0,91042,State DG,DG,"[np.float64(-0.32191631922791464), np.float64(0.5186203267742343)]",1
0,91043,State DE,DE,"[np.float64(-0.32191631922791464), np.float64(-0.1515377196990843)]",1
0,91044,State AE,AE,"[np.float64(0.36122893059772154), np.float64(-0.1515377196990843)]",0
0,91045,State CF,CF,"[np.float64(0.08692404370995133), np.float64(-0.43981651292053525)]",0
0,91046,State HN,HN,"[np.float64(-0.48872729706022755), np.float64(-0.04)]",1
0,91047,State AH,AH,"[np.float64(0.36122893059772154), np.float64(-0.48872729706022755)]",0
0,91048,State BH,BH,"[np.float64(-0.217491539370388), np.float64(-0.48872729706022755)]",0
0,91049,State BF,BF,"[np.float64(-0.217491539370388), np.float64(-0.43981651292053525)]",0
0,91050,State AB,AB,"[np.float64(0.36122893059772154), np.float64(-0.217491539370388)]",0
0,91051,State BG,BG,"[np.float64(-0.217491539370388), np.float64(0.5186203267742343)]",1
0,91052,State CB,CB,"[np.float64(0.08692404370995133), np.float64(-0.217491539370388)]",0
0,91053,State DG,DG,"[np.float64(-0.32191631922791464), np.float64(0.5186203267742343)]",1
0,91054,State EF,EF,"[np.float64(-0.1515377196990843), np.float64(-0.43981651292053525)]",0
0,91055,State CH,CH,"[np.float64(0.08692404370995133), np.float64(-0.48872729706022755)]",0
0,91056,State DN,DN,"[np.float64(-0.32191631922791464), np.float64(-0.04)]",1
0,91057,State CG,CG,"[np.float64(0.08692404370995133), np.float64(0.5186203267742343)]",1
