block_number,trial_number,state_id,stim_id,q_values,action
0,40320,State HN,HN,"[np.float64(-0.41784334912357946), np.float64(0.9)]",1
0,40321,State AF,AF,"[np.float64(0.6165153383865554), np.float64(-0.6797825454283679)]",0
0,40322,State EH,EH,"[np.float64(0.3199998694134791), np.float64(-0.41784334912357946)]",0
0,40323,State DF,DF,"[np.float64(-0.2368357078343472), np.float64(-0.6797825454283679)]",0
0,40324,State CF,CF,"[np.float64(0.5459474347025296), np.float64(-0.6797825454283679)]",0
0,40325,State DH,DH,"[np.float64(-0.2368357078343472), np.float64(-0.41784334912357946)]",0
0,40326,State HN,HN,"[np.float64(-0.41784334912357946), np.float64(0.9)]",1
0,40327,State AN,AN,"[np.float64(0.6165153383865554), np.float64(0.9)]",0
0,40328,State AF,AF,"[np.float64(0.6165153383865554), np.float64(-0.6797825454283679)]",0
0,40329,State DH,DH,"[np.float64(-0.2368357078343472), np.float64(-0.41784334912357946)]",0
0,40330,State CH,CH,"[np.float64(0.5459474347025296), np.float64(-0.41784334912357946)]",0
0,40331,State AD,AD,"[np.float64(0.6165153383865554), np.float64(-0.2368357078343472)]",0
0,40332,State AD,AD,"[np.float64(0.6165153383865554), np.float64(-0.2368357078343472)]",0
0,40333,State CG,CG,"[np.float64(0.5459474347025296), np.float64(-0.19644067572638316)]",0
0,40334,State DE,DE,"[np.float64(-0.2368357078343472), np.float64(0.3199998694134791)]",1
0,40335,State GN,GN,"[np.float64(-0.19644067572638316), np.float64(0.9)]",1
0,40336,State EN,EN,"[np.float64(0.3199998694134791), np.float64(0.9)]",1
0,40337,State AD,AD,"[np.float64(0.6165153383865554), np.float64(-0.2368357078343472)]",0
0,40338,State AE,AE,"[np.float64(0.6165153383865554), np.float64(0.3199998694134791)]",1
0,40339,State AG,AG,"[np.float64(0.6165153383865554), np.float64(-0.19644067572638316)]",0
0,40340,State CE,CE,"[np.float64(0.5459474347025296), np.float64(0.3199998694134791)]",0
0,40341,State CB,CB,"[np.float64(0.5459474347025296), np.float64(-0.13386803773224978)]",0
0,40342,State BE,BE,"[np.float64(-0.13386803773224978), np.float64(0.3199998694134791)]",1
0,40343,State FN,FN,"[np.float64(-0.6797825454283679), np.float64(0.9)]",1
0,40344,State GF,GF,"[np.float64(-0.19644067572638316), np.float64(-0.6797825454283679)]",0
0,40345,State GH,GH,"[np.float64(-0.19644067572638316), np.float64(-0.41784334912357946)]",0
0,40346,State BG,BG,"[np.float64(-0.13386803773224978), np.float64(-0.19644067572638316)]",0
0,40347,State GF,GF,"[np.float64(-0.19644067572638316), np.float64(-0.6797825454283679)]",0
0,40348,State DF,DF,"[np.float64(-0.2368357078343472), np.float64(-0.6797825454283679)]",0
0,40349,State AB,AB,"[np.float64(0.6165153383865554), np.float64(-0.13386803773224978)]",0
0,40350,State AN,AN,"[np.float64(0.6165153383865554), np.float64(0.9)]",1
0,40351,State BF,BF,"[np.float64(-0.13386803773224978), np.float64(-0.6797825454283679)]",0
0,40352,State CN,CN,"[np.float64(0.5459474347025296), np.float64(0.9)]",1
0,40353,State GF,GF,"[np.float64(-0.19644067572638316), np.float64(-0.6797825454283679)]",0
0,40354,State BH,BH,"[np.float64(-0.13386803773224978), np.float64(-0.41784334912357946)]",0
0,40355,State GN,GN,"[np.float64(-0.19644067572638316), np.float64(0.9)]",1
0,40356,State BN,BN,"[np.float64(-0.13386803773224978), np.float64(0.9)]",1
0,40357,State AN,AN,"[np.float64(0.6165153383865554), np.float64(0.9)]",1
0,40358,State EF,EF,"[np.float64(0.3199998694134791), np.float64(-0.6797825454283679)]",0
0,40359,State EF,EF,"[np.float64(0.3199998694134791), np.float64(-0.6797825454283679)]",0
0,40360,State AD,AD,"[np.float64(0.6165153383865554), np.float64(-0.2368357078343472)]",0
0,40361,State DN,DN,"[np.float64(-0.2368357078343472), np.float64(0.9)]",1
0,40362,State AB,AB,"[np.float64(0.6165153383865554), np.float64(-0.13386803773224978)]",0
0,40363,State GH,GH,"[np.float64(-0.19644067572638316), np.float64(-0.41784334912357946)]",0
0,40364,State GN,GN,"[np.float64(-0.19644067572638316), np.float64(0.9)]",1
0,40365,State CF,CF,"[np.float64(0.5459474347025296), np.float64(-0.6797825454283679)]",0
0,40366,State CB,CB,"[np.float64(0.5459474347025296), np.float64(-0.13386803773224978)]",0
0,40367,State DG,DG,"[np.float64(-0.2368357078343472), np.float64(-0.19644067572638316)]",0
0,40368,State EF,EF,"[np.float64(0.3199998694134791), np.float64(-0.6797825454283679)]",0
0,40369,State FN,FN,"[np.float64(-0.6797825454283679), np.float64(0.9)]",1
0,40370,State BG,BG,"[np.float64(-0.13386803773224978), np.float64(-0.19644067572638316)]",0
0,40371,State CH,CH,"[np.float64(0.5459474347025296), np.float64(-0.41784334912357946)]",0
0,40372,State DH,DH,"[np.float64(-0.2368357078343472), np.float64(-0.41784334912357946)]",0
0,40373,State CG,CG,"[np.float64(0.5459474347025296), np.float64(-0.19644067572638316)]",0
0,40374,State CD,CD,"[np.float64(0.5459474347025296), np.float64(-0.2368357078343472)]",0
0,40375,State CD,CD,"[np.float64(0.5459474347025296), np.float64(-0.2368357078343472)]",0
0,40376,State HN,HN,"[np.float64(-0.41784334912357946), np.float64(0.9)]",1
0,40377,State CE,CE,"[np.float64(0.5459474347025296), np.float64(0.3199998694134791)]",0
0,40378,State BE,BE,"[np.float64(-0.13386803773224978), np.float64(0.3199998694134791)]",1
0,40379,State HN,HN,"[np.float64(-0.41784334912357946), np.float64(0.9)]",1
0,40380,State AN,AN,"[np.float64(0.6165153383865554), np.float64(0.9)]",1
0,40381,State CB,CB,"[np.float64(0.5459474347025296), np.float64(-0.13386803773224978)]",0
0,40382,State EF,EF,"[np.float64(0.3199998694134791), np.float64(-0.6797825454283679)]",0
0,40383,State BF,BF,"[np.float64(-0.13386803773224978), np.float64(-0.6797825454283679)]",0
0,40384,State BN,BN,"[np.float64(-0.13386803773224978), np.float64(0.9)]",1
0,40385,State EF,EF,"[np.float64(0.3199998694134791), np.float64(-0.6797825454283679)]",0
0,40386,State EH,EH,"[np.float64(0.3199998694134791), np.float64(-0.41784334912357946)]",0
0,40387,State BG,BG,"[np.float64(-0.13386803773224978), np.float64(-0.19644067572638316)]",0
0,40388,State DG,DG,"[np.float64(-0.2368357078343472), np.float64(-0.19644067572638316)]",1
