block_number,trial_number,state_id,stim_id,action,w_values
0,62208,State EN,EN,1,"[np.float64(0.03263733151954127), np.float64(-0.03)]"
0,62209,State CH,CH,0,"[np.float64(0.3015499500867455), np.float64(-0.8457265863570459)]"
0,62210,State CH,CH,0,"[np.float64(0.3015499500867455), np.float64(-0.8457265863570459)]"
0,62211,State AF,AF,0,"[np.float64(0.35811344694409575), np.float64(-0.9673626684804587)]"
0,62212,State DG,DG,1,"[np.float64(-0.6984500499132545), np.float64(-0.15427341364295402)]"
0,62213,State HN,HN,1,"[np.float64(-0.8457265863570459), np.float64(-0.03)]"
0,62214,State DE,DE,1,"[np.float64(-0.6984500499132545), np.float64(0.03263733151954127)]"
0,62215,State AE,AE,0,"[np.float64(0.35811344694409575), np.float64(0.03263733151954127)]"
0,62216,State BG,BG,1,"[np.float64(-0.6418865530559043), np.float64(-0.15427341364295402)]"
0,62217,State AE,AE,0,"[np.float64(0.35811344694409575), np.float64(0.03263733151954127)]"
0,62218,State DH,DH,0,"[np.float64(-0.6984500499132545), np.float64(-0.8457265863570459)]"
0,62219,State EN,EN,0,"[np.float64(0.03263733151954127), np.float64(-0.03)]"
0,62220,State BG,BG,1,"[np.float64(-0.6418865530559043), np.float64(-0.15427341364295402)]"
0,62221,State AB,AB,0,"[np.float64(0.35811344694409575), np.float64(-0.6418865530559043)]"
0,62222,State BG,BG,1,"[np.float64(-0.6418865530559043), np.float64(-0.15427341364295402)]"
0,62223,State BE,BE,1,"[np.float64(-0.6418865530559043), np.float64(0.03263733151954127)]"
0,62224,State AE,AE,0,"[np.float64(0.35811344694409575), np.float64(0.03263733151954127)]"
0,62225,State AG,AG,0,"[np.float64(0.35811344694409575), np.float64(-0.15427341364295402)]"
0,62226,State EH,EH,0,"[np.float64(0.03263733151954127), np.float64(-0.8457265863570459)]"
0,62227,State CE,CE,0,"[np.float64(0.3015499500867455), np.float64(0.03263733151954127)]"
0,62228,State CE,CE,1,"[np.float64(0.3015499500867455), np.float64(0.03263733151954127)]"
0,62229,State BF,BF,0,"[np.float64(-0.6418865530559043), np.float64(-0.9673626684804587)]"
0,62230,State FN,FN,1,"[np.float64(-0.9673626684804587), np.float64(-0.03)]"
0,62231,State DE,DE,1,"[np.float64(-0.6984500499132545), np.float64(0.03263733151954127)]"
0,62232,State GH,GH,0,"[np.float64(-0.15427341364295402), np.float64(-0.8457265863570459)]"
0,62233,State DG,DG,1,"[np.float64(-0.6984500499132545), np.float64(-0.15427341364295402)]"
0,62234,State EN,EN,1,"[np.float64(0.03263733151954127), np.float64(-0.03)]"
0,62235,State CN,CN,0,"[np.float64(0.3015499500867455), np.float64(-0.03)]"
0,62236,State EH,EH,0,"[np.float64(0.03263733151954127), np.float64(-0.8457265863570459)]"
0,62237,State DF,DF,0,"[np.float64(-0.6984500499132545), np.float64(-0.9673626684804587)]"
0,62238,State AD,AD,0,"[np.float64(0.35811344694409575), np.float64(-0.6984500499132545)]"
0,62239,State AB,AB,0,"[np.float64(0.35811344694409575), np.float64(-0.6418865530559043)]"
0,62240,State DG,DG,1,"[np.float64(-0.6984500499132545), np.float64(-0.15427341364295402)]"
0,62241,State GN,GN,0,"[np.float64(-0.15427341364295402), np.float64(-0.03)]"
0,62242,State AH,AH,0,"[np.float64(0.35811344694409575), np.float64(-0.8457265863570459)]"
0,62243,State DF,DF,0,"[np.float64(-0.6984500499132545), np.float64(-0.9673626684804587)]"
0,62244,State BE,BE,1,"[np.float64(-0.6418865530559043), np.float64(0.03263733151954127)]"
0,62245,State BF,BF,0,"[np.float64(-0.6418865530559043), np.float64(-0.9673626684804587)]"
0,62246,State CB,CB,0,"[np.float64(0.3015499500867455), np.float64(-0.6418865530559043)]"
0,62247,State CD,CD,0,"[np.float64(0.3015499500867455), np.float64(-0.6984500499132545)]"
0,62248,State EN,EN,0,"[np.float64(0.03263733151954127), np.float64(-0.03)]"
0,62249,State BE,BE,1,"[np.float64(-0.6418865530559043), np.float64(0.03263733151954127)]"
0,62250,State HN,HN,1,"[np.float64(-0.8457265863570459), np.float64(-0.03)]"
0,62251,State EN,EN,0,"[np.float64(0.03263733151954127), np.float64(-0.03)]"
0,62252,State AD,AD,0,"[np.float64(0.35811344694409575), np.float64(-0.6984500499132545)]"
0,62253,State CE,CE,0,"[np.float64(0.3015499500867455), np.float64(0.03263733151954127)]"
0,62254,State BG,BG,1,"[np.float64(-0.6418865530559043), np.float64(-0.15427341364295402)]"
0,62255,State CN,CN,0,"[np.float64(0.3015499500867455), np.float64(-0.03)]"
0,62256,State CB,CB,0,"[np.float64(0.3015499500867455), np.float64(-0.6418865530559043)]"
0,62257,State EH,EH,0,"[np.float64(0.03263733151954127), np.float64(-0.8457265863570459)]"
0,62258,State CD,CD,0,"[np.float64(0.3015499500867455), np.float64(-0.6984500499132545)]"
0,62259,State HN,HN,1,"[np.float64(-0.8457265863570459), np.float64(-0.03)]"
0,62260,State BH,BH,0,"[np.float64(-0.6418865530559043), np.float64(-0.8457265863570459)]"
0,62261,State CE,CE,0,"[np.float64(0.3015499500867455), np.float64(0.03263733151954127)]"
0,62262,State FN,FN,1,"[np.float64(-0.9673626684804587), np.float64(-0.03)]"
0,62263,State FN,FN,1,"[np.float64(-0.9673626684804587), np.float64(-0.03)]"
0,62264,State BH,BH,0,"[np.float64(-0.6418865530559043), np.float64(-0.8457265863570459)]"
0,62265,State AF,AF,0,"[np.float64(0.35811344694409575), np.float64(-0.9673626684804587)]"
0,62266,State CE,CE,0,"[np.float64(0.3015499500867455), np.float64(0.03263733151954127)]"
0,62267,State EH,EH,0,"[np.float64(0.03263733151954127), np.float64(-0.8457265863570459)]"
0,62268,State GH,GH,0,"[np.float64(-0.15427341364295402), np.float64(-0.8457265863570459)]"
0,62269,State AB,AB,0,"[np.float64(0.35811344694409575), np.float64(-0.6418865530559043)]"
0,62270,State CN,CN,0,"[np.float64(0.3015499500867455), np.float64(-0.03)]"
0,62271,State AB,AB,0,"[np.float64(0.35811344694409575), np.float64(-0.6418865530559043)]"
0,62272,State GF,GF,0,"[np.float64(-0.15427341364295402), np.float64(-0.9673626684804587)]"
0,62273,State DH,DH,0,"[np.float64(-0.6984500499132545), np.float64(-0.8457265863570459)]"
