block_number,trial_number,state_id,stim_id,q_values,action,w_values
0,51840,State GH,GH,"[np.float64(-0.4422979618654166), np.float64(-0.7719191873242413)]",0,"[np.float64(0.6572420270534568), np.float64(0.3427579729465432)]"
0,51841,State AN,AN,"[np.float64(0.7466441402796394), np.float64(-1.0)]",0,"[np.float64(0.0990377091989641), np.float64(-1.0)]"
0,51842,State BF,BF,"[np.float64(0.07918331322338143), np.float64(-0.46876311738506926)]",0,"[np.float64(-0.900962290801036), np.float64(-0.8238272598182378)]"
0,51843,State BG,BG,"[np.float64(0.07918331322338143), np.float64(-0.4422979618654166)]",1,"[np.float64(-0.900962290801036), np.float64(0.6572420270534568)]"
0,51844,State EN,EN,"[np.float64(-0.19168000118639866), np.float64(-1.0)]",0,"[np.float64(0.17617274018176232), np.float64(-1.0)]"
0,51845,State FN,FN,"[np.float64(-0.46876311738506926), np.float64(-1.0)]",0,"[np.float64(-0.8238272598182378), np.float64(-1.0)]"
0,51846,State CF,CF,"[np.float64(0.7687773405972363), np.float64(-0.46876311738506926)]",0,"[np.float64(0.056170663974048005), np.float64(-0.8238272598182378)]"
0,51847,State AN,AN,"[np.float64(0.7466441402796394), np.float64(-1.0)]",0,"[np.float64(0.0990377091989641), np.float64(-1.0)]"
0,51848,State AE,AE,"[np.float64(0.7466441402796394), np.float64(-0.19168000118639866)]",0,"[np.float64(0.0990377091989641), np.float64(0.17617274018176232)]"
0,51849,State BH,BH,"[np.float64(0.07918331322338143), np.float64(-0.7719191873242413)]",1,"[np.float64(-0.900962290801036), np.float64(0.3427579729465432)]"
0,51850,State DF,DF,"[np.float64(0.11138190449789284), np.float64(-0.46876311738506926)]",0,"[np.float64(-0.943829336025952), np.float64(-0.8238272598182378)]"
0,51851,State DH,DH,"[np.float64(0.11138190449789284), np.float64(-0.7719191873242413)]",1,"[np.float64(-0.943829336025952), np.float64(0.3427579729465432)]"
0,51852,State BE,BE,"[np.float64(0.07918331322338143), np.float64(-0.19168000118639866)]",1,"[np.float64(-0.900962290801036), np.float64(0.17617274018176232)]"
0,51853,State EH,EH,"[np.float64(-0.19168000118639866), np.float64(-0.7719191873242413)]",1,"[np.float64(0.17617274018176232), np.float64(0.3427579729465432)]"
0,51854,State GH,GH,"[np.float64(-0.4422979618654166), np.float64(-0.7719191873242413)]",1,"[np.float64(0.6572420270534568), np.float64(0.3427579729465432)]"
0,51855,State GN,GN,"[np.float64(-0.4422979618654166), np.float64(-1.0)]",0,"[np.float64(0.6572420270534568), np.float64(-1.0)]"
0,51856,State EN,EN,"[np.float64(-0.19168000118639866), np.float64(-1.0)]",0,"[np.float64(0.17617274018176232), np.float64(-1.0)]"
0,51857,State BN,BN,"[np.float64(0.07918331322338143), np.float64(-1.0)]",1,"[np.float64(-0.900962290801036), np.float64(-1.0)]"
0,51858,State CH,CH,"[np.float64(0.7687773405972363), np.float64(-0.7719191873242413)]",0,"[np.float64(0.056170663974048005), np.float64(0.3427579729465432)]"
0,51859,State DH,DH,"[np.float64(0.11138190449789284), np.float64(-0.7719191873242413)]",1,"[np.float64(-0.943829336025952), np.float64(0.3427579729465432)]"
0,51860,State EH,EH,"[np.float64(-0.19168000118639866), np.float64(-0.7719191873242413)]",1,"[np.float64(0.17617274018176232), np.float64(0.3427579729465432)]"
0,51861,State CF,CF,"[np.float64(0.7687773405972363), np.float64(-0.46876311738506926)]",0,"[np.float64(0.056170663974048005), np.float64(-0.8238272598182378)]"
0,51862,State DF,DF,"[np.float64(0.11138190449789284), np.float64(-0.46876311738506926)]",0,"[np.float64(-0.943829336025952), np.float64(-0.8238272598182378)]"
0,51863,State CF,CF,"[np.float64(0.7687773405972363), np.float64(-0.46876311738506926)]",0,"[np.float64(0.056170663974048005), np.float64(-0.8238272598182378)]"
0,51864,State DG,DG,"[np.float64(0.11138190449789284), np.float64(-0.4422979618654166)]",1,"[np.float64(-0.943829336025952), np.float64(0.6572420270534568)]"
0,51865,State GF,GF,"[np.float64(-0.4422979618654166), np.float64(-0.46876311738506926)]",0,"[np.float64(0.6572420270534568), np.float64(-0.8238272598182378)]"
0,51866,State DF,DF,"[np.float64(0.11138190449789284), np.float64(-0.46876311738506926)]",0,"[np.float64(-0.943829336025952), np.float64(-0.8238272598182378)]"
0,51867,State CG,CG,"[np.float64(0.7687773405972363), np.float64(-0.4422979618654166)]",1,"[np.float64(0.056170663974048005), np.float64(0.6572420270534568)]"
0,51868,State AN,AN,"[np.float64(0.7466441402796394), np.float64(-1.0)]",0,"[np.float64(0.0990377091989641), np.float64(-1.0)]"
0,51869,State CB,CB,"[np.float64(0.7687773405972363), np.float64(0.07918331322338143)]",0,"[np.float64(0.056170663974048005), np.float64(-0.900962290801036)]"
0,51870,State DH,DH,"[np.float64(0.11138190449789284), np.float64(-0.7719191873242413)]",1,"[np.float64(-0.943829336025952), np.float64(0.3427579729465432)]"
0,51871,State AF,AF,"[np.float64(0.7466441402796394), np.float64(-0.46876311738506926)]",0,"[np.float64(0.0990377091989641), np.float64(-0.8238272598182378)]"
0,51872,State CG,CG,"[np.float64(0.7687773405972363), np.float64(-0.4422979618654166)]",1,"[np.float64(0.056170663974048005), np.float64(0.6572420270534568)]"
0,51873,State EF,EF,"[np.float64(-0.19168000118639866), np.float64(-0.46876311738506926)]",0,"[np.float64(0.17617274018176232), np.float64(-0.8238272598182378)]"
0,51874,State GN,GN,"[np.float64(-0.4422979618654166), np.float64(-1.0)]",0,"[np.float64(0.6572420270534568), np.float64(-1.0)]"
0,51875,State CG,CG,"[np.float64(0.7687773405972363), np.float64(-0.4422979618654166)]",1,"[np.float64(0.056170663974048005), np.float64(0.6572420270534568)]"
0,51876,State GH,GH,"[np.float64(-0.4422979618654166), np.float64(-0.7719191873242413)]",0,"[np.float64(0.6572420270534568), np.float64(0.3427579729465432)]"
0,51877,State CD,CD,"[np.float64(0.7687773405972363), np.float64(0.11138190449789284)]",0,"[np.float64(0.056170663974048005), np.float64(-0.943829336025952)]"
0,51878,State DE,DE,"[np.float64(0.11138190449789284), np.float64(-0.19168000118639866)]",1,"[np.float64(-0.943829336025952), np.float64(0.17617274018176232)]"
0,51879,State CD,CD,"[np.float64(0.7687773405972363), np.float64(0.11138190449789284)]",0,"[np.float64(0.056170663974048005), np.float64(-0.943829336025952)]"
0,51880,State EH,EH,"[np.float64(-0.19168000118639866), np.float64(-0.7719191873242413)]",1,"[np.float64(0.17617274018176232), np.float64(0.3427579729465432)]"
0,51881,State BH,BH,"[np.float64(0.07918331322338143), np.float64(-0.7719191873242413)]",1,"[np.float64(-0.900962290801036), np.float64(0.3427579729465432)]"
0,51882,State BN,BN,"[np.float64(0.07918331322338143), np.float64(-1.0)]",0,"[np.float64(-0.900962290801036), np.float64(-1.0)]"
0,51883,State DH,DH,"[np.float64(0.11138190449789284), np.float64(-0.7719191873242413)]",1,"[np.float64(-0.943829336025952), np.float64(0.3427579729465432)]"
0,51884,State CB,CB,"[np.float64(0.7687773405972363), np.float64(0.07918331322338143)]",0,"[np.float64(0.056170663974048005), np.float64(-0.900962290801036)]"
0,51885,State BE,BE,"[np.float64(0.07918331322338143), np.float64(-0.19168000118639866)]",1,"[np.float64(-0.900962290801036), np.float64(0.17617274018176232)]"
0,51886,State EH,EH,"[np.float64(-0.19168000118639866), np.float64(-0.7719191873242413)]",0,"[np.float64(0.17617274018176232), np.float64(0.3427579729465432)]"
0,51887,State CN,CN,"[np.float64(0.7687773405972363), np.float64(-1.0)]",0,"[np.float64(0.056170663974048005), np.float64(-1.0)]"
0,51888,State AD,AD,"[np.float64(0.7466441402796394), np.float64(0.11138190449789284)]",0,"[np.float64(0.0990377091989641), np.float64(-0.943829336025952)]"
0,51889,State EH,EH,"[np.float64(-0.19168000118639866), np.float64(-0.7719191873242413)]",1,"[np.float64(0.17617274018176232), np.float64(0.3427579729465432)]"
0,51890,State AE,AE,"[np.float64(0.7466441402796394), np.float64(-0.19168000118639866)]",1,"[np.float64(0.0990377091989641), np.float64(0.17617274018176232)]"
0,51891,State AH,AH,"[np.float64(0.7466441402796394), np.float64(-0.7719191873242413)]",0,"[np.float64(0.0990377091989641), np.float64(0.3427579729465432)]"
0,51892,State CB,CB,"[np.float64(0.7687773405972363), np.float64(0.07918331322338143)]",0,"[np.float64(0.056170663974048005), np.float64(-0.900962290801036)]"
0,51893,State FN,FN,"[np.float64(-0.46876311738506926), np.float64(-1.0)]",1,"[np.float64(-0.8238272598182378), np.float64(-1.0)]"
0,51894,State BN,BN,"[np.float64(0.07918331322338143), np.float64(-1.0)]",1,"[np.float64(-0.900962290801036), np.float64(-1.0)]"
0,51895,State AD,AD,"[np.float64(0.7466441402796394), np.float64(0.11138190449789284)]",0,"[np.float64(0.0990377091989641), np.float64(-0.943829336025952)]"
0,51896,State CN,CN,"[np.float64(0.7687773405972363), np.float64(-1.0)]",0,"[np.float64(0.056170663974048005), np.float64(-1.0)]"
0,51897,State DF,DF,"[np.float64(0.11138190449789284), np.float64(-0.46876311738506926)]",0,"[np.float64(-0.943829336025952), np.float64(-0.8238272598182378)]"
0,51898,State AN,AN,"[np.float64(0.7466441402796394), np.float64(-1.0)]",0,"[np.float64(0.0990377091989641), np.float64(-1.0)]"
0,51899,State HN,HN,"[np.float64(-0.7719191873242413), np.float64(-1.0)]",0,"[np.float64(0.3427579729465432), np.float64(-1.0)]"
0,51900,State AD,AD,"[np.float64(0.7466441402796394), np.float64(0.11138190449789284)]",0,"[np.float64(0.0990377091989641), np.float64(-0.943829336025952)]"
0,51901,State CE,CE,"[np.float64(0.7687773405972363), np.float64(-0.19168000118639866)]",0,"[np.float64(0.056170663974048005), np.float64(0.17617274018176232)]"
0,51902,State CF,CF,"[np.float64(0.7687773405972363), np.float64(-0.46876311738506926)]",0,"[np.float64(0.056170663974048005), np.float64(-0.8238272598182378)]"
0,51903,State GN,GN,"[np.float64(-0.4422979618654166), np.float64(-1.0)]",0,"[np.float64(0.6572420270534568), np.float64(-1.0)]"
0,51904,State DH,DH,"[np.float64(0.11138190449789284), np.float64(-0.7719191873242413)]",1,"[np.float64(-0.943829336025952), np.float64(0.3427579729465432)]"
0,51905,State BN,BN,"[np.float64(0.07918331322338143), np.float64(-1.0)]",0,"[np.float64(-0.900962290801036), np.float64(-1.0)]"
0,51906,State CB,CB,"[np.float64(0.7687773405972363), np.float64(0.07918331322338143)]",0,"[np.float64(0.056170663974048005), np.float64(-0.900962290801036)]"
