block_number,trial_number,state_id,stim_id,q_values,action
0,43776,State CN,CN,"[np.float64(0.9987388391307209), np.float64(-0.82)]",0
0,43777,State AE,AE,"[np.float64(0.6002333606560222), np.float64(-0.03983742737379514)]",0
0,43778,State CD,CD,"[np.float64(0.9987388391307209), np.float64(0.029065209694067125)]",0
0,43779,State CE,CE,"[np.float64(0.9987388391307209), np.float64(-0.03983742737379514)]",0
0,43780,State CG,CG,"[np.float64(0.9987388391307209), np.float64(-0.4022608844976403)]",0
0,43781,State DE,DE,"[np.float64(0.029065209694067125), np.float64(-0.03983742737379514)]",1
0,43782,State DG,DG,"[np.float64(0.029065209694067125), np.float64(-0.4022608844976403)]",0
0,43783,State GN,GN,"[np.float64(-0.4022608844976403), np.float64(-0.82)]",0
0,43784,State CB,CB,"[np.float64(0.9987388391307209), np.float64(0.24551963774103297)]",0
0,43785,State BE,BE,"[np.float64(0.24551963774103297), np.float64(-0.03983742737379514)]",0
0,43786,State AN,AN,"[np.float64(0.6002333606560222), np.float64(-0.82)]",0
0,43787,State AH,AH,"[np.float64(0.6002333606560222), np.float64(-0.2699497474966406)]",0
0,43788,State BN,BN,"[np.float64(0.24551963774103297), np.float64(-0.82)]",0
0,43789,State DH,DH,"[np.float64(0.029065209694067125), np.float64(-0.2699497474966406)]",0
0,43790,State GF,GF,"[np.float64(-0.4022608844976403), np.float64(-0.7442743194854589)]",0
0,43791,State BF,BF,"[np.float64(0.24551963774103297), np.float64(-0.7442743194854589)]",0
0,43792,State CH,CH,"[np.float64(0.9987388391307209), np.float64(-0.2699497474966406)]",0
0,43793,State GF,GF,"[np.float64(-0.4022608844976403), np.float64(-0.7442743194854589)]",1
0,43794,State CF,CF,"[np.float64(0.9987388391307209), np.float64(-0.7442743194854589)]",0
0,43795,State CF,CF,"[np.float64(0.9987388391307209), np.float64(-0.7442743194854589)]",0
0,43796,State GF,GF,"[np.float64(-0.4022608844976403), np.float64(-0.7442743194854589)]",0
0,43797,State CD,CD,"[np.float64(0.9987388391307209), np.float64(0.029065209694067125)]",0
0,43798,State FN,FN,"[np.float64(-0.7442743194854589), np.float64(-0.82)]",1
0,43799,State AF,AF,"[np.float64(0.6002333606560222), np.float64(-0.7442743194854589)]",0
0,43800,State AB,AB,"[np.float64(0.6002333606560222), np.float64(0.24551963774103297)]",1
0,43801,State AB,AB,"[np.float64(0.6002333606560222), np.float64(0.24551963774103297)]",0
0,43802,State CB,CB,"[np.float64(0.9987388391307209), np.float64(0.24551963774103297)]",0
0,43803,State FN,FN,"[np.float64(-0.7442743194854589), np.float64(-0.82)]",1
0,43804,State EF,EF,"[np.float64(-0.03983742737379514), np.float64(-0.7442743194854589)]",0
0,43805,State AH,AH,"[np.float64(0.6002333606560222), np.float64(-0.2699497474966406)]",0
0,43806,State CG,CG,"[np.float64(0.9987388391307209), np.float64(-0.4022608844976403)]",0
0,43807,State CG,CG,"[np.float64(0.9987388391307209), np.float64(-0.4022608844976403)]",0
0,43808,State AN,AN,"[np.float64(0.6002333606560222), np.float64(-0.82)]",0
0,43809,State GH,GH,"[np.float64(-0.4022608844976403), np.float64(-0.2699497474966406)]",1
0,43810,State DE,DE,"[np.float64(0.029065209694067125), np.float64(-0.03983742737379514)]",0
0,43811,State DF,DF,"[np.float64(0.029065209694067125), np.float64(-0.7442743194854589)]",0
