block_number,trial_number,state_id,stim_id,q_values,action
0,66816,State CB,CB,"[np.float64(0.3902139203953016), np.float64(-0.4540881798694047)]",0
0,66817,State EN,EN,"[np.float64(-0.5044096795271248), np.float64(0.86)]",1
0,66818,State GH,GH,"[np.float64(0.44950842354779375), np.float64(-0.5339591442283829)]",0
0,66819,State HN,HN,"[np.float64(-0.5339591442283829), np.float64(0.86)]",1
0,66820,State EN,EN,"[np.float64(-0.5044096795271248), np.float64(0.86)]",1
0,66821,State BE,BE,"[np.float64(-0.4540881798694047), np.float64(-0.5044096795271248)]",1
0,66822,State AE,AE,"[np.float64(-0.40825939817685797), np.float64(-0.5044096795271248)]",0
0,66823,State BF,BF,"[np.float64(-0.4540881798694047), np.float64(-0.4535264462120654)]",1
0,66824,State AB,AB,"[np.float64(-0.40825939817685797), np.float64(-0.4540881798694047)]",0
0,66825,State EH,EH,"[np.float64(-0.5044096795271248), np.float64(-0.5339591442283829)]",0
0,66826,State EF,EF,"[np.float64(-0.5044096795271248), np.float64(-0.4535264462120654)]",0
0,66827,State BH,BH,"[np.float64(-0.4540881798694047), np.float64(-0.5339591442283829)]",0
0,66828,State AG,AG,"[np.float64(-0.40825939817685797), np.float64(0.44950842354779375)]",1
0,66829,State BH,BH,"[np.float64(-0.4540881798694047), np.float64(-0.5339591442283829)]",1
0,66830,State AN,AN,"[np.float64(-0.40825939817685797), np.float64(0.86)]",1
0,66831,State HN,HN,"[np.float64(-0.5339591442283829), np.float64(0.86)]",1
0,66832,State CE,CE,"[np.float64(0.3902139203953016), np.float64(-0.5044096795271248)]",0
0,66833,State CB,CB,"[np.float64(0.3902139203953016), np.float64(-0.4540881798694047)]",0
0,66834,State DF,DF,"[np.float64(-0.6028704527931195), np.float64(-0.4535264462120654)]",1
0,66835,State AB,AB,"[np.float64(-0.40825939817685797), np.float64(-0.4540881798694047)]",0
0,66836,State DF,DF,"[np.float64(-0.6028704527931195), np.float64(-0.4535264462120654)]",1
