block_number,trial_number,state_id,stim_id,q_values,action
0,42624,State DH,DH,"[np.float64(-0.13060466022097497), np.float64(-0.7719734083702416)]",0
0,42625,State BG,BG,"[np.float64(-0.0322996927375317), np.float64(0.030465388169781123)]",1
0,42626,State AH,AH,"[np.float64(0.5461130850813913), np.float64(-0.7719734083702416)]",0
0,42627,State BE,BE,"[np.float64(-0.0322996927375317), np.float64(0.140685188525608)]",1
0,42628,State CD,CD,"[np.float64(0.6789103086862444), np.float64(-0.13060466022097497)]",0
0,42629,State GF,GF,"[np.float64(0.030465388169781123), np.float64(-0.7622361372160831)]",0
0,42630,State CF,CF,"[np.float64(0.6789103086862444), np.float64(-0.7622361372160831)]",0
0,42631,State AE,AE,"[np.float64(0.5461130850813913), np.float64(0.140685188525608)]",0
0,42632,State AG,AG,"[np.float64(0.5461130850813913), np.float64(0.030465388169781123)]",0
0,42633,State BN,BN,"[np.float64(-0.0322996927375317), np.float64(0.74)]",1
0,42634,State EF,EF,"[np.float64(0.140685188525608), np.float64(-0.7622361372160831)]",0
0,42635,State AB,AB,"[np.float64(0.5461130850813913), np.float64(-0.0322996927375317)]",0
0,42636,State BE,BE,"[np.float64(-0.0322996927375317), np.float64(0.140685188525608)]",1
0,42637,State EN,EN,"[np.float64(0.140685188525608), np.float64(0.74)]",1
0,42638,State CE,CE,"[np.float64(0.6789103086862444), np.float64(0.140685188525608)]",0
0,42639,State CB,CB,"[np.float64(0.6789103086862444), np.float64(-0.0322996927375317)]",0
0,42640,State DN,DN,"[np.float64(-0.13060466022097497), np.float64(0.74)]",1
0,42641,State AE,AE,"[np.float64(0.5461130850813913), np.float64(0.140685188525608)]",0
0,42642,State EH,EH,"[np.float64(0.140685188525608), np.float64(-0.7719734083702416)]",0
0,42643,State BF,BF,"[np.float64(-0.0322996927375317), np.float64(-0.7622361372160831)]",0
0,42644,State AD,AD,"[np.float64(0.5461130850813913), np.float64(-0.13060466022097497)]",0
0,42645,State DE,DE,"[np.float64(-0.13060466022097497), np.float64(0.140685188525608)]",1
0,42646,State CF,CF,"[np.float64(0.6789103086862444), np.float64(-0.7622361372160831)]",0
0,42647,State AB,AB,"[np.float64(0.5461130850813913), np.float64(-0.0322996927375317)]",0
0,42648,State AB,AB,"[np.float64(0.5461130850813913), np.float64(-0.0322996927375317)]",0
0,42649,State BN,BN,"[np.float64(-0.0322996927375317), np.float64(0.74)]",1
0,42650,State BF,BF,"[np.float64(-0.0322996927375317), np.float64(-0.7622361372160831)]",0
0,42651,State AN,AN,"[np.float64(0.5461130850813913), np.float64(0.74)]",1
0,42652,State CB,CB,"[np.float64(0.6789103086862444), np.float64(-0.0322996927375317)]",0
0,42653,State CB,CB,"[np.float64(0.6789103086862444), np.float64(-0.0322996927375317)]",0
