block_number,trial_number,state_index,state_id,stim_id,context,feedback,probabilities,rewards,q_values,action,prediction_errors,correct_action,accuracy,trial_total,averaged_pe,q_values1,q_values2
0,1,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[0, 0]",0,"[np.float64(0.5700000000000001), np.float64(-0.43)]",0,1,1,0.07000000000000003,0.0,0.0
0,1,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[0, 0]",0,"[np.float64(0.5700000000000001), np.float64(-0.43)]",0,1,1,0.07000000000000003,0.0,0.0
0,2,0,State AB,"['B', 'A']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(0.36480000000000007), np.float64(-0.2193)]",0,"[np.float64(-0.36480000000000007), np.float64(0.2193)]",0,1,2,-0.07275000000000004,0.36480000000000007,-0.2193
0,1,0,State GH,"['H', 'G']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[-1, 0]","[0, 0]",1,"[np.float64(-0.5700000000000001), np.float64(0.43)]",0,0,1,-0.07000000000000003,0.0,0.0
0,2,0,State CD,"['D', 'C']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(0.36480000000000007), np.float64(-0.2193)]",0,"[np.float64(-0.36480000000000007), np.float64(0.2193)]",0,1,2,-0.07275000000000004,0.36480000000000007,-0.2193
0,1,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[0, 0]",0,"[np.float64(-0.14), np.float64(-0.14)]",0,1,1,-0.14,0.0,0.0
0,2,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(-0.2907), np.float64(0.2752)]",1,"[np.float64(0.7207), np.float64(-0.8452000000000001)]",0,0,2,-0.06225000000000003,-0.2907,0.2752
0,2,0,State EF,"['E', 'F']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(-0.08960000000000001), np.float64(-0.0714)]",1,"[np.float64(-0.0504), np.float64(-0.06860000000000001)]",0,0,2,-0.059500000000000004,-0.08960000000000001,-0.0714
0,3,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(0.07685700000000001), np.float64(-0.2657280000000001)]",0,"[np.float64(0.353143), np.float64(-0.304272)]",0,1,3,0.0244355,0.07685700000000001,-0.2657280000000001
0,3,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(-0.11530400000000002), np.float64(-0.11530400000000002)]",0,"[np.float64(-0.024695999999999996), np.float64(-0.024695999999999996)]",0,1,3,-0.024695999999999996,-0.11530400000000002,-0.11530400000000002
0,3,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.13132800000000003), np.float64(-0.107457)]",0,"[np.float64(0.43867200000000006), np.float64(-0.322543)]",0,1,3,0.05806450000000002,0.13132800000000003,-0.107457
0,4,0,State AB,"['A', 'B']",Reward,"[0.0, 10.0]","['75', '25']","[0, 1]","[np.float64(0.4120780800000001), np.float64(-0.27195393)]",0,"[np.float64(-0.8420780800000001), np.float64(0.8419539300000001)]",0,1,4,-6.207499999999477e-05,0.4120780800000001,-0.27195393
0,3,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.13132800000000003), np.float64(-0.107457)]",0,"[np.float64(0.43867200000000006), np.float64(-0.322543)]",0,1,3,0.05806450000000002,0.13132800000000003,-0.107457
0,4,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(0.30286852), np.float64(-0.42090672000000007)]",0,"[np.float64(0.12713148000000002), np.float64(-0.14909328)]",0,1,4,-0.010980899999999988,0.30286852,-0.42090672000000007
0,4,0,State EF,"['E', 'F']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(-0.13110944000000002), np.float64(-0.12789896)]",1,"[np.float64(-0.008890559999999992), np.float64(-0.012101040000000007)]",0,0,4,-0.0104958,-0.13110944000000002,-0.12789896
0,4,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.4120780800000001), np.float64(-0.27195393)]",0,"[np.float64(0.15792191999999994), np.float64(-0.15804606999999998)]",0,1,4,-6.207500000002253e-05,0.4120780800000001,-0.27195393
0,5,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(-0.1356436256), np.float64(-0.1356436256)]",0,"[np.float64(0.5656436256), np.float64(-0.4343563744000001)]",0,1,5,0.06564362559999998,-0.1356436256,-0.1356436256
0,5,0,State AB,"['A', 'B']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(-0.12685189119999996), np.float64(0.15744257430000003)]",0,"[np.float64(0.12685189119999996), np.float64(-0.15744257430000003)]",0,1,5,-0.015295341550000036,-0.12685189119999996,0.15744257430000003
0,5,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(0.3842326672), np.float64(-0.4969442928000001)]",0,"[np.float64(0.045767332800000005), np.float64(-0.07305570719999999)]",0,1,5,-0.01364418719999999,0.3842326672,-0.4969442928000001
0,6,0,State EF,"['F', 'E']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]","[np.float64(0.22636829478400003), np.float64(-0.35716537654400005)]",0,"[np.float64(-0.22636829478400003), np.float64(0.35716537654400005)]",0,1,6,0.06539854088000001,0.22636829478400003,-0.35716537654400005
0,5,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.5131481088000001), np.float64(-0.35255742570000004)]",0,"[np.float64(0.056851891200000004), np.float64(-0.07744257429999996)]",0,1,5,-0.010295341549999976,0.5131481088000001,-0.35255742570000004
0,6,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(-0.045666680831999984), np.float64(0.07714686140700001)]",0,"[np.float64(0.615666680832), np.float64(-0.507146861407)]",0,1,6,0.0542599097125,-0.045666680831999984,0.07714686140700001
0,6,0,State GH,"['H', 'G']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]","[np.float64(0.413523760192), np.float64(-0.534202703472)]",0,"[np.float64(-0.413523760192), np.float64(0.534202703472)]",0,1,6,0.06033947164000003,0.413523760192,-0.534202703472
0,6,0,State CD,"['C', 'D']",Reward,"[0.0, 10.0]","['75', '25']","[0, 1]","[np.float64(0.5495333191680001), np.float64(-0.392053138593)]",0,"[np.float64(-0.979533319168), np.float64(0.962053138593)]",0,1,6,-0.008740090287500002,0.5495333191680001,-0.392053138593
0,7,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(-0.07736800509951991), np.float64(0.09859396208943)]",1,"[np.float64(0.64736800509952), np.float64(-0.52859396208943)]",0,0,7,0.05938702150504499,-0.07736800509951991,0.09859396208943
0,7,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(0.08149258612224), np.float64(-0.17501103450656003)]",0,"[np.float64(0.34850741387775996), np.float64(-0.39498896549344004)]",0,1,7,-0.023240775807840036,0.08149258612224,-0.17501103450656003
0,7,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.34835999490048003), np.float64(-0.18149803791057)]",0,"[np.float64(0.22164000509952003), np.float64(-0.24850196208942998)]",0,1,7,-0.013430978494954976,0.34835999490048003,-0.18149803791057
0,8,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.25278967750123527), np.float64(-0.23970617364780522)]",0,"[np.float64(0.3172103224987648), np.float64(-0.19029382635219477)]",0,1,8,0.06345824807328501,0.25278967750123527,-0.23970617364780522
0,8,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(0.3045373310040064), np.float64(-0.37645540690821444)]",0,"[np.float64(0.12546266899599362), np.float64(-0.19354459309178562)]",0,1,8,-0.034040962047896,0.3045373310040064,-0.37645540690821444
0,7,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(0.14886855366912), np.float64(-0.26175932470128)]",0,"[np.float64(-0.28886855366912), np.float64(0.12175932470127998)]",0,1,7,-0.08355461448392001,0.14886855366912,-0.26175932470128
0,8,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.49020959816417287), np.float64(-0.3082340385761793)]",0,"[np.float64(0.0797904018358272), np.float64(-0.12176596142382068)]",0,1,8,-0.02098777979399674,0.49020959816417287,-0.3082340385761793
0,8,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]","[np.float64(-0.0360073206791168), np.float64(-0.19966206910362722)]",0,"[np.float64(0.0360073206791168), np.float64(0.19966206910362722)]",0,1,8,0.11783469489137201,-0.0360073206791168,-0.19966206910362722
0,9,0,State CD,"['D', 'C']",Reward,"[10.0, 0.0]","['75', '25']","[0, 1]","[np.float64(0.45580428390044475), np.float64(-0.3367560250874245)]",0,"[np.float64(-0.8858042839004447), np.float64(0.9067560250874246)]",0,1,9,0.010475870593489922,0.45580428390044475,-0.3367560250874245
0,9,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.5412754553391023), np.float64(-0.37033467890232785)]",0,"[np.float64(0.0287245446608978), np.float64(-0.05966532109767214)]",0,1,9,-0.015470388218387171,0.5412754553391023,-0.37033467890232785
0,9,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(-0.012962635444482049), np.float64(-0.09783441386077733)]",1,"[np.float64(0.44296263544448206), np.float64(-0.4721655861392227)]",0,0,9,-0.01460147534737033,-0.012962635444482049,-0.09783441386077733
0,10,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(0.21294830863220382), np.float64(-0.4000203889898799)]",0,"[np.float64(0.21705169136779617), np.float64(-0.16997961101012016)]",0,1,10,0.023536040178838008,0.21294830863220382,-0.4000203889898799
0,9,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]","[np.float64(0.3848334391614423), np.float64(-0.47516314938502513)]",0,"[np.float64(-0.3848334391614423), np.float64(0.47516314938502513)]",0,1,9,0.04516485511179141,0.3848334391614423,-0.47516314938502513
0,10,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.5596591639220768), np.float64(-0.40076399266214063)]",0,"[np.float64(0.010340836077923243), np.float64(-0.02923600733785936)]",0,1,10,-0.009447585629968058,0.5596591639220768,-0.40076399266214063
0,10,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(-0.11111045779583989), np.float64(0.125689547707162)]",1,"[np.float64(0.68111045779584), np.float64(-0.555689547707162)]",0,0,10,0.06271045504433903,-0.11111045779583989,0.125689547707162
0,10,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(0.1385400380981192), np.float64(-0.23282994319866232)]",0,"[np.float64(-0.2785400380981192), np.float64(0.0928299431986623)]",0,1,10,-0.09285504744972846,0.1385400380981192,-0.23282994319866232
0,11,0,State GH,"['G', 'H']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(0.3518613911075934), np.float64(-0.48670999060504117)]",0,"[np.float64(-0.4918613911075934), np.float64(0.34670999060504115)]",0,1,11,-0.07257570025127613,0.3518613911075934,-0.48670999060504117
0,11,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.23625587568003853), np.float64(-0.22995176282542162)]",0,"[np.float64(0.33374412431996153), np.float64(-0.20004823717457837)]",0,1,11,0.06684794357269158,0.23625587568003853,-0.22995176282542162
0,12,0,State CD,"['C', 'D']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[np.float64(0.44985211524481394), np.float64(-0.3319763637844566)]",0,"[np.float64(-0.30985211524481393), np.float64(0.4719763637844566)]",0,1,12,0.08106212426982135,0.44985211524481394,-0.3319763637844566
0,11,0,State AB,"['B', 'A']",Reward,"[10.0, 0.0]","['75', '25']","[0, 1]","[np.float64(0.5662772990119477), np.float64(-0.4156743564044489)]",0,"[np.float64(-0.9962772990119477), np.float64(0.985674356404449)]",0,1,11,-0.005301471303749361,0.5662772990119477,-0.4156743564044489
0,11,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]","[np.float64(-0.039725586284677095), np.float64(-0.18548667216734455)]",0,"[np.float64(0.039725586284677095), np.float64(0.18548667216734455)]",0,1,11,0.11260612922601082,-0.039725586284677095,-0.18548667216734455
0,12,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(-0.014301211062483752), np.float64(-0.09088846936199882)]",0,"[np.float64(-0.12569878893751626), np.float64(-0.049111530638001194)]",0,1,12,-0.08740515978775873,-0.014301211062483752,-0.09088846936199882
0,12,0,State AB,"['A', 'B']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(-0.0713401723556989), np.float64(0.08701956536182015)]",1,"[np.float64(0.0713401723556989), np.float64(-0.08701956536182015)]",0,0,12,-0.007839696503060628,-0.0713401723556989,0.08701956536182015
0,12,0,State GH,"['H', 'G']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]","[np.float64(0.03707010079873363), np.float64(-0.3098878953964702)]",0,"[np.float64(-0.03707010079873363), np.float64(0.3098878953964702)]",0,1,12,0.1364088972988683,0.03707010079873363,-0.3098878953964702
0,13,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(-0.09474843598249416), np.float64(-0.11593534998737942)]",0,"[np.float64(0.5247484359824941), np.float64(-0.45406465001262064)]",0,1,13,0.03534189298493673,-0.09474843598249416,-0.11593534998737942
0,13,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(0.013345236287544106), np.float64(-0.1518450687442704)]",1,"[np.float64(-0.15334523628754412), np.float64(0.011845068744270382)]",0,0,13,-0.07075008377163687,0.013345236287544106,-0.1518450687442704
0,13,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.25154676148813304), np.float64(-0.09126841825438373)]",0,"[np.float64(0.318453238511867), np.float64(-0.33873158174561624)]",0,1,13,-0.01013917161687461,0.25154676148813304,-0.09126841825438373
0,13,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(-0.03495668445429246), np.float64(0.031327043530255255)]",0,"[np.float64(0.6049566844542925), np.float64(-0.4613270435302552)]",0,1,13,0.07181482046201865,-0.03495668445429246,0.031327043530255255
0,14,0,State CD,"['C', 'D']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(0.4553568341357279), np.float64(-0.26402152494464803)]",0,"[np.float64(-0.4553568341357279), np.float64(0.26402152494464803)]",0,1,14,-0.09566765459553994,0.4553568341357279,-0.26402152494464803
0,14,0,State GH,"['G', 'H']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(-0.0648608342191034), np.float64(-0.14426422474793735)]",0,"[np.float64(-0.07513916578089662), np.float64(0.004264224747937334)]",0,1,14,-0.03543747051647964,-0.0648608342191034,-0.14426422474793735
0,14,0,State EF,"['E', 'F']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(0.24109056304630205), np.float64(-0.34750832149381594)]",0,"[np.float64(-0.38109056304630207), np.float64(0.20750832149381593)]",0,1,14,-0.08679112077624307,0.24109056304630205,-0.34750832149381594
