block_number,trial_number,state_index,state_id,stim_id,context,feedback,probabilities,rewards,action,prediction_errors,correct_action,accuracy,w_values,v_values,trial_total,averaged_pe,w_values1,w_values2
0,1,0,State AB,"['A', 'B']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]",1,"[1, 1]",0,0,"[0.01, 0.01]",[0],1,1.0,0.01,0.01
0,1,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]",1,"[1, 0]",0,0,"[0.01, 0.01]",[0],1,0.5,0.01,0.01
0,1,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]",0,"[0, -1]",0,1,"[0.01, 0.01]",[0],1,-0.5,0.01,0.01
0,2,0,State CD,"['C', 'D']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]",0,"[np.float64(1.0), np.float64(1.0)]",0,1,[0.94736842 0.05263158],[np.float64(0.0)],2,1.0,0.9473684210526315,0.05263157894736841
0,2,0,State EF,"['F', 'E']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]",0,"[np.float64(0.0), np.float64(0.0)]",0,1,[ 0.05882353 -0.94117647],[np.float64(0.0)],2,0.0,0.058823529411764705,-0.9411764705882353
0,1,0,State GH,"['H', 'G']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[-1, 0]",0,"[-1, 0]",0,1,"[0.01, 0.01]",[0],1,-0.5,0.01,0.01
0,2,0,State AB,"['B', 'A']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]",1,"[np.float64(0.84), np.float64(0.84)]",0,0,[0.15384615 0.84615385],[np.float64(0.16)],2,0.84,0.15384615384615388,0.8461538461538461
0,2,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]",1,"[np.float64(0.16), np.float64(-0.84)]",0,0,[-0.98979592  0.01020408],[np.float64(-0.16)],2,-0.33999999999999997,-0.9897959183673469,0.010204081632653062
0,3,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]",0,"[np.float64(0.84), np.float64(-0.16)]",0,1,[0.89645043 0.10354957],[np.float64(0.16)],3,0.33999999999999997,0.8964504283965727,0.10354957160342718
0,3,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]",1,"[np.float64(0.2944), np.float64(-0.7056)]",0,0,[-0.5421268 -0.4578732],[np.float64(-0.2944)],3,-0.2056,-0.5421267987678727,-0.4578732012321272
0,4,0,State CD,"['D', 'C']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]",0,"[np.float64(-0.2944), np.float64(-0.2944)]",0,1,[0.9574891 0.0425109],[np.float64(0.2944)],4,-0.2944,0.9574891026706975,0.04251089732930244
0,4,0,State GH,"['G', 'H']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]",0,"[np.float64(-0.592704), np.float64(-0.592704)]",0,1,[-0.29978482 -0.70021518],[np.float64(-0.407296)],4,-0.592704,-0.29978482233153375,-0.7002151776684663
0,3,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]",1,"[np.float64(0.7056), np.float64(-0.2944)]",0,0,[0.15088818 0.84911182],[np.float64(0.2944)],3,0.2056,0.15088817591360829,0.8491118240863916
0,3,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]",0,"[np.float64(0.0), np.float64(-1.0)]",0,1,[ 0.05882353 -0.94117647],[np.float64(0.0)],3,-0.5,0.058823529411764705,-0.9411764705882353
0,4,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]",1,"[np.float64(0.752704), np.float64(-0.247296)]",0,0,[0.32574831 0.67425169],[np.float64(0.247296)],4,0.25270400000000004,0.3257483112595116,0.6742516887404884
0,4,0,State EF,"['E', 'F']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]",0,"[np.float64(-1.0), np.float64(-1.0)]",0,1,[ 0.05027652 -0.94972348],[np.float64(0.0)],4,-1.0,0.05027652086475616,-0.9497234791352438
0,5,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]",1,"[np.float64(0.16), np.float64(-0.84)]",0,0,[-0.45364603 -0.54635397],[np.float64(-0.16)],5,-0.33999999999999997,-0.45364603137610854,-0.5463539686238915
0,5,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]",0,"[np.float64(0.752704), np.float64(-0.247296)]",0,1,[ 0.98885891 -0.01114109],[np.float64(0.247296)],5,0.25270400000000004,0.9888589144009268,-0.011141085599073345
0,5,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]",0,"[np.float64(0.79227136), np.float64(-0.20772864)]",0,1,[0.51231151 0.48768849],[np.float64(0.20772864)],5,0.29227136,0.5123115097888636,0.4876884902111363
0,6,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]",0,"[np.float64(-0.7056), np.float64(-0.7056)]",0,1,[-0.23744211 -0.76255789],[np.float64(-0.2944)],6,-0.7056,-0.23744211101119628,-0.7625578889888037
0,5,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]",0,"[np.float64(0.50212864), np.float64(0.50212864)]",0,1,[-0.52368561 -0.47631439],[np.float64(-0.50212864)],5,0.50212864,-0.5236856059406022,-0.4763143940593978
0,6,0,State GH,"['H', 'G']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]",0,"[np.float64(0.42178805760000004), np.float64(0.42178805760000004)]",0,1,[-0.07478259 -0.92521741],[np.float64(-0.42178805760000004)],6,0.42178805760000004,-0.07478259233068656,-0.9252174076693135
0,6,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]",0,"[np.float64(0.6655079424), np.float64(-0.3344920576)]",0,1,[0.74018064 0.25981936],[np.float64(0.3344920576)],6,0.1655079424,0.740180640428245,0.2598193595717549
0,6,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]",0,"[np.float64(0.6322713600000001), np.float64(-0.36772864)]",0,1,[ 0.97011761 -0.02988239],[np.float64(0.36772864)],6,0.13227136000000003,0.9701176056350832,-0.02988239436491675
0,7,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]",0,"[np.float64(0.559026671616), np.float64(-0.440973328384)]",0,1,[0.87278169 0.12721831],[np.float64(0.440973328384)],7,0.059026671615999976,0.8727816916313236,0.12721830836867637
0,7,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]",1,"[np.float64(0.407296), np.float64(-0.592704)]",0,0,[-0.51281307 -0.48718693],[np.float64(-0.407296)],7,-0.09270400000000001,-0.5128130719268628,-0.48718692807313724
0,8,0,State AB,"['B', 'A']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]",0,"[np.float64(0.46958240415744), np.float64(0.46958240415744)]",0,1,[0.96452337 0.03547663],[np.float64(0.53041759584256)],8,0.46958240415744,0.9645233700706193,0.03547662992938069
0,7,0,State CD,"['C', 'D']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]",0,"[np.float64(-0.4688920576), np.float64(-0.4688920576)]",0,1,[ 0.94507219 -0.05492781],[np.float64(0.4688920576)],7,-0.4688920576,0.945072185393252,-0.05492781460674806
0,7,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]",0,"[np.float64(0.354301968384), np.float64(-0.6456980316159999)]",0,1,[ 0.28401518 -0.71598482],[np.float64(-0.354301968384)],7,-0.14569803161599995,0.28401517661830966,-0.7159848233816903
0,8,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]",0,"[np.float64(0.29761365344256), np.float64(-0.70238634655744)]",0,1,[ 0.43324487 -0.56675513],[np.float64(-0.29761365344256)],8,-0.20238634655744,0.43324487305128884,-0.5667551269487111
0,8,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]",0,"[np.float64(0.606130671616), np.float64(-0.393869328384)]",0,1,[ 0.7829087 -0.2170913],[np.float64(0.393869328384)],8,0.10613067161599998,0.7829087042930913,-0.2170912957069086
0,8,0,State EF,"['E', 'F']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]",0,"[np.float64(-0.49787136), np.float64(-0.49787136)]",0,1,[-0.29344399 -0.70655601],[np.float64(-0.50212864)],8,-0.49787136,-0.2934439897225201,-0.7065560102774799
0,9,0,State GH,"['G', 'H']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]",0,"[np.float64(-0.7500045311082496), np.float64(-0.7500045311082496)]",0,1,[ 0.51372913 -0.48627087],[np.float64(-0.24999546889175042)],9,-0.7500045311082496,0.5137291304854991,-0.48627086951450094
0,9,0,State AB,"['A', 'B']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]",0,"[np.float64(-0.6055507805077504), np.float64(-0.6055507805077504)]",0,1,[0.92512717 0.07487283],[np.float64(0.6055507805077504)],9,-0.6055507805077504,0.9251271696162039,0.07487283038379605
0,9,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]",0,"[np.float64(0.50914976415744), np.float64(-0.49085023584256005)]",0,1,[ 0.8289856 -0.1710144],[np.float64(0.49085023584256005)],9,0.009149764157439955,0.8289855974120464,-0.17101440258795372
