block_number,trial_number,state_id,stim_id,action,w_values
0,66048,State EN,EN,0,"[np.float64(0.3045781063026597), np.float64(0.19)]"
0,66049,State DF,DF,0,"[np.float64(-0.8937370421703543), np.float64(-0.6954218936973403)]"
0,66050,State EF,EF,0,"[np.float64(0.3045781063026597), np.float64(-0.6954218936973403)]"
0,66051,State BE,BE,1,"[np.float64(-0.31512170253059735), np.float64(0.3045781063026597)]"
0,66052,State EF,EF,0,"[np.float64(0.3045781063026597), np.float64(-0.6954218936973403)]"
0,66053,State BN,BN,1,"[np.float64(-0.31512170253059735), np.float64(0.19)]"
0,66054,State CB,CB,1,"[np.float64(0.10626295782964569), np.float64(-0.31512170253059735)]"
0,66055,State AN,AN,0,"[np.float64(0.6848782974694025), np.float64(0.19)]"
0,66056,State CN,CN,0,"[np.float64(0.10626295782964569), np.float64(0.19)]"
0,66057,State AE,AE,0,"[np.float64(0.6848782974694025), np.float64(0.3045781063026597)]"
0,66058,State AE,AE,0,"[np.float64(0.6848782974694025), np.float64(0.3045781063026597)]"
0,66059,State CF,CF,0,"[np.float64(0.10626295782964569), np.float64(-0.6954218936973403)]"
0,66060,State CB,CB,0,"[np.float64(0.10626295782964569), np.float64(-0.31512170253059735)]"
0,66061,State BH,BH,0,"[np.float64(-0.31512170253059735), np.float64(-0.9154946422335647)]"
0,66062,State CF,CF,0,"[np.float64(0.10626295782964569), np.float64(-0.6954218936973403)]"
0,66063,State CE,CE,1,"[np.float64(0.10626295782964569), np.float64(0.3045781063026597)]"
0,66064,State CD,CD,0,"[np.float64(0.10626295782964569), np.float64(-0.8937370421703543)]"
0,66065,State BE,BE,1,"[np.float64(-0.31512170253059735), np.float64(0.3045781063026597)]"
0,66066,State GF,GF,0,"[np.float64(0.08450535776643525), np.float64(-0.6954218936973403)]"
0,66067,State BF,BF,0,"[np.float64(-0.31512170253059735), np.float64(-0.6954218936973403)]"
0,66068,State HN,HN,1,"[np.float64(-0.9154946422335647), np.float64(0.19)]"
0,66069,State CD,CD,0,"[np.float64(0.10626295782964569), np.float64(-0.8937370421703543)]"
0,66070,State GH,GH,0,"[np.float64(0.08450535776643525), np.float64(-0.9154946422335647)]"
0,66071,State GN,GN,1,"[np.float64(0.08450535776643525), np.float64(0.19)]"
0,66072,State CD,CD,0,"[np.float64(0.10626295782964569), np.float64(-0.8937370421703543)]"
0,66073,State CG,CG,1,"[np.float64(0.10626295782964569), np.float64(0.08450535776643525)]"
0,66074,State BN,BN,1,"[np.float64(-0.31512170253059735), np.float64(0.19)]"
0,66075,State EN,EN,0,"[np.float64(0.3045781063026597), np.float64(0.19)]"
0,66076,State GH,GH,0,"[np.float64(0.08450535776643525), np.float64(-0.9154946422335647)]"
0,66077,State BH,BH,0,"[np.float64(-0.31512170253059735), np.float64(-0.9154946422335647)]"
0,66078,State EN,EN,1,"[np.float64(0.3045781063026597), np.float64(0.19)]"
0,66079,State EH,EH,0,"[np.float64(0.3045781063026597), np.float64(-0.9154946422335647)]"
0,66080,State AN,AN,0,"[np.float64(0.6848782974694025), np.float64(0.19)]"
0,66081,State GN,GN,1,"[np.float64(0.08450535776643525), np.float64(0.19)]"
0,66082,State CH,CH,0,"[np.float64(0.10626295782964569), np.float64(-0.9154946422335647)]"
0,66083,State CF,CF,0,"[np.float64(0.10626295782964569), np.float64(-0.6954218936973403)]"
