block_number,trial_number,state_index,state_id,stim_id,context,feedback,probabilities,rewards,q_values,action,prediction_errors,correct_action,accuracy,trial_total,averaged_pe,q_values1,q_values2
0,1,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[0, 0]",0,"[np.float64(0.515), np.float64(-0.485)]",0,1,1,0.015000000000000013,0.0,0.0
0,1,0,State AB,"['B', 'A']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[0, 0]",1,"[np.float64(0.030000000000000027), np.float64(0.030000000000000027)]",0,0,1,0.030000000000000027,0.0,0.0
0,2,0,State AB,"['A', 'B']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[np.float64(0.006300000000000005), np.float64(0.02310000000000002)]",0,"[np.float64(0.02370000000000002), np.float64(0.006900000000000007)]",0,1,2,0.015300000000000013,0.006300000000000005,0.02310000000000002
0,1,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[0, 0]",0,"[np.float64(0.485), np.float64(-0.515)]",0,1,1,-0.015000000000000013,0.0,0.0
0,2,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.39655), np.float64(-0.10185)]",0,"[np.float64(0.11845), np.float64(-0.38315)]",0,1,2,-0.13235,0.39655,-0.10185
0,2,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(0.37345), np.float64(-0.10815)]",0,"[np.float64(0.11154999999999998), np.float64(-0.40685000000000004)]",0,1,2,-0.14765000000000003,0.37345,-0.10815
0,1,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[0, 0]",0,"[np.float64(0.485), np.float64(-0.515)]",0,1,1,-0.015000000000000013,0.0,0.0
0,2,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(0.37345), np.float64(-0.10815)]",0,"[np.float64(0.11154999999999998), np.float64(-0.40685000000000004)]",0,1,2,-0.14765000000000003,0.37345,-0.10815
0,3,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(0.4593435), np.float64(-0.1935885)]",0,"[np.float64(0.02565649999999997), np.float64(-0.3214115)]",0,1,3,-0.14787750000000002,0.4593435,-0.1935885
0,3,0,State GH,"['G', 'H']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(0.4593435), np.float64(-0.1935885)]",0,"[np.float64(-0.48934350000000004), np.float64(0.16358849999999997)]",0,1,3,-0.16287750000000004,0.4593435,-0.1935885
