block_number,trial_number,state_id,stim_id,q_values,action,w_values
0,60288,State GN,GN,"[np.float64(-1.526417481120984e-06), np.float64(0.42)]",1,"[np.float64(0.7096019307036363), np.float64(0.42)]"
0,60289,State BG,BG,"[np.float64(0.0048760996606328905), np.float64(-1.526417481120984e-06)]",1,"[np.float64(-0.7352849831561158), np.float64(0.7096019307036363)]"
0,60290,State CG,CG,"[np.float64(0.9999658335049741), np.float64(-1.526417481120984e-06)]",0,"[np.float64(0.5113695130327005), np.float64(0.7096019307036363)]"
0,60291,State DG,DG,"[np.float64(0.0003115129438178146), np.float64(-1.526417481120984e-06)]",1,"[np.float64(-0.4886304869672995), np.float64(0.7096019307036363)]"
0,60292,State EH,EH,"[np.float64(-0.004043940789108044), np.float64(-0.9997208490760702)]",0,"[np.float64(0.3848521695554318), np.float64(-0.29039806929636364)]"
0,60293,State CG,CG,"[np.float64(0.9999658335049741), np.float64(-1.526417481120984e-06)]",0,"[np.float64(0.5113695130327005), np.float64(0.7096019307036363)]"
0,60294,State DF,DF,"[np.float64(0.0003115129438178146), np.float64(-0.9321015339295111)]",0,"[np.float64(-0.4886304869672995), np.float64(-0.6151478304445681)]"
0,60295,State AN,AN,"[np.float64(0.8855927945442413), np.float64(0.42)]",0,"[np.float64(-0.2647150168438842), np.float64(0.42)]"
0,60296,State AE,AE,"[np.float64(0.8855927945442413), np.float64(-0.004043940789108044)]",1,"[np.float64(-0.2647150168438842), np.float64(0.3848521695554318)]"
0,60297,State CE,CE,"[np.float64(0.9999658335049741), np.float64(-0.004043940789108044)]",0,"[np.float64(0.5113695130327005), np.float64(0.3848521695554318)]"
0,60298,State AD,AD,"[np.float64(0.8855927945442413), np.float64(0.0003115129438178146)]",0,"[np.float64(-0.2647150168438842), np.float64(-0.4886304869672995)]"
0,60299,State CD,CD,"[np.float64(0.9999658335049741), np.float64(0.0003115129438178146)]",0,"[np.float64(0.5113695130327005), np.float64(-0.4886304869672995)]"
0,60300,State HN,HN,"[np.float64(-0.9997208490760702), np.float64(0.42)]",1,"[np.float64(-0.29039806929636364), np.float64(0.42)]"
0,60301,State EF,EF,"[np.float64(-0.004043940789108044), np.float64(-0.9321015339295111)]",0,"[np.float64(0.3848521695554318), np.float64(-0.6151478304445681)]"
0,60302,State AG,AG,"[np.float64(0.8855927945442413), np.float64(-1.526417481120984e-06)]",0,"[np.float64(-0.2647150168438842), np.float64(0.7096019307036363)]"
0,60303,State DG,DG,"[np.float64(0.0003115129438178146), np.float64(-1.526417481120984e-06)]",1,"[np.float64(-0.4886304869672995), np.float64(0.7096019307036363)]"
0,60304,State FN,FN,"[np.float64(-0.9321015339295111), np.float64(0.42)]",1,"[np.float64(-0.6151478304445681), np.float64(0.42)]"
0,60305,State AH,AH,"[np.float64(0.8855927945442413), np.float64(-0.9997208490760702)]",0,"[np.float64(-0.2647150168438842), np.float64(-0.29039806929636364)]"
0,60306,State BN,BN,"[np.float64(0.0048760996606328905), np.float64(0.42)]",1,"[np.float64(-0.7352849831561158), np.float64(0.42)]"
0,60307,State HN,HN,"[np.float64(-0.9997208490760702), np.float64(0.42)]",1,"[np.float64(-0.29039806929636364), np.float64(0.42)]"
0,60308,State EF,EF,"[np.float64(-0.004043940789108044), np.float64(-0.9321015339295111)]",0,"[np.float64(0.3848521695554318), np.float64(-0.6151478304445681)]"
0,60309,State CG,CG,"[np.float64(0.9999658335049741), np.float64(-1.526417481120984e-06)]",0,"[np.float64(0.5113695130327005), np.float64(0.7096019307036363)]"
0,60310,State AH,AH,"[np.float64(0.8855927945442413), np.float64(-0.9997208490760702)]",0,"[np.float64(-0.2647150168438842), np.float64(-0.29039806929636364)]"
0,60311,State BN,BN,"[np.float64(0.0048760996606328905), np.float64(0.42)]",1,"[np.float64(-0.7352849831561158), np.float64(0.42)]"
0,60312,State GF,GF,"[np.float64(-1.526417481120984e-06), np.float64(-0.9321015339295111)]",0,"[np.float64(0.7096019307036363), np.float64(-0.6151478304445681)]"
0,60313,State CG,CG,"[np.float64(0.9999658335049741), np.float64(-1.526417481120984e-06)]",0,"[np.float64(0.5113695130327005), np.float64(0.7096019307036363)]"
0,60314,State GH,GH,"[np.float64(-1.526417481120984e-06), np.float64(-0.9997208490760702)]",0,"[np.float64(0.7096019307036363), np.float64(-0.29039806929636364)]"
