block_number,trial_number,state_index,state_id,stim_id,context,feedback,probabilities,rewards,q_values,action,prediction_errors,correct_action,accuracy,trial_total,averaged_pe,q_values1,q_values2
0,1,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[0, 0]",1,"[0, -1]",0,0,1,-0.5,0.0,0.0
0,1,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[0, 0]",0,"[1, 0]",0,1,1,0.5,0.0,0.0
0,1,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]","[0, 0]",1,"[0, 0]",0,0,1,0.0,0.0,0.0
0,2,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(0.0), np.float64(-0.3)]",0,"[np.float64(-1.0), np.float64(-0.7)]",0,1,2,-0.85,0.0,-0.3
0,2,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.3), np.float64(0.0)]",0,"[np.float64(0.7), np.float64(0.0)]",0,1,2,0.35,0.3,0.0
0,2,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(0.0), np.float64(0.0)]",0,"[np.float64(0.0), np.float64(-1.0)]",0,1,2,-0.5,0.0,0.0
0,1,0,State CD,"['D', 'C']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[0, 0]",1,"[1, 1]",0,0,1,1.0,0.0,0.0
0,2,0,State CD,"['C', 'D']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(0.02), np.float64(0.3)]",1,"[np.float64(-0.02), np.float64(-0.3)]",0,0,2,-0.16,0.02,0.3
0,3,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.0196), np.float64(0.21)]",1,"[np.float64(0.9804), np.float64(-0.21)]",0,0,3,0.38520000000000004,0.0196,0.21
0,3,0,State AB,"['A', 'B']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(0.51), np.float64(0.0)]",0,"[np.float64(-0.51), np.float64(0.0)]",0,1,3,-0.255,0.51,0.0
0,3,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]","[np.float64(0.0), np.float64(-0.02)]",0,"[np.float64(0.0), np.float64(0.02)]",0,1,3,0.01,0.0,-0.02
0,3,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(-0.3), np.float64(-0.314)]",1,"[np.float64(0.3), np.float64(-0.6859999999999999)]",0,0,3,-0.19299999999999998,-0.3,-0.314
0,4,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.357), np.float64(0.0)]",0,"[np.float64(0.643), np.float64(0.0)]",0,1,4,0.3215,0.357,0.0
0,4,0,State CD,"['C', 'D']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[np.float64(0.039208), np.float64(0.147)]",1,"[np.float64(0.960792), np.float64(0.853)]",0,0,4,0.9068959999999999,0.039208,0.147
0,4,0,State EF,"['F', 'E']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[-1, 0]","[np.float64(-0.294), np.float64(-0.5198)]",0,"[np.float64(-0.706), np.float64(0.5198)]",0,1,4,-0.09309999999999996,-0.294,-0.5198
0,4,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(0.0), np.float64(-0.0196)]",1,"[np.float64(-1.0), np.float64(-0.9804)]",0,0,4,-0.9902,0.0,-0.0196
0,5,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.058423840000000005), np.float64(0.4028999999999999)]",1,"[np.float64(0.94157616), np.float64(-0.4028999999999999)]",0,0,5,0.26933808000000004,0.058423840000000005,0.4028999999999999
0,5,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(-0.5058), np.float64(-0.5094040000000001)]",0,"[np.float64(0.5058), np.float64(-0.4905959999999999)]",0,1,5,0.007602000000000053,-0.5058,-0.5094040000000001
0,6,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(-0.35406000000000004), np.float64(-0.51921592)]",0,"[np.float64(0.35406000000000004), np.float64(-0.48078407999999995)]",0,1,6,-0.06336203999999995,-0.35406000000000004,-0.51921592
0,5,0,State AB,"['B', 'A']",Reward,"[10.0, 0.0]","['75', '25']","[0, 1]","[np.float64(0.5498999999999999), np.float64(0.0)]",0,"[np.float64(-0.5498999999999999), np.float64(1.0)]",0,1,5,0.22505000000000003,0.5498999999999999,0.0
0,6,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.38493), np.float64(0.02)]",0,"[np.float64(0.61507), np.float64(-0.02)]",0,1,6,0.297535,0.38493,0.02
0,5,0,State GH,"['G', 'H']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(-0.02), np.float64(-0.31372)]",0,"[np.float64(-0.98), np.float64(-0.68628)]",0,1,5,-0.83314,-0.02,-0.31372
0,6,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.07725536320000001), np.float64(0.28202999999999995)]",1,"[np.float64(0.9227446368), np.float64(-0.28202999999999995)]",0,0,6,0.32035731840000004,0.07725536320000001,0.28202999999999995
0,6,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(-0.314), np.float64(-0.3274456)]",0,"[np.float64(0.314), np.float64(-0.6725544)]",0,1,6,-0.1792772,-0.314,-0.3274456
0,7,0,State AB,"['A', 'B']",Reward,"[0.0, 10.0]","['75', '25']","[0, 1]","[np.float64(0.5694509999999999), np.float64(0.0196)]",0,"[np.float64(-0.5694509999999999), np.float64(0.9804)]",0,1,7,0.20547450000000006,0.5694509999999999,0.0196
0,7,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(-0.24784200000000003), np.float64(-0.5288316016000001)]",0,"[np.float64(0.24784200000000003), np.float64(-0.4711683983999999)]",0,1,7,-0.11166319919999994,-0.24784200000000003,-0.5288316016000001
0,7,0,State GH,"['G', 'H']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[-1, 0]","[np.float64(-0.2198), np.float64(-0.340896688)]",1,"[np.float64(-0.7802), np.float64(0.340896688)]",0,0,7,-0.219651656,-0.2198,-0.340896688
0,7,0,State CD,"['C', 'D']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(0.09571025593600001), np.float64(0.19742099999999996)]",0,"[np.float64(-0.09571025593600001), np.float64(-0.19742099999999996)]",0,1,7,-0.146565627968,0.09571025593600001,0.19742099999999996
0,8,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(-0.17348940000000002), np.float64(-0.5382549695680001)]",0,"[np.float64(0.17348940000000002), np.float64(-0.4617450304319999)]",0,1,8,-0.14412781521599993,-0.17348940000000002,-0.5382549695680001
0,8,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(-0.235404), np.float64(-0.2386276816)]",0,"[np.float64(0.235404), np.float64(-0.7613723184)]",0,1,8,-0.26298415919999996,-0.235404,-0.2386276816
0,8,0,State AB,"['B', 'A']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[np.float64(0.39861569999999996), np.float64(0.039208)]",0,"[np.float64(0.6013843000000001), np.float64(0.960792)]",0,1,8,0.78108815,0.39861569999999996,0.039208
0,8,0,State CD,"['D', 'C']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[np.float64(0.06699717915520001), np.float64(0.19347257999999995)]",0,"[np.float64(0.9330028208448), np.float64(0.8065274200000001)]",0,1,8,0.8697651204224001,0.06699717915520001,0.19347257999999995
0,9,0,State AB,"['A', 'B']",Reward,"[0.0, 10.0]","['75', '25']","[0, 1]","[np.float64(0.57903099), np.float64(0.058423840000000005)]",0,"[np.float64(-0.57903099), np.float64(0.94157616)]",0,1,9,0.18127258499999999,0.57903099,0.058423840000000005
0,9,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(-0.1647828), np.float64(-0.253855127968)]",1,"[np.float64(-0.8352172), np.float64(-0.746144872032)]",0,0,9,-0.7906810360159999,-0.1647828,-0.253855127968
0,10,0,State AB,"['B', 'A']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(0.405321693), np.float64(0.07725536320000001)]",0,"[np.float64(-0.405321693), np.float64(-0.07725536320000001)]",0,1,10,-0.2412885281,0.405321693,0.07725536320000001
0,9,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(-0.12144258000000002), np.float64(-0.5474898701766401)]",0,"[np.float64(0.12144258000000002), np.float64(-0.4525101298233599)]",0,1,9,-0.16553377491167995,-0.12144258000000002,-0.5474898701766401
0,10,0,State GH,"['G', 'H']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(-0.18148714400000002), np.float64(-0.47769858957760003)]",0,"[np.float64(-0.818512856), np.float64(-0.5223014104224)]",0,1,10,-0.6704071332112,-0.18148714400000002,-0.47769858957760003
0,10,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(-0.08500980600000002), np.float64(-0.5565400727731072)]",0,"[np.float64(0.08500980600000002), np.float64(-0.44345992722689276)]",0,1,10,-0.17922506061344637,-0.08500980600000002,-0.5565400727731072
