block_number,trial_number,state_id,stim_id,q_values,action
0,21888,State EF,EF,"[np.float64(0.4411761579077245), np.float64(-0.37425198156160083)]",0
0,21889,State EH,EH,"[np.float64(0.4411761579077245), np.float64(-0.3963858567339188)]",0
0,21890,State BF,BF,"[np.float64(-0.1779765525005184), np.float64(-0.37425198156160083)]",0
0,21891,State BF,BF,"[np.float64(-0.1779765525005184), np.float64(-0.37425198156160083)]",0
0,21892,State DN,DN,"[np.float64(-0.19987245479893218), np.float64(0.26)]",1
0,21893,State DE,DE,"[np.float64(-0.19987245479893218), np.float64(0.4411761579077245)]",1
0,21894,State CG,CG,"[np.float64(0.4741072822150702), np.float64(-0.49451759129739586)]",0
0,21895,State DG,DG,"[np.float64(-0.19987245479893218), np.float64(-0.49451759129739586)]",0
0,21896,State DF,DF,"[np.float64(-0.19987245479893218), np.float64(-0.37425198156160083)]",0
0,21897,State HN,HN,"[np.float64(-0.3963858567339188), np.float64(0.26)]",1
0,21898,State BH,BH,"[np.float64(-0.1779765525005184), np.float64(-0.3963858567339188)]",1
0,21899,State AB,AB,"[np.float64(0.28759350301015546), np.float64(-0.1779765525005184)]",0
0,21900,State GN,GN,"[np.float64(-0.49451759129739586), np.float64(0.26)]",1
0,21901,State BE,BE,"[np.float64(-0.1779765525005184), np.float64(0.4411761579077245)]",1
0,21902,State AH,AH,"[np.float64(0.28759350301015546), np.float64(-0.3963858567339188)]",0
0,21903,State EH,EH,"[np.float64(0.4411761579077245), np.float64(-0.3963858567339188)]",0
0,21904,State CG,CG,"[np.float64(0.4741072822150702), np.float64(-0.49451759129739586)]",0
0,21905,State AE,AE,"[np.float64(0.28759350301015546), np.float64(0.4411761579077245)]",0
0,21906,State GF,GF,"[np.float64(-0.49451759129739586), np.float64(-0.37425198156160083)]",1
0,21907,State CB,CB,"[np.float64(0.4741072822150702), np.float64(-0.1779765525005184)]",0
0,21908,State BH,BH,"[np.float64(-0.1779765525005184), np.float64(-0.3963858567339188)]",0
0,21909,State EH,EH,"[np.float64(0.4411761579077245), np.float64(-0.3963858567339188)]",0
0,21910,State DG,DG,"[np.float64(-0.19987245479893218), np.float64(-0.49451759129739586)]",0
0,21911,State DF,DF,"[np.float64(-0.19987245479893218), np.float64(-0.37425198156160083)]",0
0,21912,State BG,BG,"[np.float64(-0.1779765525005184), np.float64(-0.49451759129739586)]",0
0,21913,State DE,DE,"[np.float64(-0.19987245479893218), np.float64(0.4411761579077245)]",1
0,21914,State FN,FN,"[np.float64(-0.37425198156160083), np.float64(0.26)]",1
0,21915,State FN,FN,"[np.float64(-0.37425198156160083), np.float64(0.26)]",1
0,21916,State DF,DF,"[np.float64(-0.19987245479893218), np.float64(-0.37425198156160083)]",0
0,21917,State AG,AG,"[np.float64(0.28759350301015546), np.float64(-0.49451759129739586)]",0
0,21918,State AD,AD,"[np.float64(0.28759350301015546), np.float64(-0.19987245479893218)]",0
0,21919,State CG,CG,"[np.float64(0.4741072822150702), np.float64(-0.49451759129739586)]",0
0,21920,State DE,DE,"[np.float64(-0.19987245479893218), np.float64(0.4411761579077245)]",1
0,21921,State BN,BN,"[np.float64(-0.1779765525005184), np.float64(0.26)]",1
0,21922,State DH,DH,"[np.float64(-0.19987245479893218), np.float64(-0.3963858567339188)]",0
0,21923,State DH,DH,"[np.float64(-0.19987245479893218), np.float64(-0.3963858567339188)]",1
