block_number,trial_number,state_index,state_id,stim_id,context,feedback,probabilities,rewards,q_values,action,prediction_errors,correct_action,accuracy,context_value,context_prediction_errors,trial_total,averaged_pe,q_values1,q_values2
0,1,0,State EF,"['F', 'E']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]","[0, 0]",1,"[0, 0]",0,0,[0.],[0.],1,0.0,0.0,0.0
0,1,0,State AB,"['B', 'A']",Reward,"[10.0, 0.0]","['75', '25']","[0, 1]","[0, 0]",1,"[0, 1]",0,0,[0.07],[0.5],1,0.5,0.0,0.0
0,2,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(0.0), np.float64(0.0)]",0,"[np.float64(0.0), np.float64(-1.0)]",0,1,[-0.07],[-0.5],2,-0.5,0.0,0.0
0,1,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[0, 0]",1,"[0, -1]",0,0,[-0.07],[-0.5],1,-0.5,0.0,0.0
0,1,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[0, 0]",1,"[1, 0]",0,0,[0.07],[0.5],1,0.5,0.0,0.0
0,2,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.48), np.float64(0.0)]",0,"[np.float64(0.44999999999999996), np.float64(-0.07)]",0,1,[0.1302],[0.43],2,0.18999999999999997,0.48,0.0
0,2,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(0.0), np.float64(-0.89)]",0,"[np.float64(0.07), np.float64(-0.039999999999999925)]",0,1,[-0.1302],[-0.43],2,0.015000000000000041,0.0,-0.89
0,2,0,State AB,"['A', 'B']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(0.0), np.float64(0.89)]",1,"[np.float64(-0.07), np.float64(-0.96)]",0,0,[0.0602],[-0.07],2,-0.515,0.0,0.89
0,3,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]","[np.float64(0.06230000000000001), np.float64(-0.9092)]",0,"[np.float64(0.0679), np.float64(1.0394)]",0,1,[-0.111972],[0.1302],3,0.5536500000000001,0.06230000000000001,-0.9092
0,3,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(0.0), np.float64(-0.48)]",0,"[np.float64(-0.9299999999999999), np.float64(-0.44999999999999996)]",0,1,[-0.2002],[-0.93],3,-0.69,0.0,-0.48
0,3,0,State AB,"['A', 'B']",Reward,"[0.0, 10.0]","['75', '25']","[0, 1]","[np.float64(-0.033600000000000005), np.float64(0.035600000000000076)]",0,"[np.float64(-0.0266), np.float64(0.9041999999999999)]",0,1,[0.121772],[0.4398],3,0.43879999999999997,-0.033600000000000005,0.035600000000000076
0,3,0,State CD,"['C', 'D']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(0.8805), np.float64(-0.033600000000000005)]",0,"[np.float64(-1.0107), np.float64(-0.0966)]",0,1,[0.111972],[-0.1302],3,-0.55365,0.8805,-0.033600000000000005
0,4,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(-0.057274000000000005), np.float64(0.46961600000000003)]",1,"[np.float64(0.9355020000000001), np.float64(-0.591388)]",0,0,[0.17472392],[0.378228],4,0.17205700000000002,-0.057274000000000005,0.46961600000000003
0,4,0,State CD,"['D', 'C']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[np.float64(-0.019023000000000012), np.float64(-0.07996800000000001)]",1,"[np.float64(0.907051), np.float64(0.9679960000000001)]",0,0,[0.23629592],[0.888028],4,0.9375235000000001,-0.019023000000000012,-0.07996800000000001
0,4,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(-0.8277), np.float64(-0.696)]",1,"[np.float64(1.0279), np.float64(-0.1038)]",0,0,[-0.242172],[-0.2998],4,0.46205,-0.8277,-0.696
0,4,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(0.122731), np.float64(-0.410288)]",0,"[np.float64(-0.010759000000000005), np.float64(-0.47774000000000005)]",0,1,[-0.16629592],[-0.388028],4,-0.24424950000000004,0.122731,-0.410288
0,5,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.41636148), np.float64(0.78154844)]",1,"[np.float64(0.3473426), np.float64(-1.01784436)]",0,0,[0.27321449],[0.26370408],5,-0.33525088000000003,0.41636148,0.78154844
0,5,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(-0.334308), np.float64(-0.7883819999999999)]",0,"[np.float64(0.57648), np.float64(0.03055399999999997)]",0,1,[-0.27826792],[-0.257828],5,0.303517,-0.334308,-0.7883819999999999
