model,group,A,B,E,F,N
QLearning+novel,chronic pain,88,68,13,22,61
QLearning+novel,chronic pain,96,62.5,47,2,33
QLearning+novel,chronic pain,96.5,73.5,32,0,43
QLearning+novel,chronic pain,97.5,63.5,36,7,39
QLearning+novel,chronic pain,60.5,64,53.5,34,25
QLearning+novel,chronic pain,82.5,56.5,52,21,26
QLearning+novel,chronic pain,74.5,58.5,42,18,59
QLearning+novel,chronic pain,73,55,49,33,30
QLearning+novel,chronic pain,82,64.5,52,15.5,21
QLearning+novel,chronic pain,91.5,65,43.5,15.5,19
QLearning+novel,chronic pain,96,58,29,0.5,76
QLearning+novel,chronic pain,93,59,37,26,20
QLearning+novel,chronic pain,85,55.5,43,15,50
QLearning+novel,chronic pain,81,77.5,36.5,11,36
QLearning+novel,chronic pain,91.5,63,34,8.5,51
QLearning+novel,chronic pain,64,82,41,21.5,31
QLearning+novel,chronic pain,80.5,72,40,9.5,42
QLearning+novel,chronic pain,98.5,59.5,44.5,2.5,37
QLearning+novel,chronic pain,93.5,68.5,47,4,22
QLearning+novel,chronic pain,62.5,43.5,46.5,45,51
QLearning+novel,chronic pain,57.5,54,50,43.5,38
QLearning+novel,chronic pain,91.5,71.5,40.5,9,25
QLearning+novel,chronic pain,95.5,72.5,42.5,1,27
QLearning+novel,chronic pain,94,72.5,35.5,3.5,36
QLearning+novel,chronic pain,84.5,51.5,28,27,61
QLearning+novel,chronic pain,94.5,67,33.5,2.5,52
QLearning+novel,chronic pain,82,58.5,49,19.5,30
QLearning+novel,chronic pain,85.5,75.5,40,10.5,27
QLearning+novel,chronic pain,96.5,66,43.5,7,23
QLearning+novel,chronic pain,88,65.5,32.5,10.5,52
QLearning+novel,chronic pain,84,69.5,56.5,6,18
QLearning+novel,chronic pain,67.5,71,48.5,23,29
QLearning+novel,chronic pain,96.5,63.5,49,12.5,8
QLearning+novel,chronic pain,86,74,43.5,15.5,13
QLearning+novel,chronic pain,75.5,64.5,50,29.5,12
QLearning+novel,chronic pain,73,73.5,51.5,7,37
QLearning+novel,chronic pain,95.5,62.5,29.5,6.5,57
QLearning+novel,chronic pain,86.5,48,40.5,4,83
QLearning+novel,chronic pain,83.5,64,47,20,21
QLearning+novel,chronic pain,78.5,42,40,48.5,30
QLearning+novel,chronic pain,86,67,46,20,13
QLearning+novel,chronic pain,72,52,52,37.5,22
QLearning+novel,chronic pain,81,68,41.5,9.5,46
QLearning+novel,chronic pain,92,59.5,23.5,9,73
QLearning+novel,chronic pain,77,67.5,38,10.5,59
QLearning+novel,chronic pain,79.5,60,40,15,56
QLearning+novel,chronic pain,73,63.5,21.5,26,73
QLearning+novel,chronic pain,61,54.5,54,46,18
