model,parameter,F,df_res,df_model,p_value,r_squared,normality,homogeneity
QLearning+novel,factual_lr,0.301648813,236,2,0.739882485,0.002549828,violated,met
QLearning+novel,counterfactual_lr,0.113037264,236,2,0.893165704,0.000957026,violated,met
QLearning+novel,temperature,3.65801949,236,2,0.02725645,0.030068051,violated,met
QLearning+novel,novel_value,2.984323759,236,2,0.052485931,0.024667028,violated,met
ActorCritic+novel,factual_actor_lr,0.428327278,236,2,0.652103646,0.003616764,violated,met
ActorCritic+novel,counterfactual_actor_lr,1.592940446,236,2,0.205505127,0.013319686,violated,met
ActorCritic+novel,critic_lr,1.94394619,236,2,0.145423151,0.016207122,violated,met
ActorCritic+novel,temperature,1.965219634,236,2,0.14241153,0.016381578,violated,met
ActorCritic+novel,novel_value,4.085400406,236,2,0.018020071,0.033463464,violated,met
Relative+novel,factual_lr,1.039372081,236,2,0.355289878,0.00873133,violated,met
Relative+novel,counterfactual_lr,0.034101006,236,2,0.966478642,0.000288908,violated,met
Relative+novel,contextual_lr,3.896649006,236,2,0.021629594,0.031966826,violated,met
Relative+novel,temperature,0.138414654,236,2,0.870808196,0.001171631,met,met
Relative+novel,novel_value,2.157944783,236,2,0.117837325,0.017959235,violated,met
Advantage+novel,factual_lr,0.128772043,236,2,0.879236088,0.001090099,violated,violated
Advantage+novel,counterfactual_lr,0.043561887,236,2,0.957381,0.000369032,violated,met
Advantage+novel,temperature,0.106394986,236,2,0.899112558,0.00090084,met,met
Advantage+novel,weighing_factor,3.667209642,236,2,0.027014579,0.030141315,violated,met
Advantage+novel,novel_value,1.572997588,236,2,0.209589289,0.013155124,violated,met
Hybrid2012+novel,factual_lr,0.353939559,236,2,0.702289337,0.002990518,violated,met
Hybrid2012+novel,counterfactual_lr,1.791518422,236,2,0.168966504,0.014955303,violated,met
Hybrid2012+novel,factual_actor_lr,2.025926404,236,2,0.134158746,0.016879073,violated,met
Hybrid2012+novel,counterfactual_actor_lr,2.317172641,236,2,0.10079012,0.019258869,violated,met
Hybrid2012+novel,critic_lr,2.349389939,236,2,0.097655672,0.019521411,violated,met
Hybrid2012+novel,temperature,0.62471518,236,2,0.536296923,0.005266316,met,met
Hybrid2012+novel,mixing_factor,1.746442296,236,2,0.176639485,0.014584503,violated,met
Hybrid2012+novel,novel_value,2.414112396,236,2,0.091652643,0.020048417,violated,met
