model,parameter,condition1,condition2,comparison,t_value,p_value,cohens_d,df,homogeneity_assumption,normality_assumption
QLearning+novel,factual_lr,no pain,acute pain,no pain vs acute pain,0.483089568,0.629696665,0.081019729,159,met,violated
QLearning+novel,factual_lr,no pain,chronic pain,no pain vs chronic pain,-0.39464958,0.693558584,-0.058642022,184,met,violated
QLearning+novel,counterfactual_lr,no pain,acute pain,no pain vs acute pain,0.161704383,0.871743952,0.027119702,159,met,violated
QLearning+novel,counterfactual_lr,no pain,chronic pain,no pain vs chronic pain,-0.355027993,0.722975234,-0.052754546,184,met,violated
QLearning+novel,temperature,no pain,acute pain,no pain vs acute pain,-1.351866849,0.178337847,-0.226723764,159,met,violated
QLearning+novel,temperature,no pain,chronic pain,no pain vs chronic pain,-2.71815317,0.007192393,-0.40389755,184,met,violated
QLearning+novel,novel_value,no pain,acute pain,no pain vs acute pain,2.399415967,0.017578127,0.402409913,159,met,violated
QLearning+novel,novel_value,no pain,chronic pain,no pain vs chronic pain,0.039071634,0.968875636,0.005805757,184,met,violated
ActorCritic+novel,factual_actor_lr,no pain,acute pain,no pain vs acute pain,0.671976828,0.502573689,0.112698315,159,met,violated
ActorCritic+novel,factual_actor_lr,no pain,chronic pain,no pain vs chronic pain,-0.352636742,0.724764399,-0.052399224,184,met,violated
ActorCritic+novel,counterfactual_actor_lr,no pain,acute pain,no pain vs acute pain,-1.228545573,0.221057542,-0.206041355,159,met,violated
ActorCritic+novel,counterfactual_actor_lr,no pain,chronic pain,no pain vs chronic pain,-1.696570159,0.091468984,-0.252097836,184,met,violated
ActorCritic+novel,critic_lr,no pain,acute pain,no pain vs acute pain,-1.904086773,0.058705091,-0.319337456,159,met,violated
ActorCritic+novel,critic_lr,no pain,chronic pain,no pain vs chronic pain,-0.91541472,0.361172077,-0.136023888,184,met,violated
ActorCritic+novel,temperature,no pain,acute pain,no pain vs acute pain,-1.701349419,0.090832086,-0.285336049,159,met,met
ActorCritic+novel,temperature,no pain,chronic pain,no pain vs chronic pain,-1.56968491,0.118206496,-0.233243622,184,met,violated
