Model,Parameter,Correlation
QLearning+novel,factual_lr,0.97
QLearning+novel,counterfactual_lr,0.97
QLearning+novel,temperature,0.77
QLearning+novel,novel_value,0.99
ActorCritic+novel,factual_actor_lr,0.8
ActorCritic+novel,counterfactual_actor_lr,0.73
ActorCritic+novel,critic_lr,0.63
ActorCritic+novel,temperature,0.62
ActorCritic+novel,novel_value,0.97
Relative+novel,factual_lr,0.95
Relative+novel,counterfactual_lr,0.92
Relative+novel,contextual_lr,0.73
Relative+novel,temperature,0.81
Relative+novel,novel_value,0.99
Advantage+novel,factual_lr,0.93
Advantage+novel,counterfactual_lr,0.92
Advantage+novel,temperature,0.82
Advantage+novel,weighting_factor,0.98
Advantage+novel,novel_value,0.99
Hybrid2012+novel,factual_lr,0.59
Hybrid2012+novel,counterfactual_lr,0.56
Hybrid2012+novel,factual_actor_lr,0.56
Hybrid2012+novel,counterfactual_actor_lr,0.42
Hybrid2012+novel,critic_lr,0.22
Hybrid2012+novel,temperature,0.7
Hybrid2012+novel,mixing_factor,0.87
Hybrid2012+novel,novel_value,0.98
