block_number,trial_number,state_index,state_id,stim_id,context,feedback,probabilities,rewards,action,prediction_errors,correct_action,accuracy,w_values,v_values,trial_total,averaged_pe,w_values1,w_values2
0,0,3,State GH,"['G', 'H']",Loss Avoid,-1,"[0.25, 0.75]","[0, 0]",0,"[0, 0]",0,1,"[0.01, 0.01]",[0],1,0.0,0.01,0.01
0,1,0,State AB,"['A', 'B']",Reward,1,"[0.75, 0.25]","[0.5, 0]",1,"[0, 0]",0,0,"[0.01, 0.01]",[0],1,0.0,0.01,0.01
0,2,0,State AB,"['A', 'B']",Reward,1,"[0.75, 0.25]","[0.5, 0]",0,"[np.float64(0.5), np.float64(0.5)]",0,1,[0.5 0.5],[np.float64(0.0)],2,0.5,0.5,0.5
0,3,3,State GH,"['G', 'H']",Loss Avoid,-1,"[0.25, 0.75]","[0, 0]",1,"[np.float64(0.0), np.float64(0.0)]",0,0,[0.5 0.5],[np.float64(0.0)],2,0.0,0.5,0.5
0,4,1,State CD,"['C', 'D']",Reward,1,"[0.75, 0.25]","[0.5, 0.5]",0,"[0.5, 0.5]",0,1,"[0.01, 0.01]",[0],1,0.5,0.01,0.01
0,5,1,State CD,"['C', 'D']",Reward,1,"[0.75, 0.25]","[0.5, 0]",0,"[np.float64(0.45), np.float64(0.45)]",0,1,[0.63157895 0.36842105],[np.float64(0.05)],2,0.45,0.6315789473684211,0.368421052631579
0,6,2,State EF,"['E', 'F']",Loss Avoid,-1,"[0.25, 0.75]","[0, -0.5]",0,"[0, 0]",0,1,"[0.01, 0.01]",[0],1,0.0,0.01,0.01
0,7,1,State CD,"['C', 'D']",Reward,1,"[0.75, 0.25]","[0.5, 0]",0,"[np.float64(0.405), np.float64(0.405)]",0,1,[0.63379761 0.36620239],[np.float64(0.095)],3,0.405,0.6337976087760385,0.36620239122396153
0,8,3,State GH,"['G', 'H']",Loss Avoid,-1,"[0.25, 0.75]","[0, -0.5]",0,"[np.float64(0.0), np.float64(0.0)]",0,1,[0.5 0.5],[np.float64(0.0)],3,0.0,0.5,0.5
0,9,2,State EF,"['E', 'F']",Loss Avoid,-1,"[0.25, 0.75]","[-0.5, 0]",1,"[np.float64(0.0), np.float64(0.0)]",0,0,[0.5 0.5],[np.float64(0.0)],2,0.0,0.5,0.5
