block_number,trial_number,state_id,stim_id,action,w_values
0,0,State GH,"['G', 'H']",0,"[np.float64(0.5843850362882187), np.float64(0.4156149637117813)]"
0,1,State BN,"['B', 'N']",0,"[np.float64(0.40554107758442476), np.int64(0)]"
0,2,State EH,"['E', 'H']",0,"[np.float64(0.5238860122591633), np.float64(0.4156149637117813)]"
0,3,State BN,"['B', 'N']",0,"[np.float64(0.40554107758442476), np.int64(0)]"
0,4,State BH,"['B', 'H']",0,"[np.float64(0.40554107758442476), np.float64(0.4156149637117813)]"
0,5,State DN,"['D', 'N']",0,"[np.float64(0.3341739255394326), np.int64(0)]"
0,6,State DH,"['D', 'H']",1,"[np.float64(0.3341739255394326), np.float64(0.4156149637117813)]"
0,7,State FN,"['F', 'N']",0,"[np.float64(0.4761139877408367), np.int64(0)]"
0,8,State CH,"['C', 'H']",0,"[np.float64(0.6658260744605673), np.float64(0.4156149637117813)]"
0,9,State AE,"['A', 'E']",0,"[np.float64(0.5944589224155753), np.float64(0.5238860122591633)]"
0,10,State CH,"['C', 'H']",0,"[np.float64(0.6658260744605673), np.float64(0.4156149637117813)]"
0,11,State FG,"['F', 'G']",1,"[np.float64(0.4761139877408367), np.float64(0.5843850362882187)]"
0,12,State EN,"['E', 'N']",0,"[np.float64(0.5238860122591633), np.int64(0)]"
0,13,State DH,"['D', 'H']",1,"[np.float64(0.3341739255394326), np.float64(0.4156149637117813)]"
0,14,State BC,"['B', 'C']",1,"[np.float64(0.40554107758442476), np.float64(0.6658260744605673)]"
0,15,State GH,"['G', 'H']",0,"[np.float64(0.5843850362882187), np.float64(0.4156149637117813)]"
0,16,State GN,"['G', 'N']",0,"[np.float64(0.5843850362882187), np.int64(0)]"
0,17,State FG,"['F', 'G']",1,"[np.float64(0.4761139877408367), np.float64(0.5843850362882187)]"
0,18,State AN,"['A', 'N']",0,"[np.float64(0.5944589224155753), np.int64(0)]"
0,19,State CG,"['C', 'G']",0,"[np.float64(0.6658260744605673), np.float64(0.5843850362882187)]"
0,20,State BG,"['B', 'G']",1,"[np.float64(0.40554107758442476), np.float64(0.5843850362882187)]"
0,21,State BC,"['B', 'C']",1,"[np.float64(0.40554107758442476), np.float64(0.6658260744605673)]"
0,22,State AE,"['A', 'E']",0,"[np.float64(0.5944589224155753), np.float64(0.5238860122591633)]"
0,23,State BF,"['B', 'F']",1,"[np.float64(0.40554107758442476), np.float64(0.4761139877408367)]"
0,24,State CF,"['C', 'F']",0,"[np.float64(0.6658260744605673), np.float64(0.4761139877408367)]"
0,25,State FG,"['F', 'G']",1,"[np.float64(0.4761139877408367), np.float64(0.5843850362882187)]"
0,26,State EH,"['E', 'H']",0,"[np.float64(0.5238860122591633), np.float64(0.4156149637117813)]"
0,27,State AB,"['A', 'B']",1,"[np.float64(0.5944589224155753), np.float64(0.40554107758442476)]"
0,28,State HN,"['H', 'N']",0,"[np.float64(0.4156149637117813), np.int64(0)]"
0,29,State CF,"['C', 'F']",0,"[np.float64(0.6658260744605673), np.float64(0.4761139877408367)]"
0,30,State AH,"['A', 'H']",0,"[np.float64(0.5944589224155753), np.float64(0.4156149637117813)]"
0,31,State AD,"['A', 'D']",0,"[np.float64(0.5944589224155753), np.float64(0.3341739255394326)]"
0,32,State CN,"['C', 'N']",0,"[np.float64(0.6658260744605673), np.int64(0)]"
0,33,State FN,"['F', 'N']",0,"[np.float64(0.4761139877408367), np.int64(0)]"
0,34,State AE,"['A', 'E']",1,"[np.float64(0.5944589224155753), np.float64(0.5238860122591633)]"
