block_number,trial_number,state_index,state_id,stim_id,context,feedback,probabilities,rewards,action,prediction_errors,correct_action,accuracy,w_values,v_values,trial_total,averaged_pe,w_values1,w_values2
0,0,1,State CD,"['C', 'D']",Reward,1,"[0.75, 0.25]","[0, 0.5]",1,"[0.5, 0.5]",0,0,"[0.01, 0.01]",[0],1,0.5,0.01,0.01
0,1,1,State CD,"['C', 'D']",Reward,1,"[0.75, 0.25]","[0.5, 0]",1,"[np.float64(-0.05), np.float64(-0.05)]",0,0,[0.36842105 0.63157895],[np.float64(0.05)],2,-0.05,0.368421052631579,0.6315789473684211
0,2,3,State GH,"['G', 'H']",Loss Avoid,-1,"[0.25, 0.75]","[0, -0.5]",1,"[-0.5, -0.5]",0,0,"[0.01, 0.01]",[0],1,-0.5,0.01,0.01
0,3,3,State GH,"['G', 'H']",Loss Avoid,-1,"[0.25, 0.75]","[0, 0]",0,"[np.float64(0.05), np.float64(0.05)]",0,1,[-0.27272727 -0.72727273],[np.float64(-0.05)],2,0.05,-0.27272727272727276,-0.7272727272727273
0,4,3,State GH,"['G', 'H']",Loss Avoid,-1,"[0.25, 0.75]","[0, -0.5]",0,"[np.float64(0.045), np.float64(0.045)]",0,1,[-0.2697504 -0.7302496],[np.float64(-0.045)],3,0.045,-0.26975040073276846,-0.7302495992672314
0,5,0,State AB,"['A', 'B']",Reward,1,"[0.75, 0.25]","[0, 0]",1,"[0, 0]",0,0,"[0.01, 0.01]",[0],1,0.0,0.01,0.01
0,6,3,State GH,"['G', 'H']",Loss Avoid,-1,"[0.25, 0.75]","[0, -0.5]",0,"[np.float64(0.0405), np.float64(0.0405)]",0,1,[-0.26705301 -0.73294699],[np.float64(-0.0405)],4,0.0405,-0.26705300854041625,-0.7329469914595836
0,7,0,State AB,"['A', 'B']",Reward,1,"[0.75, 0.25]","[0.5, 0]",0,"[np.float64(0.5), np.float64(0.5)]",0,1,[0.5 0.5],[np.float64(0.0)],2,0.5,0.5,0.5
0,8,3,State GH,"['G', 'H']",Loss Avoid,-1,"[0.25, 0.75]","[-0.5, 0]",0,"[np.float64(-0.46355), np.float64(-0.46355)]",0,1,[-0.26461052 -0.73538948],[np.float64(-0.03645)],5,-0.46355,-0.2646105174338268,-0.7353894825661732
0,9,1,State CD,"['C', 'D']",Reward,1,"[0.75, 0.25]","[0.5, 0.5]",1,"[np.float64(0.455), np.float64(0.455)]",0,0,[0.3686862 0.6313138],[np.float64(0.045)],3,0.455,0.36868619912501654,0.6313138008749833
0,10,0,State AB,"['A', 'B']",Reward,1,"[0.75, 0.25]","[0.5, 0]",1,"[np.float64(-0.05), np.float64(-0.05)]",0,0,[0.51162791 0.48837209],[np.float64(0.05)],3,-0.05,0.5116279069767441,0.48837209302325574
0,11,2,State EF,"['E', 'F']",Loss Avoid,-1,"[0.25, 0.75]","[0, -0.5]",1,"[-0.5, -0.5]",0,0,"[0.01, 0.01]",[0],1,-0.5,0.01,0.01
0,12,2,State EF,"['E', 'F']",Loss Avoid,-1,"[0.25, 0.75]","[0, -0.5]",0,"[np.float64(0.05), np.float64(0.05)]",0,1,[-0.27272727 -0.72727273],[np.float64(-0.05)],2,0.05,-0.27272727272727276,-0.7272727272727273
0,13,1,State CD,"['C', 'D']",Reward,1,"[0.75, 0.25]","[0.5, 0.5]",1,"[np.float64(0.4095), np.float64(0.4095)]",0,0,[0.36642752 0.63357248],[np.float64(0.0905)],4,0.4095,0.36642752082847324,0.6335724791715267
0,14,3,State GH,"['G', 'H']",Loss Avoid,-1,"[0.25, 0.75]","[0, -0.5]",0,"[np.float64(0.08280500000000002), np.float64(0.08280500000000002)]",0,1,[-0.29074901 -0.70925099],[np.float64(-0.08280500000000002)],6,0.08280500000000002,-0.2907490117727389,-0.7092509882272612
0,15,2,State EF,"['E', 'F']",Loss Avoid,-1,"[0.25, 0.75]","[0, -0.5]",0,"[np.float64(0.045), np.float64(0.045)]",0,1,[-0.2697504 -0.7302496],[np.float64(-0.045)],3,0.045,-0.26975040073276846,-0.7302495992672314
0,16,1,State CD,"['C', 'D']",Reward,1,"[0.75, 0.25]","[0.5, 0]",1,"[np.float64(-0.13145), np.float64(-0.13145)]",0,0,[0.36451235 0.63548765],[np.float64(0.13145)],5,-0.13145,0.36451234974536423,0.6354876502546357
0,17,0,State AB,"['A', 'B']",Reward,1,"[0.75, 0.25]","[0.5, 0]",1,"[np.float64(-0.045), np.float64(-0.045)]",0,0,[0.51297522 0.48702478],[np.float64(0.045)],4,-0.045,0.5129752211352586,0.4870247788647413
0,18,2,State EF,"['E', 'F']",Loss Avoid,-1,"[0.25, 0.75]","[0, 0]",0,"[np.float64(0.0405), np.float64(0.0405)]",0,1,[-0.26705301 -0.73294699],[np.float64(-0.0405)],4,0.0405,-0.26705300854041625,-0.7329469914595836
0,19,0,State AB,"['A', 'B']",Reward,1,"[0.75, 0.25]","[0, 0.5]",0,"[np.float64(-0.0405), np.float64(-0.0405)]",0,1,[0.51419604 0.48580396],[np.float64(0.0405)],5,-0.0405,0.5141960444351963,0.48580395556480377
0,20,1,State CD,"['C', 'D']",Reward,1,"[0.75, 0.25]","[0.5, 0]",1,"[np.float64(-0.11830500000000001), np.float64(-0.11830500000000001)]",0,0,[0.36513949 0.63486051],[np.float64(0.11830500000000001)],6,-0.11830500000000001,0.3651394875919587,0.6348605124080413
0,21,2,State EF,"['E', 'F']",Loss Avoid,-1,"[0.25, 0.75]","[0, -0.5]",0,"[np.float64(0.03645), np.float64(0.03645)]",0,1,[-0.26461052 -0.73538948],[np.float64(-0.03645)],5,0.03645,-0.2646105174338268,-0.7353894825661732
0,22,0,State AB,"['A', 'B']",Reward,1,"[0.75, 0.25]","[0.5, 0]",0,"[np.float64(0.46355), np.float64(0.46355)]",0,1,[0.51326412 0.48673588],[np.float64(0.03645)],6,0.46355,0.5132641239884259,0.48673587601157403
0,23,2,State EF,"['E', 'F']",Loss Avoid,-1,"[0.25, 0.75]","[0, 0]",0,"[np.float64(0.032805), np.float64(0.032805)]",0,1,[-0.26240019 -0.73759981],[np.float64(-0.032805)],6,0.032805,-0.2624001904752502,-0.7375998095247498
1,0,0,State AB,"['A', 'B']",Reward,1,"[0.75, 0.25]","[0.5, 0]",1,"[np.float64(-0.08280500000000002), np.float64(-0.08280500000000002)]",0,0,[0.52323714 0.47676286],[np.float64(0.08280500000000002)],7,-0.08280500000000002,0.523237137710566,0.476762862289434
1,1,2,State EF,"['E', 'F']",Loss Avoid,-1,"[0.25, 0.75]","[-0.5, -0.5]",0,"[np.float64(-0.4704755), np.float64(-0.4704755)]",0,1,[-0.26040106 -0.73959894],[np.float64(-0.029524500000000002)],7,-0.4704755,-0.2604010589862568,-0.7395989410137431
