block_number,trial_number,state_id,stim_id,action,w_values
0,0,State AN,"['A', 'N']",0,"[np.float64(0.5563891750180125), np.int64(0)]"
0,1,State CH,"['C', 'H']",0,"[np.float64(0.3753101649822244), np.float64(-0.6923870990790051)]"
0,2,State DE,"['D', 'E']",0,"[np.float64(0.6246898350177756), np.float64(-0.28143124553664794)]"
0,3,State EN,"['E', 'N']",1,"[np.float64(-0.28143124553664794), np.int64(0)]"
0,4,State GN,"['G', 'N']",1,"[np.float64(-0.3076129009209949), np.int64(0)]"
0,5,State CD,"['C', 'D']",1,"[np.float64(0.3753101649822244), np.float64(0.6246898350177756)]"
0,6,State CN,"['C', 'N']",0,"[np.float64(0.3753101649822244), np.int64(0)]"
0,7,State BH,"['B', 'H']",0,"[np.float64(0.4436108249819874), np.float64(-0.6923870990790051)]"
0,8,State CE,"['C', 'E']",0,"[np.float64(0.3753101649822244), np.float64(-0.28143124553664794)]"
0,9,State BF,"['B', 'F']",0,"[np.float64(0.4436108249819874), np.float64(-0.7185687544633521)]"
0,10,State DG,"['D', 'G']",0,"[np.float64(0.6246898350177756), np.float64(-0.3076129009209949)]"
0,11,State FG,"['F', 'G']",1,"[np.float64(-0.7185687544633521), np.float64(-0.3076129009209949)]"
0,12,State BE,"['B', 'E']",0,"[np.float64(0.4436108249819874), np.float64(-0.28143124553664794)]"
0,13,State AD,"['A', 'D']",1,"[np.float64(0.5563891750180125), np.float64(0.6246898350177756)]"
0,14,State AG,"['A', 'G']",0,"[np.float64(0.5563891750180125), np.float64(-0.3076129009209949)]"
0,15,State CG,"['C', 'G']",0,"[np.float64(0.3753101649822244), np.float64(-0.3076129009209949)]"
0,16,State BH,"['B', 'H']",0,"[np.float64(0.4436108249819874), np.float64(-0.6923870990790051)]"
0,17,State DN,"['D', 'N']",0,"[np.float64(0.6246898350177756), np.int64(0)]"
0,18,State AB,"['A', 'B']",0,"[np.float64(0.5563891750180125), np.float64(0.4436108249819874)]"
0,19,State BF,"['B', 'F']",0,"[np.float64(0.4436108249819874), np.float64(-0.7185687544633521)]"
0,20,State HN,"['H', 'N']",1,"[np.float64(-0.6923870990790051), np.int64(0)]"
0,21,State AE,"['A', 'E']",0,"[np.float64(0.5563891750180125), np.float64(-0.28143124553664794)]"
0,22,State AE,"['A', 'E']",0,"[np.float64(0.5563891750180125), np.float64(-0.28143124553664794)]"
0,23,State GH,"['G', 'H']",0,"[np.float64(-0.3076129009209949), np.float64(-0.6923870990790051)]"
0,24,State HN,"['H', 'N']",1,"[np.float64(-0.6923870990790051), np.int64(0)]"
0,25,State CH,"['C', 'H']",0,"[np.float64(0.3753101649822244), np.float64(-0.6923870990790051)]"
0,26,State BG,"['B', 'G']",0,"[np.float64(0.4436108249819874), np.float64(-0.3076129009209949)]"
0,27,State AH,"['A', 'H']",0,"[np.float64(0.5563891750180125), np.float64(-0.6923870990790051)]"
0,28,State FN,"['F', 'N']",1,"[np.float64(-0.7185687544633521), np.int64(0)]"
0,29,State EN,"['E', 'N']",1,"[np.float64(-0.28143124553664794), np.int64(0)]"
0,30,State AD,"['A', 'D']",0,"[np.float64(0.5563891750180125), np.float64(0.6246898350177756)]"
0,31,State BE,"['B', 'E']",0,"[np.float64(0.4436108249819874), np.float64(-0.28143124553664794)]"
0,32,State AB,"['A', 'B']",1,"[np.float64(0.5563891750180125), np.float64(0.4436108249819874)]"
0,33,State EH,"['E', 'H']",0,"[np.float64(-0.28143124553664794), np.float64(-0.6923870990790051)]"
0,34,State CF,"['C', 'F']",0,"[np.float64(0.3753101649822244), np.float64(-0.7185687544633521)]"
0,35,State AF,"['A', 'F']",0,"[np.float64(0.5563891750180125), np.float64(-0.7185687544633521)]"
0,36,State CE,"['C', 'E']",0,"[np.float64(0.3753101649822244), np.float64(-0.28143124553664794)]"
0,37,State DG,"['D', 'G']",0,"[np.float64(0.6246898350177756), np.float64(-0.3076129009209949)]"
0,38,State AH,"['A', 'H']",0,"[np.float64(0.5563891750180125), np.float64(-0.6923870990790051)]"
