block_number,trial_number,state_index,state_id,stim_id,context,feedback,probabilities,rewards,q_values,action,correct_action,accuracy,v_values,w_values,h_values,q_prediction_errors,v_prediction_errors,trial_total,prediction_errors,averaged_pe,h_values1,h_values2
0,0,3,State GH,"['G', 'H']",Loss Avoid,-1,"[0.25, 0.75]","[np.float64(-0.5), np.float64(-0.5)]","[0, 0]",1,0,0,[0],"[0.01, 0.01]","[np.float64(0.005), np.float64(0.005)]","[np.float64(-0.5), np.float64(-0.5)]","[np.float64(-0.5), np.float64(-0.5)]",1,"[np.float64(-0.5), np.float64(-0.5), np.float64(-0.5), np.float64(-0.5)]",-0.5,0.005,0.005
0,1,2,State EF,"['E', 'F']",Loss Avoid,-1,"[0.25, 0.75]","[0, np.float64(-0.5)]","[0, 0]",0,0,1,[0],"[0.01, 0.01]","[np.float64(0.005), np.float64(0.005)]","[0, np.float64(-0.5)]","[0, 0]",1,"[0, 0, 0, np.float64(-0.5)]",-0.125,0.005,0.005
0,2,0,State AB,"['A', 'B']",Reward,1,"[0.75, 0.25]","[0, 0]","[0, 0]",1,0,0,[0],"[0.01, 0.01]","[np.float64(0.005), np.float64(0.005)]","[0, 0]","[0, 0]",1,"[0, 0, 0, 0]",0.0,0.005,0.005
0,3,3,State GH,"['G', 'H']",Loss Avoid,-1,"[0.25, 0.75]","[0, np.float64(-0.5)]","[np.float64(-0.025), np.float64(-0.05)]",0,0,1,[np.float64(-0.05)],[-0.27272727 -0.72727273],"[np.float64(-0.1488636363636364), np.float64(-0.38863636363636367)]","[np.float64(0.025), np.float64(-0.45)]","[np.float64(0.05), np.float64(0.05)]",2,"[np.float64(0.05), np.float64(0.05), np.float64(0.025), np.float64(-0.45)]",-0.08125,-0.1488636363636364,-0.38863636363636367
0,4,0,State AB,"['A', 'B']",Reward,1,"[0.75, 0.25]","[np.float64(0.5), 0]","[np.float64(0.0), np.float64(0.0)]",0,0,1,[np.float64(0.0)],[0.5 0.5],"[np.float64(0.25), np.float64(0.25)]","[np.float64(0.5), np.float64(0.0)]","[np.float64(0.5), np.float64(0.5)]",2,"[np.float64(0.5), np.float64(0.5), np.float64(0.5), np.float64(0.0)]",0.375,0.25,0.25
0,5,2,State EF,"['E', 'F']",Loss Avoid,-1,"[0.25, 0.75]","[np.float64(-0.5), 0]","[np.float64(0.0), np.float64(-0.025)]",1,0,0,[np.float64(0.0)],[0.5 0.5],"[np.float64(0.25), np.float64(0.2375)]","[np.float64(-0.5), np.float64(0.025)]","[np.float64(0.0), np.float64(0.0)]",2,"[np.float64(0.0), np.float64(0.0), np.float64(-0.5), np.float64(0.025)]",-0.11875,0.25,0.2375
0,6,0,State AB,"['A', 'B']",Reward,1,"[0.75, 0.25]","[0, 0]","[np.float64(0.05), np.float64(0.0)]",0,0,1,[np.float64(0.05)],[0.51162791 0.48837209],"[np.float64(0.28081395348837207), np.float64(0.24418604651162787)]","[np.float64(-0.05), np.float64(0.0)]","[np.float64(-0.05), np.float64(-0.05)]",3,"[np.float64(-0.05), np.float64(-0.05), np.float64(-0.05), np.float64(0.0)]",-0.037500000000000006,0.28081395348837207,0.24418604651162787
0,7,1,State CD,"['C', 'D']",Reward,1,"[0.75, 0.25]","[np.float64(0.5), 0]","[0, 0]",1,0,0,[0],"[0.01, 0.01]","[np.float64(0.005), np.float64(0.005)]","[np.float64(0.5), 0]","[0, 0]",1,"[0, 0, np.float64(0.5), 0]",0.125,0.005,0.005
0,8,2,State EF,"['E', 'F']",Loss Avoid,-1,"[0.25, 0.75]","[np.float64(-0.5), np.float64(-0.5)]","[np.float64(-0.025), np.float64(-0.0225)]",1,0,0,[np.float64(0.0)],[0.5 0.5],"[np.float64(0.2375), np.float64(0.23875)]","[np.float64(-0.475), np.float64(-0.4775)]","[np.float64(-0.5), np.float64(-0.5)]",3,"[np.float64(-0.5), np.float64(-0.5), np.float64(-0.475), np.float64(-0.4775)]",-0.48812500000000003,0.2375,0.23875
0,9,1,State CD,"['C', 'D']",Reward,1,"[0.75, 0.25]","[0, 0]","[np.float64(0.025), np.float64(0.0)]",0,0,1,[np.float64(0.0)],[0.5 0.5],"[np.float64(0.2625), np.float64(0.25)]","[np.float64(-0.025), np.float64(0.0)]","[np.float64(0.0), np.float64(0.0)]",2,"[np.float64(0.0), np.float64(0.0), np.float64(-0.025), np.float64(0.0)]",-0.00625,0.2625,0.25
0,10,1,State CD,"['C', 'D']",Reward,1,"[0.75, 0.25]","[np.float64(0.5), 0]","[np.float64(0.0225), np.float64(0.0)]",1,0,0,[np.float64(0.0)],[0.5 0.5],"[np.float64(0.26125), np.float64(0.25)]","[np.float64(0.4775), np.float64(0.0)]","[np.float64(0.0), np.float64(0.0)]",3,"[np.float64(0.0), np.float64(0.0), np.float64(0.4775), np.float64(0.0)]",0.119375,0.26125,0.25
0,11,3,State GH,"['G', 'H']",Loss Avoid,-1,"[0.25, 0.75]","[np.float64(-0.5), np.float64(-0.5)]","[np.float64(-0.0225), np.float64(-0.07250000000000001)]",0,0,1,[np.float64(-0.045)],[-0.2697504 -0.7302496],"[np.float64(-0.14612520036638424), np.float64(-0.4013747996336157)]","[np.float64(-0.4775), np.float64(-0.4275)]","[np.float64(-0.455), np.float64(-0.455)]",3,"[np.float64(-0.455), np.float64(-0.455), np.float64(-0.4775), np.float64(-0.4275)]",-0.45375,-0.14612520036638424,-0.4013747996336157
0,12,1,State CD,"['C', 'D']",Reward,1,"[0.75, 0.25]","[np.float64(0.5), 0]","[np.float64(0.046375), np.float64(0.0)]",0,0,1,[np.float64(0.0)],[0.5 0.5],"[np.float64(0.2731875), np.float64(0.25)]","[np.float64(0.453625), np.float64(0.0)]","[np.float64(0.5), np.float64(0.5)]",4,"[np.float64(0.5), np.float64(0.5), np.float64(0.453625), np.float64(0.0)]",0.36340625,0.2731875,0.25
0,13,3,State GH,"['G', 'H']",Loss Avoid,-1,"[0.25, 0.75]","[np.float64(-0.5), 0]","[np.float64(-0.07025), np.float64(-0.09387500000000001)]",1,0,0,[np.float64(-0.0905)],[-0.2951092 -0.7048908],"[np.float64(-0.18267959898561592), np.float64(-0.39938290101438406)]","[np.float64(-0.42974999999999997), np.float64(0.09387500000000001)]","[np.float64(0.0905), np.float64(0.0905)]",4,"[np.float64(0.0905), np.float64(0.0905), np.float64(-0.42974999999999997), np.float64(0.09387500000000001)]",-0.03871874999999999,-0.18267959898561592,-0.39938290101438406
0,14,1,State CD,"['C', 'D']",Reward,1,"[0.75, 0.25]","[np.float64(0.5), 0]","[np.float64(0.0917375), np.float64(0.0)]",0,0,1,[np.float64(0.05)],[0.51162791 0.48837209],"[np.float64(0.30168270348837206), np.float64(0.24418604651162787)]","[np.float64(0.4082625), np.float64(0.0)]","[np.float64(0.45), np.float64(0.45)]",5,"[np.float64(0.45), np.float64(0.45), np.float64(0.4082625), np.float64(0.0)]",0.327065625,0.30168270348837206,0.24418604651162787
0,15,1,State CD,"['C', 'D']",Reward,1,"[0.75, 0.25]","[np.float64(0.5), np.float64(0.5)]","[np.float64(0.13256375), np.float64(0.0)]",0,0,1,[np.float64(0.095)],[0.52143129 0.47856871],"[np.float64(0.3269975222958989), np.float64(0.2392843527041011)]","[np.float64(0.36743625), np.float64(0.5)]","[np.float64(0.405), np.float64(0.405)]",6,"[np.float64(0.405), np.float64(0.405), np.float64(0.36743625), np.float64(0.5)]",0.4193590625,0.3269975222958989,0.2392843527041011
0,16,0,State AB,"['A', 'B']",Reward,1,"[0.75, 0.25]","[0, 0]","[np.float64(0.045), np.float64(0.0)]",1,0,0,[np.float64(0.045)],[0.51045633 0.48954367],"[np.float64(0.27772816472380063), np.float64(0.24477183527619942)]","[np.float64(-0.045), np.float64(0.0)]","[np.float64(-0.045), np.float64(-0.045)]",4,"[np.float64(-0.045), np.float64(-0.045), np.float64(-0.045), np.float64(0.0)]",-0.03375,0.27772816472380063,0.24477183527619942
0,17,0,State AB,"['A', 'B']",Reward,1,"[0.75, 0.25]","[0, 0]","[np.float64(0.042749999999999996), np.float64(0.0)]",1,0,0,[np.float64(0.0405)],[0.51166003 0.48833997],"[np.float64(0.27720501734085135), np.float64(0.24416998265914866)]","[np.float64(-0.042749999999999996), np.float64(0.0)]","[np.float64(-0.0405), np.float64(-0.0405)]",5,"[np.float64(-0.0405), np.float64(-0.0405), np.float64(-0.042749999999999996), np.float64(0.0)]",-0.0309375,0.27720501734085135,0.24416998265914866
0,18,3,State GH,"['G', 'H']",Loss Avoid,-1,"[0.25, 0.75]","[0, np.float64(-0.5)]","[np.float64(-0.0917375), np.float64(-0.08448750000000001)]",0,0,1,[np.float64(-0.08145)],[-0.29458316 -0.70541684],"[np.float64(-0.19316033221417334), np.float64(-0.3949521677858267)]","[np.float64(0.0917375), np.float64(-0.4155125)]","[np.float64(0.08145), np.float64(0.08145)]",5,"[np.float64(0.08145), np.float64(0.08145), np.float64(0.0917375), np.float64(-0.4155125)]",-0.04021875000000001,-0.19316033221417334,-0.3949521677858267
0,19,0,State AB,"['A', 'B']",Reward,1,"[0.75, 0.25]","[np.float64(0.5), np.float64(0.5)]","[np.float64(0.040612499999999996), np.float64(0.0)]",1,0,0,[np.float64(0.03645)],[0.51274999 0.48725001],"[np.float64(0.276681245438138), np.float64(0.24362500456186198)]","[np.float64(0.4593875), np.float64(0.5)]","[np.float64(0.46355), np.float64(0.46355)]",6,"[np.float64(0.46355), np.float64(0.46355), np.float64(0.4593875), np.float64(0.5)]",0.471621875,0.276681245438138,0.24362500456186198
0,20,3,State GH,"['G', 'H']",Loss Avoid,-1,"[0.25, 0.75]","[0, np.float64(-0.5)]","[np.float64(-0.08256375), np.float64(-0.10526312500000001)]",0,0,1,[np.float64(-0.073305)],[-0.28998101 -0.71001899],"[np.float64(-0.18627237869304308), np.float64(-0.4076410588069569)]","[np.float64(0.08256375), np.float64(-0.394736875)]","[np.float64(0.073305), np.float64(0.073305)]",6,"[np.float64(0.073305), np.float64(0.073305), np.float64(0.08256375), np.float64(-0.394736875)]",-0.041390781249999994,-0.18627237869304308,-0.4076410588069569
0,21,2,State EF,"['E', 'F']",Loss Avoid,-1,"[0.25, 0.75]","[0, np.float64(-0.5)]","[np.float64(-0.04875), np.float64(-0.07025)]",0,0,1,[np.float64(-0.05)],[0.51351351 0.48648649],"[np.float64(0.23238175675675674), np.float64(0.20811824324324324)]","[np.float64(0.04875), np.float64(-0.42974999999999997)]","[np.float64(0.05), np.float64(0.05)]",4,"[np.float64(0.05), np.float64(0.05), np.float64(0.04875), np.float64(-0.42974999999999997)]",-0.07024999999999999,0.23238175675675674,0.20811824324324324
0,22,2,State EF,"['E', 'F']",Loss Avoid,-1,"[0.25, 0.75]","[0, 0]","[np.float64(-0.043875), np.float64(-0.0917375)]",0,0,1,[np.float64(-0.045)],[0.51465361 0.48534639],"[np.float64(0.23538930571390254), np.float64(0.19680444428609756)]","[np.float64(0.043875), np.float64(0.0917375)]","[np.float64(0.045), np.float64(0.045)]",5,"[np.float64(0.045), np.float64(0.045), np.float64(0.043875), np.float64(0.0917375)]",0.056403125,0.23538930571390254,0.19680444428609756
0,23,2,State EF,"['E', 'F']",Loss Avoid,-1,"[0.25, 0.75]","[0, np.float64(-0.5)]","[np.float64(-0.039487499999999995), np.float64(-0.087150625)]",0,0,1,[np.float64(-0.0405)],[0.51567282 0.48432718],"[np.float64(0.23809265994676188), np.float64(0.19858827755323818)]","[np.float64(0.039487499999999995), np.float64(-0.412849375)]","[np.float64(0.0405), np.float64(0.0405)]",6,"[np.float64(0.0405), np.float64(0.0405), np.float64(0.039487499999999995), np.float64(-0.412849375)]",-0.07309046875,0.23809265994676188,0.19858827755323818
