block_number,trial_number,state_id,stim_id,q_values,action,w_values
0,0,State DE,"['D', 'E']","[np.float64(0.04548453992063951), np.float64(-0.09877740926589791)]",0,"[np.float64(0.43659374869718787), np.float64(0.5349995627885076)]"
0,1,State CE,"['C', 'E']","[np.float64(0.33731034719797465), np.float64(-0.09877740926589791)]",0,"[np.float64(0.5634062513028121), np.float64(0.5349995627885076)]"
0,2,State BH,"['B', 'H']","[np.float64(0.12353554925208701), np.float64(-0.2525730844411459)]",0,"[np.float64(0.442516865179803), np.float64(-0.6790230517417134)]"
0,3,State DE,"['D', 'E']","[np.float64(0.04548453992063951), np.float64(-0.09877740926589791)]",0,"[np.float64(0.43659374869718787), np.float64(0.5349995627885076)]"
0,4,State DF,"['D', 'F']","[np.float64(0.04548453992063951), np.float64(-0.3282255826801104)]",1,"[np.float64(0.43659374869718787), np.float64(0.46500043721149237)]"
0,5,State CG,"['C', 'G']","[np.float64(0.33731034719797465), np.float64(-0.13894497980550238)]",0,"[np.float64(0.5634062513028121), np.float64(-0.32097694825828665)]"
0,6,State CN,"['C', 'N']","[np.float64(0.33731034719797465), np.int64(0)]",0,"[np.float64(0.5634062513028121), np.int64(0)]"
0,7,State FG,"['F', 'G']","[np.float64(-0.3282255826801104), np.float64(-0.13894497980550238)]",0,"[np.float64(0.46500043721149237), np.float64(-0.32097694825828665)]"
0,8,State CG,"['C', 'G']","[np.float64(0.33731034719797465), np.float64(-0.13894497980550238)]",0,"[np.float64(0.5634062513028121), np.float64(-0.32097694825828665)]"
0,9,State CE,"['C', 'E']","[np.float64(0.33731034719797465), np.float64(-0.09877740926589791)]",0,"[np.float64(0.5634062513028121), np.float64(0.5349995627885076)]"
0,10,State AN,"['A', 'N']","[np.float64(0.3728340017231987), np.int64(0)]",0,"[np.float64(0.557483134820197), np.int64(0)]"
0,11,State AG,"['A', 'G']","[np.float64(0.3728340017231987), np.float64(-0.13894497980550238)]",0,"[np.float64(0.557483134820197), np.float64(-0.32097694825828665)]"
0,12,State CN,"['C', 'N']","[np.float64(0.33731034719797465), np.int64(0)]",0,"[np.float64(0.5634062513028121), np.int64(0)]"
0,13,State CN,"['C', 'N']","[np.float64(0.33731034719797465), np.int64(0)]",0,"[np.float64(0.5634062513028121), np.int64(0)]"
0,14,State BH,"['B', 'H']","[np.float64(0.12353554925208701), np.float64(-0.2525730844411459)]",0,"[np.float64(0.442516865179803), np.float64(-0.6790230517417134)]"
0,15,State HN,"['H', 'N']","[np.float64(-0.2525730844411459), np.int64(0)]",1,"[np.float64(-0.6790230517417134), np.int64(0)]"
0,16,State CH,"['C', 'H']","[np.float64(0.33731034719797465), np.float64(-0.2525730844411459)]",0,"[np.float64(0.5634062513028121), np.float64(-0.6790230517417134)]"
0,17,State BN,"['B', 'N']","[np.float64(0.12353554925208701), np.int64(0)]",0,"[np.float64(0.442516865179803), np.int64(0)]"
0,18,State DE,"['D', 'E']","[np.float64(0.04548453992063951), np.float64(-0.09877740926589791)]",1,"[np.float64(0.43659374869718787), np.float64(0.5349995627885076)]"
0,19,State DH,"['D', 'H']","[np.float64(0.04548453992063951), np.float64(-0.2525730844411459)]",0,"[np.float64(0.43659374869718787), np.float64(-0.6790230517417134)]"
0,20,State EF,"['E', 'F']","[np.float64(-0.09877740926589791), np.float64(-0.3282255826801104)]",0,"[np.float64(0.5349995627885076), np.float64(0.46500043721149237)]"
0,21,State AG,"['A', 'G']","[np.float64(0.3728340017231987), np.float64(-0.13894497980550238)]",0,"[np.float64(0.557483134820197), np.float64(-0.32097694825828665)]"
0,22,State BN,"['B', 'N']","[np.float64(0.12353554925208701), np.int64(0)]",0,"[np.float64(0.442516865179803), np.int64(0)]"
0,23,State CF,"['C', 'F']","[np.float64(0.33731034719797465), np.float64(-0.3282255826801104)]",0,"[np.float64(0.5634062513028121), np.float64(0.46500043721149237)]"
0,24,State AH,"['A', 'H']","[np.float64(0.3728340017231987), np.float64(-0.2525730844411459)]",0,"[np.float64(0.557483134820197), np.float64(-0.6790230517417134)]"
0,25,State BE,"['B', 'E']","[np.float64(0.12353554925208701), np.float64(-0.09877740926589791)]",0,"[np.float64(0.442516865179803), np.float64(0.5349995627885076)]"
0,26,State BG,"['B', 'G']","[np.float64(0.12353554925208701), np.float64(-0.13894497980550238)]",0,"[np.float64(0.442516865179803), np.float64(-0.32097694825828665)]"
