block_number,trial_number,state_index,state_id,stim_id,context,feedback,probabilities,rewards,q_values,action,correct_action,accuracy,v_values,w_values,h_values,q_prediction_errors,v_prediction_errors,trial_total,prediction_errors,averaged_pe,h_values1,h_values2
0,0,2,State EF,"['E', 'F']",Loss Avoid,-1,"[0.25, 0.75]","[0, np.float64(-0.5)]","[0, 0]",1,0,0,[0],"[0.01, 0.01]","[np.float64(0.005), np.float64(0.005)]","[0, np.float64(-0.5)]","[np.float64(-0.5), np.float64(-0.5)]",1,"[np.float64(-0.5), np.float64(-0.5), 0, np.float64(-0.5)]",-0.375,0.005,0.005
0,1,3,State GH,"['G', 'H']",Loss Avoid,-1,"[0.25, 0.75]","[0, np.float64(-0.5)]","[0, 0]",1,0,0,[0],"[0.01, 0.01]","[np.float64(0.005), np.float64(0.005)]","[0, np.float64(-0.5)]","[np.float64(-0.5), np.float64(-0.5)]",1,"[np.float64(-0.5), np.float64(-0.5), 0, np.float64(-0.5)]",-0.375,0.005,0.005
0,2,2,State EF,"['E', 'F']",Loss Avoid,-1,"[0.25, 0.75]","[0, 0]","[np.float64(0.0), np.float64(-0.05)]",0,0,1,[np.float64(-0.05)],[-0.27272727 -0.72727273],"[np.float64(-0.13636363636363638), np.float64(-0.38863636363636367)]","[np.float64(0.0), np.float64(0.05)]","[np.float64(0.05), np.float64(0.05)]",2,"[np.float64(0.05), np.float64(0.05), np.float64(0.0), np.float64(0.05)]",0.037500000000000006,-0.13636363636363638,-0.38863636363636367
0,3,2,State EF,"['E', 'F']",Loss Avoid,-1,"[0.25, 0.75]","[0, np.float64(-0.5)]","[np.float64(0.0), np.float64(-0.0475)]",0,0,1,[np.float64(-0.045)],[-0.2697504 -0.7302496],"[np.float64(-0.13487520036638423), np.float64(-0.3888747996336157)]","[np.float64(0.0), np.float64(-0.4525)]","[np.float64(0.045), np.float64(0.045)]",3,"[np.float64(0.045), np.float64(0.045), np.float64(0.0), np.float64(-0.4525)]",-0.09062500000000001,-0.13487520036638423,-0.3888747996336157
0,4,3,State GH,"['G', 'H']",Loss Avoid,-1,"[0.25, 0.75]","[0, np.float64(-0.5)]","[np.float64(0.0), np.float64(-0.05)]",0,0,1,[np.float64(-0.05)],[-0.27272727 -0.72727273],"[np.float64(-0.13636363636363638), np.float64(-0.38863636363636367)]","[np.float64(0.0), np.float64(-0.45)]","[np.float64(0.05), np.float64(0.05)]",2,"[np.float64(0.05), np.float64(0.05), np.float64(0.0), np.float64(-0.45)]",-0.0875,-0.13636363636363638,-0.38863636363636367
0,5,0,State AB,"['A', 'B']",Reward,1,"[0.75, 0.25]","[np.float64(0.5), 0]","[0, 0]",1,0,0,[0],"[0.01, 0.01]","[np.float64(0.005), np.float64(0.005)]","[np.float64(0.5), 0]","[0, 0]",1,"[0, 0, np.float64(0.5), 0]",0.125,0.005,0.005
0,6,1,State CD,"['C', 'D']",Reward,1,"[0.75, 0.25]","[np.float64(0.5), 0]","[0, 0]",0,0,1,[0],"[0.01, 0.01]","[np.float64(0.005), np.float64(0.005)]","[np.float64(0.5), 0]","[np.float64(0.5), np.float64(0.5)]",1,"[np.float64(0.5), np.float64(0.5), np.float64(0.5), 0]",0.375,0.005,0.005
0,7,0,State AB,"['A', 'B']",Reward,1,"[0.75, 0.25]","[0, np.float64(0.5)]","[np.float64(0.025), np.float64(0.0)]",0,0,1,[np.float64(0.0)],[0.5 0.5],"[np.float64(0.2625), np.float64(0.25)]","[np.float64(-0.025), np.float64(0.5)]","[np.float64(0.0), np.float64(0.0)]",2,"[np.float64(0.0), np.float64(0.0), np.float64(-0.025), np.float64(0.5)]",0.11875,0.2625,0.25
0,8,0,State AB,"['A', 'B']",Reward,1,"[0.75, 0.25]","[np.float64(0.5), 0]","[np.float64(0.0225), np.float64(0.025)]",1,0,0,[np.float64(0.0)],[0.5 0.5],"[np.float64(0.26125), np.float64(0.2625)]","[np.float64(0.4775), np.float64(-0.025)]","[np.float64(0.0), np.float64(0.0)]",3,"[np.float64(0.0), np.float64(0.0), np.float64(0.4775), np.float64(-0.025)]",0.11312499999999999,0.26125,0.2625
0,9,1,State CD,"['C', 'D']",Reward,1,"[0.75, 0.25]","[np.float64(0.5), 0]","[np.float64(0.05), np.float64(0.0)]",0,0,1,[np.float64(0.05)],[0.63157895 0.36842105],"[np.float64(0.3407894736842106), np.float64(0.1842105263157895)]","[np.float64(0.45), np.float64(0.0)]","[np.float64(0.45), np.float64(0.45)]",2,"[np.float64(0.45), np.float64(0.45), np.float64(0.45), np.float64(0.0)]",0.3375,0.3407894736842106,0.1842105263157895
