block_number,trial_number,state_id,stim_id,q_values,action,w_values
0,0,State EN,"['E', 'N']","[np.float64(-0.11955681261711351), np.int64(0)]",1,"[np.float64(-0.29861366671723283), np.int64(0)]"
0,1,State AG,"['A', 'G']","[np.float64(0.3594854247073968), np.float64(-0.06537843257505319)]",0,"[np.float64(0.5709603350811733), np.float64(-0.28287060492164495)]"
0,2,State AH,"['A', 'H']","[np.float64(0.3594854247073968), np.float64(-0.24237188335695964)]",0,"[np.float64(0.5709603350811733), np.float64(-0.7171293950783549)]"
0,3,State AE,"['A', 'E']","[np.float64(0.3594854247073968), np.float64(-0.11955681261711351)]",0,"[np.float64(0.5709603350811733), np.float64(-0.29861366671723283)]"
0,4,State BE,"['B', 'E']","[np.float64(0.06096923380820532), np.float64(-0.11955681261711351)]",0,"[np.float64(0.4290396649188267), np.float64(-0.29861366671723283)]"
0,5,State BH,"['B', 'H']","[np.float64(0.06096923380820532), np.float64(-0.24237188335695964)]",0,"[np.float64(0.4290396649188267), np.float64(-0.7171293950783549)]"
0,6,State EF,"['E', 'F']","[np.float64(-0.11955681261711351), np.float64(-0.3318628355704053)]",0,"[np.float64(-0.29861366671723283), np.float64(-0.7013863332827672)]"
0,7,State CE,"['C', 'E']","[np.float64(0.3986477994584009), np.float64(-0.11955681261711351)]",0,"[np.float64(0.6500878409726996), np.float64(-0.29861366671723283)]"
0,8,State HN,"['H', 'N']","[np.float64(-0.24237188335695964), np.int64(0)]",1,"[np.float64(-0.7171293950783549), np.int64(0)]"
0,9,State DE,"['D', 'E']","[np.float64(0.11343757178806721), np.float64(-0.11955681261711351)]",0,"[np.float64(0.3499121590273005), np.float64(-0.29861366671723283)]"
0,10,State AE,"['A', 'E']","[np.float64(0.3594854247073968), np.float64(-0.11955681261711351)]",0,"[np.float64(0.5709603350811733), np.float64(-0.29861366671723283)]"
0,11,State GH,"['G', 'H']","[np.float64(-0.06537843257505319), np.float64(-0.24237188335695964)]",0,"[np.float64(-0.28287060492164495), np.float64(-0.7171293950783549)]"
0,12,State BN,"['B', 'N']","[np.float64(0.06096923380820532), np.int64(0)]",0,"[np.float64(0.4290396649188267), np.int64(0)]"
