block_number,trial_number,state_id,stim_id,q_values,action,w_values
0,0,State CD,"['C', 'D']","[np.float64(0.36752609479419374), np.float64(0.03129484473597657)]",1,"[np.float64(0.6156037941951201), np.float64(0.38439620580487993)]"
0,1,State EF,"['E', 'F']","[np.float64(-0.11105202963376759), np.float64(-0.2740681847908873)]",0,"[np.float64(0.5447944898770417), np.float64(0.45520551012295835)]"
0,2,State BH,"['B', 'H']","[np.float64(0.044321549567901644), np.float64(-0.3222229089872539)]",0,"[np.float64(0.5170672537063029), np.float64(-0.4147263437431463)]"
0,3,State BF,"['B', 'F']","[np.float64(0.044321549567901644), np.float64(-0.2740681847908873)]",1,"[np.float64(0.5170672537063029), np.float64(0.45520551012295835)]"
0,4,State FN,"['F', 'N']","[np.float64(-0.2740681847908873), np.int64(0)]",1,"[np.float64(0.45520551012295835), np.float64(0.0)]"
0,5,State DG,"['D', 'G']","[np.float64(0.03129484473597657), np.float64(-0.1053331574452005)]",0,"[np.float64(0.38439620580487993), np.float64(-0.5852736562568536)]"
0,6,State DG,"['D', 'G']","[np.float64(0.03129484473597657), np.float64(-0.1053331574452005)]",0,"[np.float64(0.38439620580487993), np.float64(-0.5852736562568536)]"
0,7,State BG,"['B', 'G']","[np.float64(0.044321549567901644), np.float64(-0.1053331574452005)]",0,"[np.float64(0.5170672537063029), np.float64(-0.5852736562568536)]"
0,8,State FN,"['F', 'N']","[np.float64(-0.2740681847908873), np.int64(0)]",1,"[np.float64(0.45520551012295835), np.float64(0.0)]"
0,9,State EH,"['E', 'H']","[np.float64(-0.11105202963376759), np.float64(-0.3222229089872539)]",0,"[np.float64(0.5447944898770417), np.float64(-0.4147263437431463)]"
0,10,State CF,"['C', 'F']","[np.float64(0.36752609479419374), np.float64(-0.2740681847908873)]",0,"[np.float64(0.6156037941951201), np.float64(0.45520551012295835)]"
0,11,State AH,"['A', 'H']","[np.float64(0.33600211523073464), np.float64(-0.3222229089872539)]",0,"[np.float64(0.48293274629369703), np.float64(-0.4147263437431463)]"
0,12,State BC,"['B', 'C']","[np.float64(0.044321549567901644), np.float64(0.36752609479419374)]",1,"[np.float64(0.5170672537063029), np.float64(0.6156037941951201)]"
0,13,State BE,"['B', 'E']","[np.float64(0.044321549567901644), np.float64(-0.11105202963376759)]",0,"[np.float64(0.5170672537063029), np.float64(0.5447944898770417)]"
0,14,State CD,"['C', 'D']","[np.float64(0.36752609479419374), np.float64(0.03129484473597657)]",0,"[np.float64(0.6156037941951201), np.float64(0.38439620580487993)]"
0,15,State CH,"['C', 'H']","[np.float64(0.36752609479419374), np.float64(-0.3222229089872539)]",0,"[np.float64(0.6156037941951201), np.float64(-0.4147263437431463)]"
0,16,State AE,"['A', 'E']","[np.float64(0.33600211523073464), np.float64(-0.11105202963376759)]",0,"[np.float64(0.48293274629369703), np.float64(0.5447944898770417)]"
0,17,State FG,"['F', 'G']","[np.float64(-0.2740681847908873), np.float64(-0.1053331574452005)]",0,"[np.float64(0.45520551012295835), np.float64(-0.5852736562568536)]"
0,18,State AE,"['A', 'E']","[np.float64(0.33600211523073464), np.float64(-0.11105202963376759)]",0,"[np.float64(0.48293274629369703), np.float64(0.5447944898770417)]"
0,19,State CF,"['C', 'F']","[np.float64(0.36752609479419374), np.float64(-0.2740681847908873)]",0,"[np.float64(0.6156037941951201), np.float64(0.45520551012295835)]"
0,20,State DE,"['D', 'E']","[np.float64(0.03129484473597657), np.float64(-0.11105202963376759)]",1,"[np.float64(0.38439620580487993), np.float64(0.5447944898770417)]"
0,21,State DN,"['D', 'N']","[np.float64(0.03129484473597657), np.int64(0)]",0,"[np.float64(0.38439620580487993), np.float64(0.0)]"
0,22,State AG,"['A', 'G']","[np.float64(0.33600211523073464), np.float64(-0.1053331574452005)]",0,"[np.float64(0.48293274629369703), np.float64(-0.5852736562568536)]"
0,23,State CG,"['C', 'G']","[np.float64(0.36752609479419374), np.float64(-0.1053331574452005)]",0,"[np.float64(0.6156037941951201), np.float64(-0.5852736562568536)]"
0,24,State HN,"['H', 'N']","[np.float64(-0.3222229089872539), np.int64(0)]",1,"[np.float64(-0.4147263437431463), np.float64(0.0)]"
0,25,State HN,"['H', 'N']","[np.float64(-0.3222229089872539), np.int64(0)]",1,"[np.float64(-0.4147263437431463), np.float64(0.0)]"
0,26,State HN,"['H', 'N']","[np.float64(-0.3222229089872539), np.int64(0)]",0,"[np.float64(-0.4147263437431463), np.float64(0.0)]"
0,27,State DE,"['D', 'E']","[np.float64(0.03129484473597657), np.float64(-0.11105202963376759)]",0,"[np.float64(0.38439620580487993), np.float64(0.5447944898770417)]"
0,28,State DH,"['D', 'H']","[np.float64(0.03129484473597657), np.float64(-0.3222229089872539)]",0,"[np.float64(0.38439620580487993), np.float64(-0.4147263437431463)]"
0,29,State FG,"['F', 'G']","[np.float64(-0.2740681847908873), np.float64(-0.1053331574452005)]",0,"[np.float64(0.45520551012295835), np.float64(-0.5852736562568536)]"
0,30,State EF,"['E', 'F']","[np.float64(-0.11105202963376759), np.float64(-0.2740681847908873)]",0,"[np.float64(0.5447944898770417), np.float64(0.45520551012295835)]"
0,31,State DF,"['D', 'F']","[np.float64(0.03129484473597657), np.float64(-0.2740681847908873)]",0,"[np.float64(0.38439620580487993), np.float64(0.45520551012295835)]"
0,32,State GN,"['G', 'N']","[np.float64(-0.1053331574452005), np.int64(0)]",1,"[np.float64(-0.5852736562568536), np.float64(0.0)]"
0,33,State CG,"['C', 'G']","[np.float64(0.36752609479419374), np.float64(-0.1053331574452005)]",0,"[np.float64(0.6156037941951201), np.float64(-0.5852736562568536)]"
0,34,State AE,"['A', 'E']","[np.float64(0.33600211523073464), np.float64(-0.11105202963376759)]",1,"[np.float64(0.48293274629369703), np.float64(0.5447944898770417)]"
0,35,State BC,"['B', 'C']","[np.float64(0.044321549567901644), np.float64(0.36752609479419374)]",1,"[np.float64(0.5170672537063029), np.float64(0.6156037941951201)]"
0,36,State CH,"['C', 'H']","[np.float64(0.36752609479419374), np.float64(-0.3222229089872539)]",0,"[np.float64(0.6156037941951201), np.float64(-0.4147263437431463)]"
0,37,State HN,"['H', 'N']","[np.float64(-0.3222229089872539), np.int64(0)]",1,"[np.float64(-0.4147263437431463), np.float64(0.0)]"
0,38,State GN,"['G', 'N']","[np.float64(-0.1053331574452005), np.int64(0)]",1,"[np.float64(-0.5852736562568536), np.float64(0.0)]"
0,39,State AF,"['A', 'F']","[np.float64(0.33600211523073464), np.float64(-0.2740681847908873)]",0,"[np.float64(0.48293274629369703), np.float64(0.45520551012295835)]"
0,40,State AH,"['A', 'H']","[np.float64(0.33600211523073464), np.float64(-0.3222229089872539)]",0,"[np.float64(0.48293274629369703), np.float64(-0.4147263437431463)]"
0,41,State DN,"['D', 'N']","[np.float64(0.03129484473597657), np.int64(0)]",0,"[np.float64(0.38439620580487993), np.float64(0.0)]"
0,42,State FG,"['F', 'G']","[np.float64(-0.2740681847908873), np.float64(-0.1053331574452005)]",0,"[np.float64(0.45520551012295835), np.float64(-0.5852736562568536)]"
0,43,State AE,"['A', 'E']","[np.float64(0.33600211523073464), np.float64(-0.11105202963376759)]",0,"[np.float64(0.48293274629369703), np.float64(0.5447944898770417)]"
0,44,State EF,"['E', 'F']","[np.float64(-0.11105202963376759), np.float64(-0.2740681847908873)]",0,"[np.float64(0.5447944898770417), np.float64(0.45520551012295835)]"
0,45,State CN,"['C', 'N']","[np.float64(0.36752609479419374), np.int64(0)]",0,"[np.float64(0.6156037941951201), np.float64(0.0)]"
0,46,State BG,"['B', 'G']","[np.float64(0.044321549567901644), np.float64(-0.1053331574452005)]",0,"[np.float64(0.5170672537063029), np.float64(-0.5852736562568536)]"
0,47,State DH,"['D', 'H']","[np.float64(0.03129484473597657), np.float64(-0.3222229089872539)]",0,"[np.float64(0.38439620580487993), np.float64(-0.4147263437431463)]"
0,48,State DH,"['D', 'H']","[np.float64(0.03129484473597657), np.float64(-0.3222229089872539)]",0,"[np.float64(0.38439620580487993), np.float64(-0.4147263437431463)]"
0,49,State DF,"['D', 'F']","[np.float64(0.03129484473597657), np.float64(-0.2740681847908873)]",1,"[np.float64(0.38439620580487993), np.float64(0.45520551012295835)]"
0,50,State AH,"['A', 'H']","[np.float64(0.33600211523073464), np.float64(-0.3222229089872539)]",0,"[np.float64(0.48293274629369703), np.float64(-0.4147263437431463)]"
0,51,State BC,"['B', 'C']","[np.float64(0.044321549567901644), np.float64(0.36752609479419374)]",1,"[np.float64(0.5170672537063029), np.float64(0.6156037941951201)]"
0,52,State AB,"['A', 'B']","[np.float64(0.33600211523073464), np.float64(0.044321549567901644)]",1,"[np.float64(0.48293274629369703), np.float64(0.5170672537063029)]"
0,53,State BE,"['B', 'E']","[np.float64(0.044321549567901644), np.float64(-0.11105202963376759)]",1,"[np.float64(0.5170672537063029), np.float64(0.5447944898770417)]"
