block_number,trial_number,state_index,state_id,stim_id,context,feedback,probabilities,rewards,q_values,action,correct_action,accuracy,v_values,w_values,h_values,q_prediction_errors,v_prediction_errors,trial_total,prediction_errors,averaged_pe,h_values1,h_values2
0,0,1,State CD,"['C', 'D']",Reward,1,"[0.75, 0.25]","[np.float64(0.5), 0]","[0, 0]",1,0,0,[0],"[0.01, 0.01]","[np.float64(0.005), np.float64(0.005)]","[np.float64(0.5), 0]","[0, 0]",1,"[0, 0, np.float64(0.5), 0]",0.125,0.005,0.005
0,1,0,State AB,"['A', 'B']",Reward,1,"[0.75, 0.25]","[0, 0]","[0, 0]",0,0,1,[0],"[0.01, 0.01]","[np.float64(0.005), np.float64(0.005)]","[0, 0]","[0, 0]",1,"[0, 0, 0, 0]",0.0,0.005,0.005
0,2,0,State AB,"['A', 'B']",Reward,1,"[0.75, 0.25]","[np.float64(0.5), 0]","[np.float64(0.0), np.float64(0.0)]",0,0,1,[np.float64(0.0)],[0.5 0.5],"[np.float64(0.25), np.float64(0.25)]","[np.float64(0.5), np.float64(0.0)]","[np.float64(0.5), np.float64(0.5)]",2,"[np.float64(0.5), np.float64(0.5), np.float64(0.5), np.float64(0.0)]",0.375,0.25,0.25
0,3,1,State CD,"['C', 'D']",Reward,1,"[0.75, 0.25]","[0, 0]","[np.float64(0.025), np.float64(0.0)]",1,0,0,[np.float64(0.0)],[0.5 0.5],"[np.float64(0.2625), np.float64(0.25)]","[np.float64(-0.025), np.float64(0.0)]","[np.float64(0.0), np.float64(0.0)]",2,"[np.float64(0.0), np.float64(0.0), np.float64(-0.025), np.float64(0.0)]",-0.00625,0.2625,0.25
0,4,3,State GH,"['G', 'H']",Loss Avoid,-1,"[0.25, 0.75]","[0, np.float64(-0.5)]","[0, 0]",1,0,0,[0],"[0.01, 0.01]","[np.float64(0.005), np.float64(0.005)]","[0, np.float64(-0.5)]","[np.float64(-0.5), np.float64(-0.5)]",1,"[np.float64(-0.5), np.float64(-0.5), 0, np.float64(-0.5)]",-0.375,0.005,0.005
0,5,1,State CD,"['C', 'D']",Reward,1,"[0.75, 0.25]","[np.float64(0.5), 0]","[np.float64(0.02375), np.float64(0.0)]",1,0,0,[np.float64(0.0)],[0.5 0.5],"[np.float64(0.261875), np.float64(0.25)]","[np.float64(0.47625), np.float64(0.0)]","[np.float64(0.0), np.float64(0.0)]",3,"[np.float64(0.0), np.float64(0.0), np.float64(0.47625), np.float64(0.0)]",0.1190625,0.261875,0.25
0,6,2,State EF,"['E', 'F']",Loss Avoid,-1,"[0.25, 0.75]","[0, 0]","[0, 0]",1,0,0,[0],"[0.01, 0.01]","[np.float64(0.005), np.float64(0.005)]","[0, 0]","[0, 0]",1,"[0, 0, 0, 0]",0.0,0.005,0.005
0,7,1,State CD,"['C', 'D']",Reward,1,"[0.75, 0.25]","[np.float64(0.5), 0]","[np.float64(0.0475625), np.float64(0.0)]",0,0,1,[np.float64(0.0)],[0.5 0.5],"[np.float64(0.27378125), np.float64(0.25)]","[np.float64(0.4524375), np.float64(0.0)]","[np.float64(0.5), np.float64(0.5)]",4,"[np.float64(0.5), np.float64(0.5), np.float64(0.4524375), np.float64(0.0)]",0.363109375,0.27378125,0.25
0,8,0,State AB,"['A', 'B']",Reward,1,"[0.75, 0.25]","[np.float64(0.5), 0]","[np.float64(0.05), np.float64(0.0)]",0,0,1,[np.float64(0.05)],[0.51162791 0.48837209],"[np.float64(0.28081395348837207), np.float64(0.24418604651162787)]","[np.float64(0.45), np.float64(0.0)]","[np.float64(0.45), np.float64(0.45)]",3,"[np.float64(0.45), np.float64(0.45), np.float64(0.45), np.float64(0.0)]",0.3375,0.28081395348837207,0.24418604651162787
0,9,0,State AB,"['A', 'B']",Reward,1,"[0.75, 0.25]","[np.float64(0.5), 0]","[np.float64(0.095), np.float64(0.0)]",1,0,0,[np.float64(0.095)],[0.52143129 0.47856871],"[np.float64(0.3082156472958989), np.float64(0.2392843527041011)]","[np.float64(0.405), np.float64(0.0)]","[np.float64(-0.095), np.float64(-0.095)]",4,"[np.float64(-0.095), np.float64(-0.095), np.float64(0.405), np.float64(0.0)]",0.053750000000000006,0.3082156472958989,0.2392843527041011
