block_number,trial_number,state_id,stim_id,q_values,action,w_values
0,0,State BE,"['B', 'E']","[np.float64(0.07022055872031907), np.float64(-0.1242213056556461)]",0,"[np.float64(0.41228145122338716), np.float64(0.5900405068140733)]"
0,1,State GH,"['G', 'H']","[np.float64(-0.0760840868019993), np.float64(-0.21873687391562946)]",0,"[np.float64(-0.26910407023514077), np.float64(-0.7308959297648593)]"
0,2,State CN,"['C', 'N']","[np.float64(0.24160032789381064), np.int64(0)]",0,"[np.float64(0.5533844581794187), np.float64(0.0)]"
0,3,State CF,"['C', 'F']","[np.float64(0.24160032789381064), np.float64(-0.3137136192726901)]",0,"[np.float64(0.5533844581794187), np.float64(0.40995949318592667)]"
0,4,State CF,"['C', 'F']","[np.float64(0.24160032789381064), np.float64(-0.3137136192726901)]",0,"[np.float64(0.5533844581794187), np.float64(0.40995949318592667)]"
0,5,State BG,"['B', 'G']","[np.float64(0.07022055872031907), np.float64(-0.0760840868019993)]",0,"[np.float64(0.41228145122338716), np.float64(-0.26910407023514077)]"
0,6,State CH,"['C', 'H']","[np.float64(0.24160032789381064), np.float64(-0.21873687391562946)]",0,"[np.float64(0.5533844581794187), np.float64(-0.7308959297648593)]"
0,7,State CF,"['C', 'F']","[np.float64(0.24160032789381064), np.float64(-0.3137136192726901)]",0,"[np.float64(0.5533844581794187), np.float64(0.40995949318592667)]"
0,8,State AE,"['A', 'E']","[np.float64(0.38016250513520533), np.float64(-0.1242213056556461)]",0,"[np.float64(0.5877185487766128), np.float64(0.5900405068140733)]"
0,9,State FN,"['F', 'N']","[np.float64(-0.3137136192726901), np.int64(0)]",1,"[np.float64(0.40995949318592667), np.float64(0.0)]"
0,10,State CN,"['C', 'N']","[np.float64(0.24160032789381064), np.int64(0)]",0,"[np.float64(0.5533844581794187), np.float64(0.0)]"
0,11,State DG,"['D', 'G']","[np.float64(0.14150933790077558), np.float64(-0.0760840868019993)]",0,"[np.float64(0.4466155418205813), np.float64(-0.26910407023514077)]"
0,12,State EN,"['E', 'N']","[np.float64(-0.1242213056556461), np.int64(0)]",0,"[np.float64(0.5900405068140733), np.float64(0.0)]"
0,13,State AG,"['A', 'G']","[np.float64(0.38016250513520533), np.float64(-0.0760840868019993)]",1,"[np.float64(0.5877185487766128), np.float64(-0.26910407023514077)]"
