block_number,trial_number,state_index,state_id,stim_id,context,feedback,probabilities,rewards,q_values,action,prediction_errors,correct_action,accuracy,trial_total,averaged_pe,q_values1,q_values2
0,0,3,State GH,"['G', 'H']",Loss Avoid,-1,"[0.25, 0.75]","[-1, -1]","[0, 0]",0,"[-1, -1]",0,1,1,-1.0,0.0,0.0
0,1,1,State CD,"['C', 'D']",Reward,1,"[0.75, 0.25]","[1, 0]","[0, 0]",0,"[1, 0]",0,1,1,0.5,0.0,0.0
0,2,1,State CD,"['C', 'D']",Reward,1,"[0.75, 0.25]","[1, 1]","[np.float64(0.1), np.float64(0.0)]",0,"[np.float64(0.9), np.float64(1.0)]",0,1,2,0.95,0.1,0.0
0,3,3,State GH,"['G', 'H']",Loss Avoid,-1,"[0.25, 0.75]","[0, 0]","[np.float64(-0.1), np.float64(-0.5)]",0,"[np.float64(0.1), np.float64(0.5)]",0,1,2,0.3,-0.1,-0.5
0,4,2,State EF,"['E', 'F']",Loss Avoid,-1,"[0.25, 0.75]","[0, -1]","[0, 0]",0,"[0, -1]",0,1,1,-0.5,0.0,0.0
0,5,3,State GH,"['G', 'H']",Loss Avoid,-1,"[0.25, 0.75]","[0, -1]","[np.float64(-0.09), np.float64(-0.25)]",0,"[np.float64(0.09), np.float64(-0.75)]",0,1,3,-0.33,-0.09,-0.25
0,6,0,State AB,"['A', 'B']",Reward,1,"[0.75, 0.25]","[1, 1]","[0, 0]",1,"[1, 1]",0,0,1,1.0,0.0,0.0
0,7,1,State CD,"['C', 'D']",Reward,1,"[0.75, 0.25]","[1, 0]","[np.float64(0.19), np.float64(0.5)]",0,"[np.float64(0.81), np.float64(-0.5)]",0,1,3,0.15500000000000003,0.19,0.5
0,8,1,State CD,"['C', 'D']",Reward,1,"[0.75, 0.25]","[0, 0]","[np.float64(0.271), np.float64(0.25)]",0,"[np.float64(-0.271), np.float64(-0.25)]",0,1,4,-0.2605,0.271,0.25
0,9,3,State GH,"['G', 'H']",Loss Avoid,-1,"[0.25, 0.75]","[0, -1]","[np.float64(-0.081), np.float64(-0.625)]",0,"[np.float64(0.081), np.float64(-0.375)]",0,1,4,-0.147,-0.081,-0.625
0,10,1,State CD,"['C', 'D']",Reward,1,"[0.75, 0.25]","[1, 0]","[np.float64(0.2439), np.float64(0.125)]",0,"[np.float64(0.7561), np.float64(-0.125)]",0,1,5,0.31555,0.2439,0.125
0,11,2,State EF,"['E', 'F']",Loss Avoid,-1,"[0.25, 0.75]","[0, -1]","[np.float64(0.0), np.float64(-0.5)]",0,"[np.float64(0.0), np.float64(-0.5)]",0,1,2,-0.25,0.0,-0.5
0,12,2,State EF,"['E', 'F']",Loss Avoid,-1,"[0.25, 0.75]","[0, -1]","[np.float64(0.0), np.float64(-0.75)]",0,"[np.float64(0.0), np.float64(-0.25)]",0,1,3,-0.125,0.0,-0.75
0,13,0,State AB,"['A', 'B']",Reward,1,"[0.75, 0.25]","[1, 0]","[np.float64(0.5), np.float64(0.1)]",0,"[np.float64(0.5), np.float64(-0.1)]",0,1,2,0.2,0.5,0.1
0,14,2,State EF,"['E', 'F']",Loss Avoid,-1,"[0.25, 0.75]","[0, -1]","[np.float64(0.0), np.float64(-0.875)]",0,"[np.float64(0.0), np.float64(-0.125)]",0,1,4,-0.0625,0.0,-0.875
0,15,0,State AB,"['A', 'B']",Reward,1,"[0.75, 0.25]","[1, 1]","[np.float64(0.55), np.float64(0.05)]",0,"[np.float64(0.44999999999999996), np.float64(0.95)]",0,1,3,0.7,0.55,0.05
0,16,2,State EF,"['E', 'F']",Loss Avoid,-1,"[0.25, 0.75]","[0, 0]","[np.float64(0.0), np.float64(-0.9375)]",0,"[np.float64(0.0), np.float64(0.9375)]",0,1,5,0.46875,0.0,-0.9375
0,17,1,State CD,"['C', 'D']",Reward,1,"[0.75, 0.25]","[1, 0]","[np.float64(0.31951), np.float64(0.0625)]",0,"[np.float64(0.68049), np.float64(-0.0625)]",0,1,6,0.308995,0.31951,0.0625
