block_number,trial_number,state_id,stim_id,q_values,action
0,0,State DE,"['D', 'E']","[np.float64(0.8627199411392212), np.float64(-0.06187920094520209)]",0
0,1,State CH,"['C', 'H']","[np.float64(0.7475124432224683), np.float64(-0.7499760270118714)]",0
0,2,State GN,"['G', 'N']","[np.float64(-0.19757609652860048), np.int64(0)]",1
0,3,State GH,"['G', 'H']","[np.float64(-0.19757609652860048), np.float64(-0.7499760270118714)]",0
0,4,State BF,"['B', 'F']","[np.float64(0.34888867082595826), np.float64(-0.43675994634628296)]",0
0,5,State AF,"['A', 'F']","[np.float64(0.8328397811052418), np.float64(-0.43675994634628296)]",0
0,6,State FN,"['F', 'N']","[np.float64(-0.43675994634628296), np.int64(0)]",1
0,7,State AB,"['A', 'B']","[np.float64(0.8328397811052418), np.float64(0.34888867082595826)]",0
0,8,State DF,"['D', 'F']","[np.float64(0.8627199411392212), np.float64(-0.43675994634628296)]",0
0,9,State BG,"['B', 'G']","[np.float64(0.34888867082595826), np.float64(-0.19757609652860048)]",0
0,10,State AE,"['A', 'E']","[np.float64(0.8328397811052418), np.float64(-0.06187920094520209)]",0
0,11,State AD,"['A', 'D']","[np.float64(0.8328397811052418), np.float64(0.8627199411392212)]",0
0,12,State CN,"['C', 'N']","[np.float64(0.7475124432224683), np.int64(0)]",0
0,13,State BN,"['B', 'N']","[np.float64(0.34888867082595826), np.int64(0)]",0
0,14,State CG,"['C', 'G']","[np.float64(0.7475124432224683), np.float64(-0.19757609652860048)]",0
0,15,State BN,"['B', 'N']","[np.float64(0.34888867082595826), np.int64(0)]",0
0,16,State EH,"['E', 'H']","[np.float64(-0.06187920094520209), np.float64(-0.7499760270118714)]",0
0,17,State BF,"['B', 'F']","[np.float64(0.34888867082595826), np.float64(-0.43675994634628296)]",0
0,18,State DN,"['D', 'N']","[np.float64(0.8627199411392212), np.int64(0)]",0
0,19,State GN,"['G', 'N']","[np.float64(-0.19757609652860048), np.int64(0)]",1
0,20,State CN,"['C', 'N']","[np.float64(0.7475124432224683), np.int64(0)]",0
0,21,State HN,"['H', 'N']","[np.float64(-0.7499760270118714), np.int64(0)]",1
0,22,State DE,"['D', 'E']","[np.float64(0.8627199411392212), np.float64(-0.06187920094520209)]",0
0,23,State BG,"['B', 'G']","[np.float64(0.34888867082595826), np.float64(-0.19757609652860048)]",0
0,24,State AG,"['A', 'G']","[np.float64(0.8328397811052418), np.float64(-0.19757609652860048)]",0
0,25,State EN,"['E', 'N']","[np.float64(-0.06187920094520209), np.int64(0)]",1
0,26,State CD,"['C', 'D']","[np.float64(0.7475124432224683), np.float64(0.8627199411392212)]",0
0,27,State AN,"['A', 'N']","[np.float64(0.8328397811052418), np.int64(0)]",0
0,28,State EN,"['E', 'N']","[np.float64(-0.06187920094520209), np.int64(0)]",1
0,29,State CG,"['C', 'G']","[np.float64(0.7475124432224683), np.float64(-0.19757609652860048)]",0
0,30,State AF,"['A', 'F']","[np.float64(0.8328397811052418), np.float64(-0.43675994634628296)]",0
0,31,State BN,"['B', 'N']","[np.float64(0.34888867082595826), np.int64(0)]",0
0,32,State BE,"['B', 'E']","[np.float64(0.34888867082595826), np.float64(-0.06187920094520209)]",0
0,33,State GH,"['G', 'H']","[np.float64(-0.19757609652860048), np.float64(-0.7499760270118714)]",0
0,34,State CH,"['C', 'H']","[np.float64(0.7475124432224683), np.float64(-0.7499760270118714)]",0
0,35,State BE,"['B', 'E']","[np.float64(0.34888867082595826), np.float64(-0.06187920094520209)]",0
0,36,State GN,"['G', 'N']","[np.float64(-0.19757609652860048), np.int64(0)]",1
0,37,State GH,"['G', 'H']","[np.float64(-0.19757609652860048), np.float64(-0.7499760270118714)]",0
0,38,State HN,"['H', 'N']","[np.float64(-0.7499760270118714), np.int64(0)]",1
0,39,State DF,"['D', 'F']","[np.float64(0.8627199411392212), np.float64(-0.43675994634628296)]",0
0,40,State DH,"['D', 'H']","[np.float64(0.8627199411392212), np.float64(-0.7499760270118714)]",0
0,41,State EH,"['E', 'H']","[np.float64(-0.06187920094520209), np.float64(-0.7499760270118714)]",0
0,42,State BC,"['B', 'C']","[np.float64(0.34888867082595826), np.float64(0.7475124432224683)]",1
0,43,State BE,"['B', 'E']","[np.float64(0.34888867082595826), np.float64(-0.06187920094520209)]",0
0,44,State BC,"['B', 'C']","[np.float64(0.34888867082595826), np.float64(0.7475124432224683)]",1
0,45,State CH,"['C', 'H']","[np.float64(0.7475124432224683), np.float64(-0.7499760270118714)]",0
0,46,State DG,"['D', 'G']","[np.float64(0.8627199411392212), np.float64(-0.19757609652860048)]",0
0,47,State BG,"['B', 'G']","[np.float64(0.34888867082595826), np.float64(-0.19757609652860048)]",0
0,48,State DN,"['D', 'N']","[np.float64(0.8627199411392212), np.int64(0)]",0
0,49,State AE,"['A', 'E']","[np.float64(0.8328397811052418), np.float64(-0.06187920094520209)]",0
0,50,State AD,"['A', 'D']","[np.float64(0.8328397811052418), np.float64(0.8627199411392212)]",1
0,51,State AN,"['A', 'N']","[np.float64(0.8328397811052418), np.int64(0)]",0
0,52,State AG,"['A', 'G']","[np.float64(0.8328397811052418), np.float64(-0.19757609652860048)]",0
0,53,State DG,"['D', 'G']","[np.float64(0.8627199411392212), np.float64(-0.19757609652860048)]",0
0,54,State CD,"['C', 'D']","[np.float64(0.7475124432224683), np.float64(0.8627199411392212)]",1
0,55,State DH,"['D', 'H']","[np.float64(0.8627199411392212), np.float64(-0.7499760270118714)]",0
0,56,State FG,"['F', 'G']","[np.float64(-0.43675994634628296), np.float64(-0.19757609652860048)]",1
0,57,State FN,"['F', 'N']","[np.float64(-0.43675994634628296), np.int64(0)]",1
0,58,State CH,"['C', 'H']","[np.float64(0.7475124432224683), np.float64(-0.7499760270118714)]",0
0,59,State CG,"['C', 'G']","[np.float64(0.7475124432224683), np.float64(-0.19757609652860048)]",0
