block_number,trial_number,state_index,state_id,stim_id,context,feedback,probabilities,rewards,q_values,action,prediction_errors,correct_action,accuracy,trial_total,averaged_pe,q_values1,q_values2
0,0,3,State GH,"['G', 'H']",Loss Avoid,-1,"[0.25, 0.75]","[0, -1]","[0, 0]",1,"[0, -1]",0,0,1,-0.5,0.0,0.0
0,1,1,State CD,"['C', 'D']",Reward,1,"[0.75, 0.25]","[1, 0]","[0, 0]",1,"[1, 0]",0,0,1,0.5,0.0,0.0
0,2,0,State AB,"['A', 'B']",Reward,1,"[0.75, 0.25]","[1, 0]","[0, 0]",0,"[1, 0]",0,1,1,0.5,0.0,0.0
0,3,1,State CD,"['C', 'D']",Reward,1,"[0.75, 0.25]","[1, 0]","[np.float64(0.5), np.float64(0.0)]",0,"[np.float64(0.5), np.float64(0.0)]",0,1,2,0.25,0.5,0.0
0,4,0,State AB,"['A', 'B']",Reward,1,"[0.75, 0.25]","[1, 0]","[np.float64(0.1), np.float64(0.0)]",0,"[np.float64(0.9), np.float64(0.0)]",0,1,2,0.45,0.1,0.0
0,5,0,State AB,"['A', 'B']",Reward,1,"[0.75, 0.25]","[1, 0]","[np.float64(0.19), np.float64(0.0)]",0,"[np.float64(0.81), np.float64(0.0)]",0,1,3,0.405,0.19,0.0
0,6,0,State AB,"['A', 'B']",Reward,1,"[0.75, 0.25]","[1, 0]","[np.float64(0.271), np.float64(0.0)]",0,"[np.float64(0.729), np.float64(0.0)]",0,1,4,0.3645,0.271,0.0
0,7,1,State CD,"['C', 'D']",Reward,1,"[0.75, 0.25]","[0, 0]","[np.float64(0.55), np.float64(0.0)]",0,"[np.float64(-0.55), np.float64(0.0)]",0,1,3,-0.275,0.55,0.0
0,8,1,State CD,"['C', 'D']",Reward,1,"[0.75, 0.25]","[1, 0]","[np.float64(0.49500000000000005), np.float64(0.0)]",0,"[np.float64(0.5049999999999999), np.float64(0.0)]",0,1,4,0.25249999999999995,0.49500000000000005,0.0
0,9,3,State GH,"['G', 'H']",Loss Avoid,-1,"[0.25, 0.75]","[0, -1]","[np.float64(0.0), np.float64(-0.1)]",0,"[np.float64(0.0), np.float64(-0.9)]",0,1,2,-0.45,0.0,-0.1
0,10,3,State GH,"['G', 'H']",Loss Avoid,-1,"[0.25, 0.75]","[0, -1]","[np.float64(0.0), np.float64(-0.55)]",0,"[np.float64(0.0), np.float64(-0.44999999999999996)]",0,1,3,-0.22499999999999998,0.0,-0.55
0,11,2,State EF,"['E', 'F']",Loss Avoid,-1,"[0.25, 0.75]","[-1, -1]","[0, 0]",0,"[-1, -1]",0,1,1,-1.0,0.0,0.0
0,12,3,State GH,"['G', 'H']",Loss Avoid,-1,"[0.25, 0.75]","[0, -1]","[np.float64(0.0), np.float64(-0.775)]",0,"[np.float64(0.0), np.float64(-0.22499999999999998)]",0,1,4,-0.11249999999999999,0.0,-0.775
0,13,1,State CD,"['C', 'D']",Reward,1,"[0.75, 0.25]","[0, 0]","[np.float64(0.5455000000000001), np.float64(0.0)]",0,"[np.float64(-0.5455000000000001), np.float64(0.0)]",0,1,5,-0.27275000000000005,0.5455000000000001,0.0
0,14,2,State EF,"['E', 'F']",Loss Avoid,-1,"[0.25, 0.75]","[-1, -1]","[np.float64(-0.1), np.float64(-0.5)]",0,"[np.float64(-0.9), np.float64(-0.5)]",0,1,2,-0.7,-0.1,-0.5
0,15,0,State AB,"['A', 'B']",Reward,1,"[0.75, 0.25]","[1, 0]","[np.float64(0.34390000000000004), np.float64(0.0)]",0,"[np.float64(0.6560999999999999), np.float64(0.0)]",0,1,5,0.32804999999999995,0.34390000000000004,0.0
