block_number,trial_number,state_id,stim_id,q_values,action
0,0,State DG,"['D', 'G']","[np.float64(0.3165283203125), np.float64(-0.28326077184102316)]",0
0,1,State CH,"['C', 'H']","[np.float64(0.7152008907637565), np.float64(-0.49058249998092657)]",0
0,2,State DF,"['D', 'F']","[np.float64(0.3165283203125), np.float64(-0.7265478014945983)]",0
0,3,State EN,"['E', 'N']","[np.float64(-0.2570409611547363), np.int64(0)]",1
0,4,State AH,"['A', 'H']","[np.float64(0.7339585617745187), np.float64(-0.49058249998092657)]",0
0,5,State EH,"['E', 'H']","[np.float64(-0.2570409611547363), np.float64(-0.49058249998092657)]",0
0,6,State BG,"['B', 'G']","[np.float64(0.07970547973632813), np.float64(-0.28326077184102316)]",0
0,7,State CF,"['C', 'F']","[np.float64(0.7152008907637565), np.float64(-0.7265478014945983)]",0
0,8,State EH,"['E', 'H']","[np.float64(-0.2570409611547363), np.float64(-0.49058249998092657)]",0
0,9,State FN,"['F', 'N']","[np.float64(-0.7265478014945983), np.int64(0)]",1
0,10,State BH,"['B', 'H']","[np.float64(0.07970547973632813), np.float64(-0.49058249998092657)]",0
0,11,State DH,"['D', 'H']","[np.float64(0.3165283203125), np.float64(-0.49058249998092657)]",0
0,12,State DE,"['D', 'E']","[np.float64(0.3165283203125), np.float64(-0.2570409611547363)]",0
0,13,State AF,"['A', 'F']","[np.float64(0.7339585617745187), np.float64(-0.7265478014945983)]",0
0,14,State BE,"['B', 'E']","[np.float64(0.07970547973632813), np.float64(-0.2570409611547363)]",0
0,15,State EF,"['E', 'F']","[np.float64(-0.2570409611547363), np.float64(-0.7265478014945983)]",0
0,16,State DG,"['D', 'G']","[np.float64(0.3165283203125), np.float64(-0.28326077184102316)]",0
0,17,State GH,"['G', 'H']","[np.float64(-0.28326077184102316), np.float64(-0.49058249998092657)]",0
0,18,State BF,"['B', 'F']","[np.float64(0.07970547973632813), np.float64(-0.7265478014945983)]",0
0,19,State DG,"['D', 'G']","[np.float64(0.3165283203125), np.float64(-0.28326077184102316)]",0
0,20,State CH,"['C', 'H']","[np.float64(0.7152008907637565), np.float64(-0.49058249998092657)]",0
0,21,State BH,"['B', 'H']","[np.float64(0.07970547973632813), np.float64(-0.49058249998092657)]",0
0,22,State CE,"['C', 'E']","[np.float64(0.7152008907637565), np.float64(-0.2570409611547363)]",0
0,23,State BC,"['B', 'C']","[np.float64(0.07970547973632813), np.float64(0.7152008907637565)]",1
0,24,State DG,"['D', 'G']","[np.float64(0.3165283203125), np.float64(-0.28326077184102316)]",0
0,25,State HN,"['H', 'N']","[np.float64(-0.49058249998092657), np.int64(0)]",1
0,26,State AE,"['A', 'E']","[np.float64(0.7339585617745187), np.float64(-0.2570409611547363)]",0
0,27,State EN,"['E', 'N']","[np.float64(-0.2570409611547363), np.int64(0)]",1
0,28,State BN,"['B', 'N']","[np.float64(0.07970547973632813), np.int64(0)]",1
0,29,State BC,"['B', 'C']","[np.float64(0.07970547973632813), np.float64(0.7152008907637565)]",1
0,30,State CG,"['C', 'G']","[np.float64(0.7152008907637565), np.float64(-0.28326077184102316)]",0
0,31,State BF,"['B', 'F']","[np.float64(0.07970547973632813), np.float64(-0.7265478014945983)]",0
0,32,State DE,"['D', 'E']","[np.float64(0.3165283203125), np.float64(-0.2570409611547363)]",0
0,33,State AE,"['A', 'E']","[np.float64(0.7339585617745187), np.float64(-0.2570409611547363)]",0
0,34,State GH,"['G', 'H']","[np.float64(-0.28326077184102316), np.float64(-0.49058249998092657)]",0
0,35,State AD,"['A', 'D']","[np.float64(0.7339585617745187), np.float64(0.3165283203125)]",0
0,36,State AG,"['A', 'G']","[np.float64(0.7339585617745187), np.float64(-0.28326077184102316)]",0
0,37,State AH,"['A', 'H']","[np.float64(0.7339585617745187), np.float64(-0.49058249998092657)]",0
0,38,State FG,"['F', 'G']","[np.float64(-0.7265478014945983), np.float64(-0.28326077184102316)]",1
0,39,State BF,"['B', 'F']","[np.float64(0.07970547973632813), np.float64(-0.7265478014945983)]",0
0,40,State BG,"['B', 'G']","[np.float64(0.07970547973632813), np.float64(-0.28326077184102316)]",0
0,41,State BN,"['B', 'N']","[np.float64(0.07970547973632813), np.int64(0)]",0
0,42,State CE,"['C', 'E']","[np.float64(0.7152008907637565), np.float64(-0.2570409611547363)]",0
0,43,State CG,"['C', 'G']","[np.float64(0.7152008907637565), np.float64(-0.28326077184102316)]",0
0,44,State AG,"['A', 'G']","[np.float64(0.7339585617745187), np.float64(-0.28326077184102316)]",0
0,45,State HN,"['H', 'N']","[np.float64(-0.49058249998092657), np.int64(0)]",1
0,46,State GH,"['G', 'H']","[np.float64(-0.28326077184102316), np.float64(-0.49058249998092657)]",1
0,47,State AG,"['A', 'G']","[np.float64(0.7339585617745187), np.float64(-0.28326077184102316)]",0
0,48,State EF,"['E', 'F']","[np.float64(-0.2570409611547363), np.float64(-0.7265478014945983)]",0
0,49,State EH,"['E', 'H']","[np.float64(-0.2570409611547363), np.float64(-0.49058249998092657)]",0
0,50,State AH,"['A', 'H']","[np.float64(0.7339585617745187), np.float64(-0.49058249998092657)]",0
0,51,State AB,"['A', 'B']","[np.float64(0.7339585617745187), np.float64(0.07970547973632813)]",0
0,52,State AB,"['A', 'B']","[np.float64(0.7339585617745187), np.float64(0.07970547973632813)]",0
0,53,State AD,"['A', 'D']","[np.float64(0.7339585617745187), np.float64(0.3165283203125)]",0
0,54,State CH,"['C', 'H']","[np.float64(0.7152008907637565), np.float64(-0.49058249998092657)]",0
0,55,State FN,"['F', 'N']","[np.float64(-0.7265478014945983), np.int64(0)]",1
0,56,State DH,"['D', 'H']","[np.float64(0.3165283203125), np.float64(-0.49058249998092657)]",0
0,57,State AB,"['A', 'B']","[np.float64(0.7339585617745187), np.float64(0.07970547973632813)]",0
0,58,State CF,"['C', 'F']","[np.float64(0.7152008907637565), np.float64(-0.7265478014945983)]",0
0,59,State DN,"['D', 'N']","[np.float64(0.3165283203125), np.int64(0)]",0
0,60,State EF,"['E', 'F']","[np.float64(-0.2570409611547363), np.float64(-0.7265478014945983)]",0
0,61,State CE,"['C', 'E']","[np.float64(0.7152008907637565), np.float64(-0.2570409611547363)]",0
0,62,State DN,"['D', 'N']","[np.float64(0.3165283203125), np.int64(0)]",0
0,63,State DF,"['D', 'F']","[np.float64(0.3165283203125), np.float64(-0.7265478014945983)]",0
0,64,State GN,"['G', 'N']","[np.float64(-0.28326077184102316), np.int64(0)]",1
