block_number,trial_number,state_index,state_id,stim_id,context,feedback,probabilities,rewards,q_values,action,prediction_errors,correct_action,accuracy,context_value,context_prediction_errors,trial_total,averaged_pe,q_values1,q_values2
0,0,3,State GH,"['G', 'H']",Loss Avoid,-1,"[0.25, 0.75]","[0, 0]","[0, 0]",1,"[0, 0]",0,0,[0],[0.],1,0.0,0.0,0.0
0,1,3,State GH,"['G', 'H']",Loss Avoid,-1,"[0.25, 0.75]","[0, -1]","[np.float64(0.0), np.float64(0.0)]",0,"[np.float64(0.0), np.float64(-1.0)]",0,1,[0.],[-0.5],2,-0.5,0.0,0.0
0,2,3,State GH,"['G', 'H']",Loss Avoid,-1,"[0.25, 0.75]","[0, -1]","[np.float64(0.0), np.float64(-0.05)]",0,"[np.float64(0.05), np.float64(-0.8999999999999999)]",0,1,[-0.05],[-0.45],3,-0.42499999999999993,0.0,-0.05
0,3,2,State EF,"['E', 'F']",Loss Avoid,-1,"[0.25, 0.75]","[-1, -1]","[0, 0]",1,"[-1, -1]",0,0,[0],[-1.],1,-1.0,0.0,0.0
0,4,0,State AB,"['A', 'B']",Reward,1,"[0.75, 0.25]","[1, 1]","[0, 0]",1,"[1, 1]",0,0,[0],[1.],1,1.0,0.0,0.0
0,5,2,State EF,"['E', 'F']",Loss Avoid,-1,"[0.25, 0.75]","[0, -1]","[np.float64(-0.05), np.float64(-0.1)]",0,"[np.float64(0.15000000000000002), np.float64(-0.8)]",0,1,[-0.1],[-0.4],2,-0.325,-0.05,-0.1
0,6,1,State CD,"['C', 'D']",Reward,1,"[0.75, 0.25]","[1, 0]","[0, 0]",0,"[1, 0]",0,1,[0],[0.5],1,0.5,0.0,0.0
0,7,0,State AB,"['A', 'B']",Reward,1,"[0.75, 0.25]","[1, 0]","[np.float64(0.05), np.float64(0.1)]",1,"[np.float64(0.85), np.float64(-0.2)]",0,0,[0.1],[0.4],2,0.32499999999999996,0.05,0.1
0,8,3,State GH,"['G', 'H']",Loss Avoid,-1,"[0.25, 0.75]","[-1, -1]","[np.float64(0.005000000000000001), np.float64(-0.095)]",1,"[np.float64(-0.91), np.float64(-0.81)]",0,0,[-0.095],[-0.905],4,-0.8600000000000001,0.005000000000000001,-0.095
0,9,2,State EF,"['E', 'F']",Loss Avoid,-1,"[0.25, 0.75]","[-1, -1]","[np.float64(-0.035), np.float64(-0.14)]",0,"[np.float64(-0.825), np.float64(-0.72)]",0,1,[-0.14],[-0.86],3,-0.7725,-0.035,-0.14
0,10,1,State CD,"['C', 'D']",Reward,1,"[0.75, 0.25]","[1, 1]","[np.float64(0.1), np.float64(0.0)]",0,"[np.float64(0.85), np.float64(0.95)]",0,1,[0.05],[0.95],2,0.8999999999999999,0.1,0.0
