block_number,trial_number,state_id,stim_id,q_values,action
0,0,State AE,"['A', 'E']","[np.float64(0.4448395669477094), np.float64(0.08463418042238174)]",0
0,1,State AN,"['A', 'N']","[np.float64(0.4448395669477094), np.int64(0)]",0
0,2,State DH,"['D', 'H']","[np.float64(-0.17452551607869113), np.float64(-0.3436567037289339)]",0
0,3,State EN,"['E', 'N']","[np.float64(0.08463418042238174), np.int64(0)]",1
0,4,State BG,"['B', 'G']","[np.float64(-0.12301222105425125), np.float64(0.15078490671119563)]",1
0,5,State AG,"['A', 'G']","[np.float64(0.4448395669477094), np.float64(0.15078490671119563)]",0
0,6,State DG,"['D', 'G']","[np.float64(-0.17452551607869113), np.float64(0.15078490671119563)]",1
0,7,State AE,"['A', 'E']","[np.float64(0.4448395669477094), np.float64(0.08463418042238174)]",0
0,8,State CF,"['C', 'F']","[np.float64(0.43919065409492486), np.float64(-0.2846481397740379)]",0
0,9,State HN,"['H', 'N']","[np.float64(-0.3436567037289339), np.int64(0)]",1
0,10,State DG,"['D', 'G']","[np.float64(-0.17452551607869113), np.float64(0.15078490671119563)]",1
0,11,State AE,"['A', 'E']","[np.float64(0.4448395669477094), np.float64(0.08463418042238174)]",0
0,12,State DN,"['D', 'N']","[np.float64(-0.17452551607869113), np.int64(0)]",1
0,13,State AG,"['A', 'G']","[np.float64(0.4448395669477094), np.float64(0.15078490671119563)]",0
0,14,State FN,"['F', 'N']","[np.float64(-0.2846481397740379), np.int64(0)]",1
0,15,State BC,"['B', 'C']","[np.float64(-0.12301222105425125), np.float64(0.43919065409492486)]",1
0,16,State AB,"['A', 'B']","[np.float64(0.4448395669477094), np.float64(-0.12301222105425125)]",0
0,17,State BG,"['B', 'G']","[np.float64(-0.12301222105425125), np.float64(0.15078490671119563)]",1
0,18,State BE,"['B', 'E']","[np.float64(-0.12301222105425125), np.float64(0.08463418042238174)]",1
0,19,State DF,"['D', 'F']","[np.float64(-0.17452551607869113), np.float64(-0.2846481397740379)]",0
0,20,State GN,"['G', 'N']","[np.float64(0.15078490671119563), np.int64(0)]",0
0,21,State EH,"['E', 'H']","[np.float64(0.08463418042238174), np.float64(-0.3436567037289339)]",0
0,22,State CF,"['C', 'F']","[np.float64(0.43919065409492486), np.float64(-0.2846481397740379)]",0
0,23,State AN,"['A', 'N']","[np.float64(0.4448395669477094), np.int64(0)]",0
0,24,State FN,"['F', 'N']","[np.float64(-0.2846481397740379), np.int64(0)]",1
0,25,State AF,"['A', 'F']","[np.float64(0.4448395669477094), np.float64(-0.2846481397740379)]",0
0,26,State DH,"['D', 'H']","[np.float64(-0.17452551607869113), np.float64(-0.3436567037289339)]",0
0,27,State EN,"['E', 'N']","[np.float64(0.08463418042238174), np.int64(0)]",0
0,28,State AD,"['A', 'D']","[np.float64(0.4448395669477094), np.float64(-0.17452551607869113)]",0
0,29,State DF,"['D', 'F']","[np.float64(-0.17452551607869113), np.float64(-0.2846481397740379)]",0
0,30,State BF,"['B', 'F']","[np.float64(-0.12301222105425125), np.float64(-0.2846481397740379)]",0
0,31,State CH,"['C', 'H']","[np.float64(0.43919065409492486), np.float64(-0.3436567037289339)]",0
0,32,State BG,"['B', 'G']","[np.float64(-0.12301222105425125), np.float64(0.15078490671119563)]",1
0,33,State AH,"['A', 'H']","[np.float64(0.4448395669477094), np.float64(-0.3436567037289339)]",0
0,34,State CG,"['C', 'G']","[np.float64(0.43919065409492486), np.float64(0.15078490671119563)]",0
0,35,State BN,"['B', 'N']","[np.float64(-0.12301222105425125), np.int64(0)]",1
0,36,State EF,"['E', 'F']","[np.float64(0.08463418042238174), np.float64(-0.2846481397740379)]",0
0,37,State AH,"['A', 'H']","[np.float64(0.4448395669477094), np.float64(-0.3436567037289339)]",0
0,38,State FG,"['F', 'G']","[np.float64(-0.2846481397740379), np.float64(0.15078490671119563)]",1
0,39,State EN,"['E', 'N']","[np.float64(0.08463418042238174), np.int64(0)]",0
0,40,State DF,"['D', 'F']","[np.float64(-0.17452551607869113), np.float64(-0.2846481397740379)]",0
0,41,State CD,"['C', 'D']","[np.float64(0.43919065409492486), np.float64(-0.17452551607869113)]",0
0,42,State AN,"['A', 'N']","[np.float64(0.4448395669477094), np.int64(0)]",0
0,43,State DE,"['D', 'E']","[np.float64(-0.17452551607869113), np.float64(0.08463418042238174)]",1
0,44,State DN,"['D', 'N']","[np.float64(-0.17452551607869113), np.int64(0)]",0
0,45,State BH,"['B', 'H']","[np.float64(-0.12301222105425125), np.float64(-0.3436567037289339)]",0
0,46,State BN,"['B', 'N']","[np.float64(-0.12301222105425125), np.int64(0)]",0
0,47,State BC,"['B', 'C']","[np.float64(-0.12301222105425125), np.float64(0.43919065409492486)]",1
0,48,State AF,"['A', 'F']","[np.float64(0.4448395669477094), np.float64(-0.2846481397740379)]",0
0,49,State BF,"['B', 'F']","[np.float64(-0.12301222105425125), np.float64(-0.2846481397740379)]",0
0,50,State GH,"['G', 'H']","[np.float64(0.15078490671119563), np.float64(-0.3436567037289339)]",0
0,51,State CH,"['C', 'H']","[np.float64(0.43919065409492486), np.float64(-0.3436567037289339)]",0
0,52,State CG,"['C', 'G']","[np.float64(0.43919065409492486), np.float64(0.15078490671119563)]",0
0,53,State AD,"['A', 'D']","[np.float64(0.4448395669477094), np.float64(-0.17452551607869113)]",0
0,54,State BH,"['B', 'H']","[np.float64(-0.12301222105425125), np.float64(-0.3436567037289339)]",0
0,55,State CN,"['C', 'N']","[np.float64(0.43919065409492486), np.int64(0)]",0
0,56,State DG,"['D', 'G']","[np.float64(-0.17452551607869113), np.float64(0.15078490671119563)]",1
