block_number,trial_number,state_index,state_id,stim_id,context,feedback,probabilities,rewards,q_values,action,prediction_errors,correct_action,accuracy,context_value,context_prediction_errors,trial_total,averaged_pe,q_values1,q_values2
0,0,2,State EF,"['E', 'F']",Loss Avoid,-1,"[0.25, 0.75]","[0, -1]","[0, 0]",0,"[0, -1]",0,1,[0],[-0.5],1,-0.5,0.0,0.0
0,1,3,State GH,"['G', 'H']",Loss Avoid,-1,"[0.25, 0.75]","[0, -1]","[0, 0]",1,"[0, -1]",0,0,[0],[-0.5],1,-0.5,0.0,0.0
0,2,3,State GH,"['G', 'H']",Loss Avoid,-1,"[0.25, 0.75]","[0, -1]","[np.float64(0.0), np.float64(-0.1)]",0,"[np.float64(0.05), np.float64(-0.85)]",0,1,[-0.05],[-0.45],2,-0.39999999999999997,0.0,-0.1
0,3,1,State CD,"['C', 'D']",Reward,1,"[0.75, 0.25]","[0, 0]","[0, 0]",1,"[0, 0]",0,0,[0],[0.],1,0.0,0.0,0.0
0,4,1,State CD,"['C', 'D']",Reward,1,"[0.75, 0.25]","[1, 1]","[np.float64(0.0), np.float64(0.0)]",1,"[np.float64(1.0), np.float64(1.0)]",0,0,[0.],[1.],2,1.0,0.0,0.0
0,5,2,State EF,"['E', 'F']",Loss Avoid,-1,"[0.25, 0.75]","[0, 0]","[np.float64(0.0), np.float64(-0.05)]",1,"[np.float64(0.05), np.float64(0.1)]",0,0,[-0.05],[0.05],2,0.07500000000000001,0.0,-0.05
0,6,3,State GH,"['G', 'H']",Loss Avoid,-1,"[0.25, 0.75]","[-1, -1]","[np.float64(0.005000000000000001), np.float64(-0.14250000000000002)]",1,"[np.float64(-0.91), np.float64(-0.7625)]",0,0,[-0.095],[-0.905],3,-0.8362499999999999,0.005000000000000001,-0.14250000000000002
0,7,2,State EF,"['E', 'F']",Loss Avoid,-1,"[0.25, 0.75]","[0, -1]","[np.float64(0.0025000000000000005), np.float64(-0.04)]",0,"[np.float64(0.042499999999999996), np.float64(-0.9149999999999999)]",0,1,[-0.045],[-0.455],3,-0.43624999999999997,0.0025000000000000005,-0.04
0,8,0,State AB,"['A', 'B']",Reward,1,"[0.75, 0.25]","[1, 0]","[0, 0]",0,"[1, 0]",0,1,[0],[0.5],1,0.5,0.0,0.0
0,9,1,State CD,"['C', 'D']",Reward,1,"[0.75, 0.25]","[1, 0]","[np.float64(0.05), np.float64(0.1)]",0,"[np.float64(0.85), np.float64(-0.2)]",0,1,[0.1],[0.4],3,0.32499999999999996,0.05,0.1
0,10,0,State AB,"['A', 'B']",Reward,1,"[0.75, 0.25]","[1, 0]","[np.float64(0.1), np.float64(0.0)]",0,"[np.float64(0.85), np.float64(-0.05)]",0,1,[0.05],[0.45],2,0.39999999999999997,0.1,0.0
0,11,0,State AB,"['A', 'B']",Reward,1,"[0.75, 0.25]","[1, 0]","[np.float64(0.185), np.float64(-0.0025000000000000005)]",0,"[np.float64(0.72), np.float64(-0.0925)]",0,1,[0.095],[0.405],3,0.31375,0.185,-0.0025000000000000005
0,12,2,State EF,"['E', 'F']",Loss Avoid,-1,"[0.25, 0.75]","[-1, -1]","[np.float64(0.00675), np.float64(-0.08574999999999999)]",1,"[np.float64(-0.91625), np.float64(-0.82375)]",0,0,[-0.0905],[-0.9095],4,-0.87,0.00675,-0.08574999999999999
0,13,3,State GH,"['G', 'H']",Loss Avoid,-1,"[0.25, 0.75]","[-1, -1]","[np.float64(-0.04050000000000001), np.float64(-0.21875)]",0,"[np.float64(-0.774), np.float64(-0.59575)]",0,1,[-0.1855],[-0.8145],4,-0.684875,-0.04050000000000001,-0.21875
0,14,3,State GH,"['G', 'H']",Loss Avoid,-1,"[0.25, 0.75]","[0, -1]","[np.float64(-0.11790000000000002), np.float64(-0.2485375)]",0,"[np.float64(0.38485), np.float64(-0.4845125)]",0,1,[-0.26695],[-0.23305],5,-0.049831249999999994,-0.11790000000000002,-0.2485375
0,15,1,State CD,"['C', 'D']",Reward,1,"[0.75, 0.25]","[1, 0]","[np.float64(0.135), np.float64(0.09)]",0,"[np.float64(0.725), np.float64(-0.23)]",0,1,[0.14],[0.36],4,0.2475,0.135,0.09
0,16,0,State AB,"['A', 'B']",Reward,1,"[0.75, 0.25]","[1, 0]","[np.float64(0.257), np.float64(-0.007125)]",1,"[np.float64(0.6075), np.float64(-0.12837500000000002)]",0,0,[0.1355],[0.3645],4,0.2395625,0.257,-0.007125
