block_number,trial_number,state_id,stim_id,q_values,action
0,0,State HN,"['H', 'N']","[np.float64(-0.2962248582392613), np.int64(0)]",1
0,1,State CD,"['C', 'D']","[np.float64(0.3613181811404427), np.float64(-0.04966668919021054)]",0
0,2,State CF,"['C', 'F']","[np.float64(0.3613181811404427), np.float64(-0.34286699410468285)]",0
0,3,State CD,"['C', 'D']","[np.float64(0.3613181811404427), np.float64(-0.04966668919021054)]",0
0,4,State CN,"['C', 'N']","[np.float64(0.3613181811404427), np.int64(0)]",0
0,5,State AH,"['A', 'H']","[np.float64(0.4120113517211765), np.float64(-0.2962248582392613)]",0
0,6,State CN,"['C', 'N']","[np.float64(0.3613181811404427), np.int64(0)]",0
0,7,State CH,"['C', 'H']","[np.float64(0.3613181811404427), np.float64(-0.2962248582392613)]",0
0,8,State BN,"['B', 'N']","[np.float64(-0.0997972919694245), np.int64(0)]",1
0,9,State EF,"['E', 'F']","[np.float64(0.1451102926175475), np.float64(-0.34286699410468285)]",0
0,10,State DN,"['D', 'N']","[np.float64(-0.04966668919021054), np.int64(0)]",1
0,11,State CD,"['C', 'D']","[np.float64(0.3613181811404427), np.float64(-0.04966668919021054)]",0
0,12,State BF,"['B', 'F']","[np.float64(-0.0997972919694245), np.float64(-0.34286699410468285)]",0
0,13,State BN,"['B', 'N']","[np.float64(-0.0997972919694245), np.int64(0)]",1
0,14,State EF,"['E', 'F']","[np.float64(0.1451102926175475), np.float64(-0.34286699410468285)]",0
0,15,State DN,"['D', 'N']","[np.float64(-0.04966668919021054), np.int64(0)]",1
0,16,State CG,"['C', 'G']","[np.float64(0.3613181811404427), np.float64(0.17855705119799423)]",1
0,17,State AH,"['A', 'H']","[np.float64(0.4120113517211765), np.float64(-0.2962248582392613)]",0
0,18,State BE,"['B', 'E']","[np.float64(-0.0997972919694245), np.float64(0.1451102926175475)]",1
0,19,State DN,"['D', 'N']","[np.float64(-0.04966668919021054), np.int64(0)]",1
0,20,State EF,"['E', 'F']","[np.float64(0.1451102926175475), np.float64(-0.34286699410468285)]",0
0,21,State BN,"['B', 'N']","[np.float64(-0.0997972919694245), np.int64(0)]",1
0,22,State AF,"['A', 'F']","[np.float64(0.4120113517211765), np.float64(-0.34286699410468285)]",0
0,23,State DE,"['D', 'E']","[np.float64(-0.04966668919021054), np.float64(0.1451102926175475)]",1
0,24,State CG,"['C', 'G']","[np.float64(0.3613181811404427), np.float64(0.17855705119799423)]",1
0,25,State DE,"['D', 'E']","[np.float64(-0.04966668919021054), np.float64(0.1451102926175475)]",1
0,26,State AN,"['A', 'N']","[np.float64(0.4120113517211765), np.int64(0)]",0
0,27,State AE,"['A', 'E']","[np.float64(0.4120113517211765), np.float64(0.1451102926175475)]",0
0,28,State AD,"['A', 'D']","[np.float64(0.4120113517211765), np.float64(-0.04966668919021054)]",0
0,29,State BG,"['B', 'G']","[np.float64(-0.0997972919694245), np.float64(0.17855705119799423)]",1
0,30,State DF,"['D', 'F']","[np.float64(-0.04966668919021054), np.float64(-0.34286699410468285)]",0
0,31,State CD,"['C', 'D']","[np.float64(0.3613181811404427), np.float64(-0.04966668919021054)]",0
0,32,State CE,"['C', 'E']","[np.float64(0.3613181811404427), np.float64(0.1451102926175475)]",1
0,33,State DH,"['D', 'H']","[np.float64(-0.04966668919021054), np.float64(-0.2962248582392613)]",0
