block_number,trial_number,state_index,state_id,stim_id,context,feedback,probabilities,rewards,q_values,action,prediction_errors,correct_action,accuracy,context_value,context_prediction_errors,trial_total,averaged_pe,q_values1,q_values2
0,0,1,State CD,"['C', 'D']",Reward,1,"[0.75, 0.25]","[1, 0]","[0, 0]",1,"[np.float64(1.0), np.float64(0.0)]",0,0,[0],[0.5],1,0.5,0.0,0.0
0,1,1,State CD,"['C', 'D']",Reward,1,"[0.75, 0.25]","[0, 0]","[np.float64(0.05), np.float64(0.0)]",0,"[np.float64(-0.07500000000000001), np.float64(-0.025)]",0,1,[0.05],[-0.05],2,-0.05,0.05,0.0
0,2,3,State GH,"['G', 'H']",Loss Avoid,-1,"[0.25, 0.75]","[0, -1]","[0, 0]",1,"[np.float64(0.0), np.float64(-1.0)]",0,0,[0],[-0.5],1,-0.5,0.0,0.0
0,3,0,State AB,"['A', 'B']",Reward,1,"[0.75, 0.25]","[1, 0]","[0, 0]",1,"[np.float64(1.0), np.float64(0.0)]",0,0,[0],[0.5],1,0.5,0.0,0.0
0,4,1,State CD,"['C', 'D']",Reward,1,"[0.75, 0.25]","[1, 0]","[np.float64(0.0425), np.float64(-0.0012500000000000002)]",1,"[np.float64(0.935), np.float64(-0.021249999999999998)]",0,0,[0.045],[0.455],3,0.45687500000000003,0.0425,-0.0012500000000000002
0,5,0,State AB,"['A', 'B']",Reward,1,"[0.75, 0.25]","[1, 0]","[np.float64(0.05), np.float64(0.0)]",0,"[np.float64(0.9249999999999999), np.float64(-0.025)]",0,1,[0.05],[0.45],2,0.44999999999999996,0.05,0.0
0,6,3,State GH,"['G', 'H']",Loss Avoid,-1,"[0.25, 0.75]","[0, -1]","[np.float64(0.0), np.float64(-0.1)]",0,"[np.float64(0.025), np.float64(-0.875)]",0,1,[-0.05],[-0.45],2,-0.425,0.0,-0.1
0,7,1,State CD,"['C', 'D']",Reward,1,"[0.75, 0.25]","[1, 1]","[np.float64(0.08925000000000001), np.float64(-0.003375)]",0,"[np.float64(0.8654999999999999), np.float64(0.958125)]",0,1,[0.0905],[0.9095],4,0.9118124999999999,0.08925000000000001,-0.003375
0,8,0,State AB,"['A', 'B']",Reward,1,"[0.75, 0.25]","[1, 1]","[np.float64(0.14250000000000002), np.float64(-0.0012500000000000002)]",0,"[np.float64(0.81), np.float64(0.95375)]",0,1,[0.095],[0.905],3,0.881875,0.14250000000000002,-0.0012500000000000002
0,9,3,State GH,"['G', 'H']",Loss Avoid,-1,"[0.25, 0.75]","[0, -1]","[np.float64(0.0025000000000000005), np.float64(-0.14375000000000002)]",0,"[np.float64(0.045), np.float64(-0.80875)]",0,1,[-0.095],[-0.405],3,-0.38187499999999996,0.0025000000000000005,-0.14375000000000002
0,10,0,State AB,"['A', 'B']",Reward,1,"[0.75, 0.25]","[1, 1]","[np.float64(0.22350000000000003), np.float64(0.0464375)]",0,"[np.float64(0.68375), np.float64(0.8608125)]",0,1,[0.1855],[0.8145],4,0.77228125,0.22350000000000003,0.0464375
0,11,1,State CD,"['C', 'D']",Reward,1,"[0.75, 0.25]","[1, 1]","[np.float64(0.1758), np.float64(0.04453125)]",0,"[np.float64(0.7334750000000001), np.float64(0.86474375)]",0,1,[0.18145],[0.81855],5,0.799109375,0.1758,0.04453125
0,12,2,State EF,"['E', 'F']",Loss Avoid,-1,"[0.25, 0.75]","[0, -1]","[0, 0]",0,"[np.float64(0.0), np.float64(-1.0)]",0,1,[0],[-0.5],1,-0.5,0.0,0.0
0,13,1,State CD,"['C', 'D']",Reward,1,"[0.75, 0.25]","[1, 0]","[np.float64(0.24914750000000002), np.float64(0.0877684375)]",0,"[np.float64(0.6192), np.float64(-0.21942093750000002)]",0,1,[0.263305],[0.236695],6,0.19988953124999997,0.24914750000000002,0.0877684375
0,14,2,State EF,"['E', 'F']",Loss Avoid,-1,"[0.25, 0.75]","[-1, -1]","[np.float64(0.0), np.float64(-0.05)]",0,"[np.float64(-0.975), np.float64(-0.9249999999999999)]",0,1,[-0.05],[-0.95],2,-0.95,0.0,-0.05
0,15,0,State AB,"['A', 'B']",Reward,1,"[0.75, 0.25]","[1, 0]","[np.float64(0.29187500000000005), np.float64(0.08947812499999999)]",0,"[np.float64(0.5746499999999999), np.float64(-0.222953125)]",0,1,[0.26695],[0.23305],5,0.17584843749999995,0.29187500000000005,0.08947812499999999
0,16,2,State EF,"['E', 'F']",Loss Avoid,-1,"[0.25, 0.75]","[0, -1]","[np.float64(-0.0975), np.float64(-0.09625)]",0,"[np.float64(0.17), np.float64(-0.83125)]",0,1,[-0.145],[-0.355],3,-0.330625,-0.0975,-0.09625
