block_number,trial_number,state_id,stim_id,q_values,action
0,0,State AN,"['A', 'N']","[np.float64(0.390185303654768), np.int64(0)]",0
0,1,State AF,"['A', 'F']","[np.float64(0.390185303654768), np.float64(-0.3798609205307951)]",0
0,2,State AG,"['A', 'G']","[np.float64(0.390185303654768), np.float64(0.044385307204960964)]",0
0,3,State FN,"['F', 'N']","[np.float64(-0.3798609205307951), np.int64(0)]",1
0,4,State GN,"['G', 'N']","[np.float64(0.044385307204960964), np.int64(0)]",0
0,5,State DE,"['D', 'E']","[np.float64(-0.05026925460206945), np.float64(0.02692884134535377)]",1
0,6,State AH,"['A', 'H']","[np.float64(0.390185303654768), np.float64(-0.446392677994266)]",0
0,7,State BG,"['B', 'G']","[np.float64(0.0434177455627697), np.float64(0.044385307204960964)]",0
0,8,State DG,"['D', 'G']","[np.float64(-0.05026925460206945), np.float64(0.044385307204960964)]",1
0,9,State AN,"['A', 'N']","[np.float64(0.390185303654768), np.int64(0)]",0
0,10,State CD,"['C', 'D']","[np.float64(0.5353688769423404), np.float64(-0.05026925460206945)]",0
0,11,State CG,"['C', 'G']","[np.float64(0.5353688769423404), np.float64(0.044385307204960964)]",0
0,12,State FN,"['F', 'N']","[np.float64(-0.3798609205307951), np.int64(0)]",1
0,13,State CH,"['C', 'H']","[np.float64(0.5353688769423404), np.float64(-0.446392677994266)]",0
0,14,State BN,"['B', 'N']","[np.float64(0.0434177455627697), np.int64(0)]",1
0,15,State BC,"['B', 'C']","[np.float64(0.0434177455627697), np.float64(0.5353688769423404)]",1
0,16,State CH,"['C', 'H']","[np.float64(0.5353688769423404), np.float64(-0.446392677994266)]",0
0,17,State BF,"['B', 'F']","[np.float64(0.0434177455627697), np.float64(-0.3798609205307951)]",0
0,18,State EN,"['E', 'N']","[np.float64(0.02692884134535377), np.int64(0)]",1
0,19,State DN,"['D', 'N']","[np.float64(-0.05026925460206945), np.int64(0)]",0
0,20,State AF,"['A', 'F']","[np.float64(0.390185303654768), np.float64(-0.3798609205307951)]",0
0,21,State DH,"['D', 'H']","[np.float64(-0.05026925460206945), np.float64(-0.446392677994266)]",0
0,22,State BE,"['B', 'E']","[np.float64(0.0434177455627697), np.float64(0.02692884134535377)]",1
0,23,State CN,"['C', 'N']","[np.float64(0.5353688769423404), np.int64(0)]",0
