block_number,trial_number,state_index,state_id,stim_id,context,feedback,probabilities,rewards,q_values,action,prediction_errors,correct_action,accuracy,context_value,context_prediction_errors,trial_total,averaged_pe,q_values1,q_values2
0,0,2,State EF,"['E', 'F']",Loss Avoid,-1,"[0.25, 0.75]","[0, -1]","[0, 0]",1,"[np.float64(0.0), np.float64(-1.0)]",0,0,[0],[-0.5],1,-0.5,0.0,0.0
0,1,0,State AB,"['A', 'B']",Reward,1,"[0.75, 0.25]","[1, 1]","[0, 0]",0,"[np.float64(1.0), np.float64(1.0)]",0,1,[0],[1.],1,1.0,0.0,0.0
0,2,2,State EF,"['E', 'F']",Loss Avoid,-1,"[0.25, 0.75]","[0, 0]","[np.float64(0.0), np.float64(-0.1)]",1,"[np.float64(0.025), np.float64(0.125)]",0,0,[-0.05],[0.05],2,0.075,0.0,-0.1
0,3,0,State AB,"['A', 'B']",Reward,1,"[0.75, 0.25]","[1, 0]","[np.float64(0.1), np.float64(0.05)]",1,"[np.float64(0.85), np.float64(-0.1)]",0,0,[0.1],[0.4],2,0.375,0.1,0.05
0,4,2,State EF,"['E', 'F']",Loss Avoid,-1,"[0.25, 0.75]","[0, -1]","[np.float64(0.0012500000000000002), np.float64(-0.08750000000000001)]",0,"[np.float64(0.021249999999999998), np.float64(-0.89)]",0,1,[-0.045],[-0.455],3,-0.434375,0.0012500000000000002,-0.08750000000000001
0,5,3,State GH,"['G', 'H']",Loss Avoid,-1,"[0.25, 0.75]","[-1, -1]","[0, 0]",0,"[np.float64(-1.0), np.float64(-1.0)]",0,1,[0],[-1.],1,-1.0,0.0,0.0
0,6,0,State AB,"['A', 'B']",Reward,1,"[0.75, 0.25]","[1, 0]","[np.float64(0.14250000000000002), np.float64(0.04)]",0,"[np.float64(0.7874999999999999), np.float64(-0.11000000000000001)]",0,1,[0.14],[0.36],3,0.33874999999999994,0.14250000000000002,0.04
0,7,3,State GH,"['G', 'H']",Loss Avoid,-1,"[0.25, 0.75]","[-1, -1]","[np.float64(-0.1), np.float64(-0.05)]",0,"[np.float64(-0.85), np.float64(-0.8999999999999999)]",0,1,[-0.1],[-0.9],2,-0.875,-0.1,-0.05
0,8,2,State EF,"['E', 'F']",Loss Avoid,-1,"[0.25, 0.75]","[0, -1]","[np.float64(0.003375), np.float64(-0.132)]",0,"[np.float64(0.041874999999999996), np.float64(-0.82275)]",0,1,[-0.0905],[-0.4095],4,-0.3904375,0.003375,-0.132
0,9,1,State CD,"['C', 'D']",Reward,1,"[0.75, 0.25]","[1, 0]","[0, 0]",1,"[np.float64(1.0), np.float64(0.0)]",0,0,[0],[0.5],1,0.5,0.0,0.0
0,10,3,State GH,"['G', 'H']",Loss Avoid,-1,"[0.25, 0.75]","[0, -1]","[np.float64(-0.185), np.float64(-0.095)]",1,"[np.float64(0.28), np.float64(-0.81)]",0,0,[-0.19],[-0.31],3,-0.265,-0.185,-0.095
0,11,1,State CD,"['C', 'D']",Reward,1,"[0.75, 0.25]","[1, 1]","[np.float64(0.05), np.float64(0.0)]",1,"[np.float64(0.9249999999999999), np.float64(0.975)]",0,0,[0.05],[0.95],2,0.95,0.05,0.0
0,12,3,State GH,"['G', 'H']",Loss Avoid,-1,"[0.25, 0.75]","[0, 0]","[np.float64(-0.17099999999999999), np.float64(-0.17600000000000002)]",1,"[np.float64(0.2815), np.float64(0.28650000000000003)]",0,0,[-0.221],[0.221],4,0.28400000000000003,-0.17099999999999999,-0.17600000000000002
0,13,1,State CD,"['C', 'D']",Reward,1,"[0.75, 0.25]","[0, 0]","[np.float64(0.09625), np.float64(0.0975)]",1,"[np.float64(-0.16875), np.float64(-0.17)]",0,0,[0.145],[-0.145],3,-0.169375,0.09625,0.0975
0,14,1,State CD,"['C', 'D']",Reward,1,"[0.75, 0.25]","[0, 0]","[np.float64(0.0878125), np.float64(0.0805)]",0,"[np.float64(-0.1530625), np.float64(-0.14575)]",0,1,[0.1305],[-0.1305],4,-0.14940625,0.0878125,0.0805
0,15,3,State GH,"['G', 'H']",Loss Avoid,-1,"[0.25, 0.75]","[0, -1]","[np.float64(-0.15692499999999998), np.float64(-0.14735)]",1,"[np.float64(0.25637499999999996), np.float64(-0.7532)]",0,0,[-0.1989],[-0.3011],5,-0.2484125,-0.15692499999999998,-0.14735
0,16,1,State CD,"['C', 'D']",Reward,1,"[0.75, 0.25]","[1, 0]","[np.float64(0.07250625), np.float64(0.0732125)]",1,"[np.float64(0.86876875), np.float64(-0.13193749999999999)]",0,0,[0.11745],[0.38255],5,0.368415625,0.07250625,0.0732125
