block_number,trial_number,state_id,stim_id,q_values,action
0,0,State AE,"['A', 'E']","[np.float64(0.5457513229812113), np.float64(0.07138409910072019)]",0
0,1,State AF,"['A', 'F']","[np.float64(0.5457513229812113), np.float64(-0.4177124668078086)]",0
0,2,State CD,"['C', 'D']","[np.float64(0.36740899461577775), np.float64(0.06983156801872617)]",0
0,3,State DH,"['D', 'H']","[np.float64(0.06983156801872617), np.float64(-0.46904831986817697)]",0
0,4,State BF,"['B', 'F']","[np.float64(0.013270678470859838), np.float64(-0.4177124668078086)]",0
0,5,State FN,"['F', 'N']","[np.float64(-0.4177124668078086), np.int64(0)]",1
0,6,State BG,"['B', 'G']","[np.float64(0.013270678470859838), np.float64(0.10437689606210625)]",1
0,7,State CD,"['C', 'D']","[np.float64(0.36740899461577775), np.float64(0.06983156801872617)]",0
0,8,State GN,"['G', 'N']","[np.float64(0.10437689606210625), np.int64(0)]",0
0,9,State CE,"['C', 'E']","[np.float64(0.36740899461577775), np.float64(0.07138409910072019)]",0
0,10,State AG,"['A', 'G']","[np.float64(0.5457513229812113), np.float64(0.10437689606210625)]",0
0,11,State EH,"['E', 'H']","[np.float64(0.07138409910072019), np.float64(-0.46904831986817697)]",0
0,12,State BN,"['B', 'N']","[np.float64(0.013270678470859838), np.int64(0)]",0
0,13,State HN,"['H', 'N']","[np.float64(-0.46904831986817697), np.int64(0)]",1
0,14,State FG,"['F', 'G']","[np.float64(-0.4177124668078086), np.float64(0.10437689606210625)]",1
0,15,State DN,"['D', 'N']","[np.float64(0.06983156801872617), np.int64(0)]",1
0,16,State EN,"['E', 'N']","[np.float64(0.07138409910072019), np.int64(0)]",1
0,17,State AE,"['A', 'E']","[np.float64(0.5457513229812113), np.float64(0.07138409910072019)]",0
0,18,State BE,"['B', 'E']","[np.float64(0.013270678470859838), np.float64(0.07138409910072019)]",1
0,19,State DN,"['D', 'N']","[np.float64(0.06983156801872617), np.int64(0)]",0
0,20,State EN,"['E', 'N']","[np.float64(0.07138409910072019), np.int64(0)]",0
0,21,State AD,"['A', 'D']","[np.float64(0.5457513229812113), np.float64(0.06983156801872617)]",0
0,22,State AF,"['A', 'F']","[np.float64(0.5457513229812113), np.float64(-0.4177124668078086)]",0
0,23,State DF,"['D', 'F']","[np.float64(0.06983156801872617), np.float64(-0.4177124668078086)]",0
0,24,State CF,"['C', 'F']","[np.float64(0.36740899461577775), np.float64(-0.4177124668078086)]",0
0,25,State AN,"['A', 'N']","[np.float64(0.5457513229812113), np.int64(0)]",0
0,26,State DE,"['D', 'E']","[np.float64(0.06983156801872617), np.float64(0.07138409910072019)]",0
0,27,State BH,"['B', 'H']","[np.float64(0.013270678470859838), np.float64(-0.46904831986817697)]",0
0,28,State CD,"['C', 'D']","[np.float64(0.36740899461577775), np.float64(0.06983156801872617)]",0
