model,group,A,B,E,F,N
QLearning,chronic pain,68.0,81.5,33.5,8.5,61
QLearning,chronic pain,94.5,59.0,36.0,4.0,57
QLearning,chronic pain,74.5,69.5,48.0,3.5,55
QLearning,chronic pain,96.5,72.0,34.5,0.0,41
QLearning,chronic pain,89.5,67.0,41.5,2.5,46
QLearning,chronic pain,98.0,70.5,27.5,2.5,50
QLearning,chronic pain,95.0,65.0,32.5,4.0,52
QLearning,chronic pain,84.0,54.5,41.0,16.5,52
QLearning,chronic pain,79.0,56.0,37.0,28.0,46
QLearning,chronic pain,66.5,56.5,41.0,34.5,48
QLearning,chronic pain,76.5,46.0,54.0,21.5,50
QLearning,chronic pain,73.0,61.5,38.0,21.5,57
QLearning,chronic pain,70.0,55.0,45.5,31.5,43
QLearning,chronic pain,89.5,53.5,49.0,10.5,42
QLearning,chronic pain,94.5,68.5,29.0,3.5,55
QLearning,chronic pain,88.0,60.0,37.0,10.0,55
QLearning,chronic pain,100.0,59.0,38.0,2.0,48
QLearning,chronic pain,97.0,60.5,34.5,3.0,54
QLearning,chronic pain,83.0,45.5,49.5,17.0,56
QLearning,chronic pain,79.0,66.0,42.0,11.0,50
QLearning,chronic pain,94.5,66.5,32.0,5.5,47
QLearning,chronic pain,93.0,61.0,39.0,3.5,52
QLearning,chronic pain,94.5,58.5,31.0,17.5,44
QLearning,chronic pain,98.5,65.5,33.5,1.0,50
QLearning,chronic pain,88.5,70.5,29.5,11.5,47
QLearning,chronic pain,94.0,76.5,29.0,0.0,48
QLearning,chronic pain,86.5,75.5,37.0,2.0,44
QLearning,chronic pain,80.5,55.5,51.0,5.0,61
QLearning,chronic pain,87.5,63.5,29.5,10.5,60
QLearning,chronic pain,60.5,80.5,28.0,27.5,53
QLearning,chronic pain,84.0,63.0,32.5,15.5,55
QLearning,chronic pain,96.5,54.5,40.0,2.5,57
QLearning,chronic pain,71.0,54.0,46.5,24.0,54
QLearning,chronic pain,93.5,65.0,43.5,0.5,42
QLearning,chronic pain,60.5,55.5,44.5,41.0,44
QLearning,chronic pain,70.5,47.5,47.0,35.5,46
QLearning,chronic pain,85.5,59.0,48.0,3.0,55
QLearning,chronic pain,91.5,69.0,29.0,9.5,48
QLearning,chronic pain,95.5,70.5,38.0,0.0,41
QLearning,chronic pain,60.0,55.0,48.0,36.0,47
QLearning,chronic pain,97.0,70.0,29.5,4.5,44
QLearning,chronic pain,86.5,51.5,17.0,40.5,55
QLearning,chronic pain,91.5,64.0,34.0,6.0,55
QLearning,chronic pain,71.0,63.0,32.0,30.0,54
QLearning,chronic pain,80.5,46.0,49.0,20.5,53
QLearning,chronic pain,84.0,67.0,38.0,8.5,50
QLearning,chronic pain,97.0,58.0,37.0,8.0,47
QLearning,chronic pain,90.5,67.0,35.5,5.5,48
QLearning,chronic pain,76.5,61.5,56.5,2.0,53
QLearning,chronic pain,67.5,59.5,35.0,30.0,60
QLearning,chronic pain,93.5,61.0,40.5,6.0,43
QLearning,chronic pain,87.5,67.5,35.0,7.0,52
QLearning,chronic pain,67.0,53.0,53.0,28.5,43
QLearning,chronic pain,85.5,66.5,39.0,8.0,47
QLearning,chronic pain,72.0,57.5,47.0,23.0,48
QLearning,chronic pain,84.5,58.5,45.0,10.0,50
QLearning,chronic pain,92.0,61.5,33.5,10.0,52
QLearning,chronic pain,94.5,61.0,31.0,9.0,53
QLearning,chronic pain,93.0,51.0,46.0,10.0,46
QLearning,chronic pain,77.0,66.5,36.5,18.5,50
QLearning,chronic pain,65.5,50.5,42.5,40.5,47
QLearning,chronic pain,67.5,57.5,53.5,19.5,50
QLearning,chronic pain,85.0,55.5,43.0,16.5,47
QLearning,chronic pain,84.0,40.5,46.0,25.5,54
QLearning,chronic pain,93.5,59.5,36.5,6.0,54
QLearning,chronic pain,77.0,56.0,53.0,13.5,47
QLearning,chronic pain,91.5,65.0,25.5,13.5,54
QLearning,chronic pain,73.5,68.0,51.5,9.5,42
QLearning,chronic pain,88.0,47.0,35.0,26.5,52
QLearning,chronic pain,79.0,63.0,35.0,21.0,48
QLearning,chronic pain,56.0,56.0,48.0,38.5,48
QLearning,chronic pain,53.0,57.5,50.5,31.5,59
