model,parameter,F,df_res,df_model,p_value,r_squared
QLearning,factual_lr,0.43984858637808294,329.0,2.0,0.6445121611938283,0.0026667211722808393
QLearning,counterfactual_lr,0.607276784914237,329.0,2.0,0.5454421064464018,0.003678074017932853
QLearning,temperature,5.493819741579275,329.0,2.0,0.00449821926962608,0.032317761609985896
ActorCritic,factual_actor_lr,3.4900413050752217,329.0,2.0,0.03163363575363515,0.02077528690368735
ActorCritic,counterfactual_actor_lr,0.10639190756381074,329.0,2.0,0.8991031455778827,0.0006463412892468989
ActorCritic,critic_lr,0.4792785551409954,329.0,2.0,0.6196616300301765,0.0029050833494874695
ActorCritic,temperature,3.226866916808919,329.0,2.0,0.040940914424167515,0.019238819493417325
Relative,factual_lr,1.09848771431506,329.0,2.0,0.334594390620155,0.006633440495001031
Relative,counterfactual_lr,0.7574925920443879,329.0,2.0,0.469656421430663,0.004583711032784099
Relative,contextual_lr,7.591177604931805,329.0,2.0,0.0005984118255740682,0.04411136997597176
Relative,temperature,3.520506672943136,329.0,2.0,0.030703947848311573,0.020952839285242164
Hybrid2012+bias,factual_lr,0.016042462463196454,329.0,2.0,0.9840863022246055,9.751305844141189e-05
Hybrid2012+bias,counterfactual_lr,0.5385900039208154,329.0,2.0,0.5840841441688549,0.003263418597480916
Hybrid2012+bias,factual_actor_lr,0.24269894151588692,329.0,2.0,0.7846479904147806,0.001473199984431739
Hybrid2012+bias,counterfactual_actor_lr,0.3591005496055346,329.0,2.0,0.6985774932486297,0.0021782270339238963
Hybrid2012+bias,critic_lr,0.5781925729842479,329.0,2.0,0.5614801719267493,0.003502537579145204
Hybrid2012+bias,temperature,1.8209527207310832,329.0,2.0,0.16349908944902186,0.010948426466680039
Hybrid2012+bias,mixing_factor,1.7262711971594444,329.0,2.0,0.17955453820895564,0.01038506840541431
Hybrid2012+bias,valence_factor,0.701541689762856,329.0,2.0,0.49656047513968693,0.004246580767873875
Hybrid2021+bias+decay,factual_lr,0.316021266905822,329.0,2.0,0.7292650005695702,0.0019174183703539738
Hybrid2021+bias+decay,counterfactual_lr,0.0021148471581639776,329.0,2.0,0.9978874011210732,1.2856048447362767e-05
Hybrid2021+bias+decay,factual_actor_lr,1.62668574487032,329.0,2.0,0.1981570263938295,0.009791838906414552
Hybrid2021+bias+decay,counterfactual_actor_lr,0.43868346718723233,329.0,2.0,0.6452615301016265,0.0026596760563721844
Hybrid2021+bias+decay,critic_lr,0.5054680208779685,329.0,2.0,0.6036908688267006,0.0030633410331226685
Hybrid2021+bias+decay,temperature,1.2460844925553087,329.0,2.0,0.2889826411412659,0.007518032756974602
Hybrid2021+bias+decay,mixing_factor,1.0374841631124272,329.0,2.0,0.3555013605119954,0.006267366985535094
Hybrid2021+bias+decay,noise_factor,0.876693221358025,329.0,2.0,0.4171266669322059,0.005301189691733432
Hybrid2021+bias+decay,valence_factor,0.01241504421316868,329.0,2.0,0.9876621671938136,7.546569789174118e-05
Hybrid2021+bias+decay,decay_factor,1.3975863477511992,329.0,2.0,0.24865650354861946,0.008424392292372462
