model,parameter,condition1,condition2,comparison,t_value,p_value,cohens_d,df,homogeneity_assumption,normality_assumption
QLearning,factual_lr,no pain,acute pain,no pain vs acute pain,-0.5619525370842552,0.574739208254569,-0.07808259803126619,213.0,met,violated
QLearning,factual_lr,no pain,chronic pain,no pain vs chronic pain,-0.9224275908364626,0.3572205305908823,-0.11798245021692247,243.0,met,violated
QLearning,counterfactual_lr,no pain,acute pain,no pain vs acute pain,-0.9673277043419591,0.33447729429769757,-0.13440896751626558,213.0,met,violated
QLearning,counterfactual_lr,no pain,chronic pain,no pain vs chronic pain,-0.005908944806848474,0.9952902196493176,-0.0007557794166546573,243.0,met,violated
QLearning,temperature,no pain,acute pain,no pain vs acute pain,-2.3310806900118104,0.021157256236102172,-0.34602510658373153,141.91720018391115,violated,violated
QLearning,temperature,no pain,chronic pain,no pain vs chronic pain,0.3966378109273943,0.6919826664420818,0.0507316793716624,243.0,met,violated
ActorCritic,factual_actor_lr,no pain,acute pain,no pain vs acute pain,1.292932114840478,0.19743516437816455,0.17965129070974792,213.0,met,violated
ActorCritic,factual_actor_lr,no pain,chronic pain,no pain vs chronic pain,-1.528164320129609,0.12777235583297494,-0.19545877921916321,243.0,met,violated
ActorCritic,counterfactual_actor_lr,no pain,acute pain,no pain vs acute pain,-0.03242887544038627,0.9741604024593803,-0.00450595144343664,213.0,met,violated
ActorCritic,counterfactual_actor_lr,no pain,chronic pain,no pain vs chronic pain,-0.43767751677941624,0.662008832400115,-0.05598083399442535,243.0,met,violated
ActorCritic,critic_lr,no pain,acute pain,no pain vs acute pain,-0.1502841671439399,0.8806826399087313,-0.02088179595104218,213.0,met,violated
ActorCritic,critic_lr,no pain,chronic pain,no pain vs chronic pain,-0.9340253996400346,0.35121797497660456,-0.11946585976948366,243.0,met,violated
ActorCritic,temperature,no pain,acute pain,no pain vs acute pain,-1.2867932172051806,0.1995630952161374,-0.1787982986067153,213.0,met,violated
ActorCritic,temperature,no pain,chronic pain,no pain vs chronic pain,1.3031275927426502,0.19376462013300544,0.1666756153701342,243.0,met,violated
Relative,factual_lr,no pain,acute pain,no pain vs acute pain,-1.4887514499286518,0.1380319051323117,-0.20686014095851407,213.0,met,violated
Relative,factual_lr,no pain,chronic pain,no pain vs chronic pain,-0.7417982670828651,0.45892591550102735,-0.09487918399940815,243.0,met,violated
