model,group,A,B,E,F,N
QLearning,chronic pain,90.0,62.0,38.5,7.5,50
QLearning,chronic pain,89.0,56.0,39.5,14.0,50
QLearning,chronic pain,85.5,57.5,38.5,12.5,56
QLearning,chronic pain,96.5,70.5,34.5,3.5,38
QLearning,chronic pain,92.5,57.5,46.0,4.0,45
QLearning,chronic pain,98.5,67.5,23.5,8.0,52
QLearning,chronic pain,95.0,67.0,34.0,5.0,45
QLearning,chronic pain,79.5,59.5,35.5,19.5,56
QLearning,chronic pain,66.5,56.0,42.0,33.0,51
QLearning,chronic pain,70.5,63.5,41.5,27.5,41
QLearning,chronic pain,79.5,50.0,46.0,24.5,46
QLearning,chronic pain,79.5,71.0,33.0,19.0,41
QLearning,chronic pain,71.0,56.0,39.5,30.5,52
QLearning,chronic pain,82.0,63.0,41.0,13.5,47
QLearning,chronic pain,93.0,63.5,35.5,9.0,44
QLearning,chronic pain,81.0,60.5,40.5,10.0,59
QLearning,chronic pain,98.0,54.0,45.0,0.0,53
QLearning,chronic pain,95.5,65.0,32.5,1.5,57
QLearning,chronic pain,87.0,57.5,32.0,21.5,48
QLearning,chronic pain,75.0,68.0,40.5,14.5,50
QLearning,chronic pain,91.0,68.0,24.5,11.0,56
QLearning,chronic pain,87.5,57.5,43.0,5.5,58
QLearning,chronic pain,86.0,62.0,36.5,22.5,35
QLearning,chronic pain,95.5,66.5,32.0,1.5,55
QLearning,chronic pain,86.0,68.0,35.0,8.5,52
QLearning,chronic pain,96.5,73.5,28.5,0.5,48
QLearning,chronic pain,92.5,72.0,32.0,5.5,42
QLearning,chronic pain,85.5,64.5,33.0,16.5,47
QLearning,chronic pain,89.0,68.0,27.5,13.5,51
QLearning,chronic pain,61.5,66.5,40.0,24.0,60
QLearning,chronic pain,84.0,60.0,42.0,9.5,54
QLearning,chronic pain,95.5,63.5,36.0,6.0,44
QLearning,chronic pain,47.0,71.5,53.5,24.5,52
QLearning,chronic pain,97.0,68.5,34.0,3.0,42
QLearning,chronic pain,58.0,52.0,42.0,43.5,55
QLearning,chronic pain,55.5,56.5,48.0,39.5,46
QLearning,chronic pain,92.0,71.0,28.0,4.0,55
QLearning,chronic pain,91.5,57.0,34.5,19.0,42
