model,group,context,trial_total,accuracy,run
QLearning+novel,chronic pain,Loss Avoid,1,0.5,23
QLearning+novel,chronic pain,Loss Avoid,2,0.5,23
QLearning+novel,chronic pain,Loss Avoid,3,1.0,23
QLearning+novel,chronic pain,Loss Avoid,4,1.0,23
QLearning+novel,chronic pain,Loss Avoid,5,0.5,23
QLearning+novel,chronic pain,Loss Avoid,6,0.5,23
QLearning+novel,chronic pain,Loss Avoid,7,1.0,23
QLearning+novel,chronic pain,Loss Avoid,8,0.5,23
QLearning+novel,chronic pain,Loss Avoid,9,1.0,23
QLearning+novel,chronic pain,Loss Avoid,10,0.5,23
QLearning+novel,chronic pain,Loss Avoid,11,0.5,23
QLearning+novel,chronic pain,Loss Avoid,12,0.5,23
QLearning+novel,chronic pain,Loss Avoid,13,1.0,23
QLearning+novel,chronic pain,Loss Avoid,14,1.0,23
QLearning+novel,chronic pain,Loss Avoid,15,1.0,23
QLearning+novel,chronic pain,Loss Avoid,16,1.0,23
QLearning+novel,chronic pain,Loss Avoid,17,1.0,23
QLearning+novel,chronic pain,Loss Avoid,18,1.0,23
QLearning+novel,chronic pain,Loss Avoid,19,1.0,23
QLearning+novel,chronic pain,Loss Avoid,20,0.0,23
QLearning+novel,chronic pain,Loss Avoid,21,0.0,23
QLearning+novel,chronic pain,Loss Avoid,22,1.0,23
QLearning+novel,chronic pain,Loss Avoid,23,1.0,23
QLearning+novel,chronic pain,Loss Avoid,24,1.0,23
QLearning+novel,chronic pain,Reward,1,0.5,23
QLearning+novel,chronic pain,Reward,2,0.5,23
QLearning+novel,chronic pain,Reward,3,1.0,23
QLearning+novel,chronic pain,Reward,4,1.0,23
QLearning+novel,chronic pain,Reward,5,1.0,23
QLearning+novel,chronic pain,Reward,6,1.0,23
QLearning+novel,chronic pain,Reward,7,1.0,23
QLearning+novel,chronic pain,Reward,8,1.0,23
QLearning+novel,chronic pain,Reward,9,1.0,23
QLearning+novel,chronic pain,Reward,10,1.0,23
QLearning+novel,chronic pain,Reward,11,1.0,23
QLearning+novel,chronic pain,Reward,12,1.0,23
QLearning+novel,chronic pain,Reward,13,1.0,23
QLearning+novel,chronic pain,Reward,14,0.5,23
QLearning+novel,chronic pain,Reward,15,0.5,23
QLearning+novel,chronic pain,Reward,16,0.0,23
QLearning+novel,chronic pain,Reward,17,0.5,23
QLearning+novel,chronic pain,Reward,18,0.0,23
QLearning+novel,chronic pain,Reward,19,0.0,23
QLearning+novel,chronic pain,Reward,20,0.5,23
QLearning+novel,chronic pain,Reward,21,0.5,23
QLearning+novel,chronic pain,Reward,22,1.0,23
QLearning+novel,chronic pain,Reward,23,0.5,23
QLearning+novel,chronic pain,Reward,24,0.5,23
QLearning+novel,chronic pain,Loss Avoid,1,1.0,110
QLearning+novel,chronic pain,Loss Avoid,2,0.5,110
QLearning+novel,chronic pain,Loss Avoid,3,0.5,110
QLearning+novel,chronic pain,Loss Avoid,4,0.5,110
QLearning+novel,chronic pain,Loss Avoid,5,0.5,110
QLearning+novel,chronic pain,Loss Avoid,6,1.0,110
QLearning+novel,chronic pain,Loss Avoid,7,0.5,110
QLearning+novel,chronic pain,Loss Avoid,8,1.0,110
QLearning+novel,chronic pain,Loss Avoid,9,1.0,110
QLearning+novel,chronic pain,Loss Avoid,10,1.0,110
QLearning+novel,chronic pain,Loss Avoid,11,1.0,110
QLearning+novel,chronic pain,Loss Avoid,12,1.0,110
QLearning+novel,chronic pain,Loss Avoid,13,1.0,110
QLearning+novel,chronic pain,Loss Avoid,14,1.0,110
QLearning+novel,chronic pain,Loss Avoid,15,0.5,110
QLearning+novel,chronic pain,Loss Avoid,16,1.0,110
QLearning+novel,chronic pain,Loss Avoid,17,1.0,110
QLearning+novel,chronic pain,Loss Avoid,18,0.5,110
QLearning+novel,chronic pain,Loss Avoid,19,0.5,110
QLearning+novel,chronic pain,Loss Avoid,20,1.0,110
QLearning+novel,chronic pain,Loss Avoid,21,1.0,110
QLearning+novel,chronic pain,Loss Avoid,22,0.5,110
QLearning+novel,chronic pain,Loss Avoid,23,1.0,110
QLearning+novel,chronic pain,Loss Avoid,24,1.0,110
QLearning+novel,chronic pain,Reward,1,0.5,110
QLearning+novel,chronic pain,Reward,2,0.5,110
QLearning+novel,chronic pain,Reward,3,0.0,110
QLearning+novel,chronic pain,Reward,4,0.0,110
QLearning+novel,chronic pain,Reward,5,0.5,110
QLearning+novel,chronic pain,Reward,6,0.5,110
QLearning+novel,chronic pain,Reward,7,1.0,110
QLearning+novel,chronic pain,Reward,8,0.5,110
QLearning+novel,chronic pain,Reward,9,0.5,110
QLearning+novel,chronic pain,Reward,10,1.0,110
QLearning+novel,chronic pain,Reward,11,1.0,110
QLearning+novel,chronic pain,Reward,12,1.0,110
QLearning+novel,chronic pain,Reward,13,1.0,110
QLearning+novel,chronic pain,Reward,14,1.0,110
QLearning+novel,chronic pain,Reward,15,1.0,110
QLearning+novel,chronic pain,Reward,16,0.5,110
QLearning+novel,chronic pain,Reward,17,1.0,110
QLearning+novel,chronic pain,Reward,18,1.0,110
QLearning+novel,chronic pain,Reward,19,0.0,110
QLearning+novel,chronic pain,Reward,20,1.0,110
QLearning+novel,chronic pain,Reward,21,1.0,110
QLearning+novel,chronic pain,Reward,22,1.0,110
QLearning+novel,chronic pain,Reward,23,1.0,110
QLearning+novel,chronic pain,Reward,24,1.0,110
QLearning+novel,chronic pain,Loss Avoid,1,1.0,96
QLearning+novel,chronic pain,Loss Avoid,2,0.5,96
QLearning+novel,chronic pain,Loss Avoid,3,0.5,96
QLearning+novel,chronic pain,Loss Avoid,4,1.0,96
QLearning+novel,chronic pain,Loss Avoid,5,1.0,96
QLearning+novel,chronic pain,Loss Avoid,6,1.0,96
QLearning+novel,chronic pain,Loss Avoid,7,1.0,96
QLearning+novel,chronic pain,Loss Avoid,8,1.0,96
QLearning+novel,chronic pain,Loss Avoid,9,0.5,96
QLearning+novel,chronic pain,Loss Avoid,10,1.0,96
QLearning+novel,chronic pain,Loss Avoid,11,0.5,96
QLearning+novel,chronic pain,Loss Avoid,12,1.0,96
QLearning+novel,chronic pain,Loss Avoid,13,0.5,96
QLearning+novel,chronic pain,Loss Avoid,14,1.0,96
QLearning+novel,chronic pain,Loss Avoid,15,0.5,96
QLearning+novel,chronic pain,Loss Avoid,16,1.0,96
QLearning+novel,chronic pain,Loss Avoid,17,1.0,96
QLearning+novel,chronic pain,Loss Avoid,18,1.0,96
QLearning+novel,chronic pain,Loss Avoid,19,0.5,96
QLearning+novel,chronic pain,Loss Avoid,20,0.5,96
QLearning+novel,chronic pain,Loss Avoid,21,0.5,96
QLearning+novel,chronic pain,Loss Avoid,22,0.5,96
QLearning+novel,chronic pain,Loss Avoid,23,1.0,96
QLearning+novel,chronic pain,Loss Avoid,24,1.0,96
QLearning+novel,chronic pain,Reward,1,0.0,96
QLearning+novel,chronic pain,Reward,2,0.5,96
QLearning+novel,chronic pain,Reward,3,0.5,96
QLearning+novel,chronic pain,Reward,4,0.0,96
QLearning+novel,chronic pain,Reward,5,0.5,96
QLearning+novel,chronic pain,Reward,6,0.0,96
QLearning+novel,chronic pain,Reward,7,0.5,96
QLearning+novel,chronic pain,Reward,8,1.0,96
QLearning+novel,chronic pain,Reward,9,1.0,96
QLearning+novel,chronic pain,Reward,10,1.0,96
QLearning+novel,chronic pain,Reward,11,1.0,96
QLearning+novel,chronic pain,Reward,12,0.5,96
QLearning+novel,chronic pain,Reward,13,0.5,96
QLearning+novel,chronic pain,Reward,14,1.0,96
QLearning+novel,chronic pain,Reward,15,1.0,96
QLearning+novel,chronic pain,Reward,16,1.0,96
QLearning+novel,chronic pain,Reward,17,0.5,96
QLearning+novel,chronic pain,Reward,18,0.5,96
QLearning+novel,chronic pain,Reward,19,1.0,96
QLearning+novel,chronic pain,Reward,20,1.0,96
QLearning+novel,chronic pain,Reward,21,0.0,96
QLearning+novel,chronic pain,Reward,22,1.0,96
QLearning+novel,chronic pain,Reward,23,0.5,96
QLearning+novel,chronic pain,Reward,24,0.5,96
QLearning+novel,chronic pain,Loss Avoid,1,0.0,67
QLearning+novel,chronic pain,Loss Avoid,2,0.5,67
QLearning+novel,chronic pain,Loss Avoid,3,1.0,67
QLearning+novel,chronic pain,Loss Avoid,4,1.0,67
QLearning+novel,chronic pain,Loss Avoid,5,1.0,67
QLearning+novel,chronic pain,Loss Avoid,6,1.0,67
QLearning+novel,chronic pain,Loss Avoid,7,1.0,67
QLearning+novel,chronic pain,Loss Avoid,8,1.0,67
QLearning+novel,chronic pain,Loss Avoid,9,1.0,67
QLearning+novel,chronic pain,Loss Avoid,10,1.0,67
QLearning+novel,chronic pain,Loss Avoid,11,0.5,67
QLearning+novel,chronic pain,Loss Avoid,12,1.0,67
QLearning+novel,chronic pain,Loss Avoid,13,0.5,67
QLearning+novel,chronic pain,Loss Avoid,14,1.0,67
QLearning+novel,chronic pain,Loss Avoid,15,1.0,67
QLearning+novel,chronic pain,Loss Avoid,16,1.0,67
QLearning+novel,chronic pain,Loss Avoid,17,1.0,67
QLearning+novel,chronic pain,Loss Avoid,18,1.0,67
QLearning+novel,chronic pain,Loss Avoid,19,0.5,67
QLearning+novel,chronic pain,Loss Avoid,20,1.0,67
QLearning+novel,chronic pain,Loss Avoid,21,1.0,67
QLearning+novel,chronic pain,Loss Avoid,22,1.0,67
QLearning+novel,chronic pain,Loss Avoid,23,1.0,67
QLearning+novel,chronic pain,Loss Avoid,24,1.0,67
QLearning+novel,chronic pain,Reward,1,0.5,67
QLearning+novel,chronic pain,Reward,2,0.5,67
QLearning+novel,chronic pain,Reward,3,1.0,67
QLearning+novel,chronic pain,Reward,4,0.5,67
QLearning+novel,chronic pain,Reward,5,0.5,67
QLearning+novel,chronic pain,Reward,6,1.0,67
QLearning+novel,chronic pain,Reward,7,1.0,67
QLearning+novel,chronic pain,Reward,8,0.5,67
QLearning+novel,chronic pain,Reward,9,0.5,67
QLearning+novel,chronic pain,Reward,10,1.0,67
QLearning+novel,chronic pain,Reward,11,0.5,67
QLearning+novel,chronic pain,Reward,12,1.0,67
QLearning+novel,chronic pain,Reward,13,1.0,67
QLearning+novel,chronic pain,Reward,14,1.0,67
QLearning+novel,chronic pain,Reward,15,0.5,67
QLearning+novel,chronic pain,Reward,16,1.0,67
QLearning+novel,chronic pain,Reward,17,1.0,67
QLearning+novel,chronic pain,Reward,18,0.5,67
QLearning+novel,chronic pain,Reward,19,1.0,67
QLearning+novel,chronic pain,Reward,20,1.0,67
QLearning+novel,chronic pain,Reward,21,1.0,67
QLearning+novel,chronic pain,Reward,22,1.0,67
QLearning+novel,chronic pain,Reward,23,1.0,67
