model,group,A,B,E,F,N
QLearning+novel,chronic pain,77.5,72.0,48.0,4.5,42
QLearning+novel,chronic pain,96.0,66.0,45.5,4.0,27
QLearning+novel,chronic pain,93.0,51.5,43.0,15.0,42
QLearning+novel,chronic pain,96.5,71.5,32.5,2.0,42
QLearning+novel,chronic pain,91.0,66.0,42.0,5.0,38
QLearning+novel,chronic pain,96.0,72.0,29.5,3.0,46
QLearning+novel,chronic pain,96.5,68.0,38.0,9.0,26
QLearning+novel,chronic pain,90.0,56.5,42.0,22.0,29
QLearning+novel,chronic pain,64.5,58.0,58.0,28.5,30
QLearning+novel,chronic pain,82.5,52.0,46.5,33.5,20
QLearning+novel,chronic pain,75.5,61.5,37.0,18.0,61
QLearning+novel,chronic pain,80.5,64.5,38.0,18.5,43
QLearning+novel,chronic pain,96.0,71.0,32.5,5.5,37
QLearning+novel,chronic pain,88.5,69.5,42.0,15.5,19
QLearning+novel,chronic pain,99.0,64.5,45.5,1.0,30
QLearning+novel,chronic pain,95.5,57.5,32.5,0.0,72
QLearning+novel,chronic pain,90.0,61.0,43.0,19.0,23
QLearning+novel,chronic pain,82.0,62.5,42.5,12.5,46
QLearning+novel,chronic pain,93.0,67.0,40.0,6.5,35
QLearning+novel,chronic pain,87.0,71.0,41.0,7.0,35
QLearning+novel,chronic pain,87.5,75.0,27.0,28.0,15
QLearning+novel,chronic pain,100.0,69.5,43.0,1.5,23
QLearning+novel,chronic pain,81.5,79.5,32.5,11.0,38
QLearning+novel,chronic pain,92.5,76.5,29.0,0.0,51
QLearning+novel,chronic pain,97.5,68.0,44.5,2.5,25
QLearning+novel,chronic pain,81.0,68.0,61.5,4.5,19
QLearning+novel,chronic pain,87.5,64.5,34.0,5.5,61
QLearning+novel,chronic pain,64.5,62.0,51.5,30.0,33
QLearning+novel,chronic pain,97.5,58.0,44.5,4.5,39
QLearning+novel,chronic pain,86.0,59.5,38.0,29.0,23
QLearning+novel,chronic pain,95.5,68.5,47.5,2.0,22
QLearning+novel,chronic pain,57.0,52.5,43.0,46.0,48
QLearning+novel,chronic pain,89.0,78.5,42.0,10.0,12
QLearning+novel,chronic pain,90.5,73.5,39.0,9.5,25
QLearning+novel,chronic pain,94.0,72.5,45.0,0.5,26
QLearning+novel,chronic pain,93.0,74.0,28.0,6.5,43
QLearning+novel,chronic pain,73.5,63.0,29.5,24.0,64
QLearning+novel,chronic pain,91.0,68.0,33.5,8.5,44
QLearning+novel,chronic pain,84.5,57.5,43.5,27.0,25
QLearning+novel,chronic pain,71.0,60.5,34.0,22.5,66
QLearning+novel,chronic pain,90.5,78.0,37.0,10.0,19
QLearning+novel,chronic pain,97.0,67.0,39.0,13.5,17
QLearning+novel,chronic pain,86.5,64.5,58.0,5.0,22
QLearning+novel,chronic pain,79.5,58.5,45.0,27.0,28
QLearning+novel,chronic pain,94.5,66.0,45.5,14.5,11
QLearning+novel,chronic pain,89.5,73.0,40.0,9.0,27
QLearning+novel,chronic pain,95.0,72.5,43.5,5.0,17
