model,parameter,F,df_res,df_model,p_value,r_squared
QLearning+novel,factual_lr,0.46369386951344804,276.0,2.0,0.6294451378747306,0.003348848037742158
QLearning+novel,counterfactual_lr,0.5571504070203289,276.0,2.0,0.57348200103695,0.004021087366358644
QLearning+novel,temperature,2.911736335554236,276.0,2.0,0.05605378756162035,0.02066354734725928
QLearning+novel,novel_value,1.6930562503022024,276.0,2.0,0.18586126504347975,0.012119831119369207
ActorCritic+novel,factual_actor_lr,1.7851452060019009,276.0,2.0,0.1697043198944489,0.012770635988331391
ActorCritic+novel,counterfactual_actor_lr,0.07416817662834077,276.0,2.0,0.9285340257719734,0.0005371618573393189
ActorCritic+novel,critic_lr,1.2642866406481372,276.0,2.0,0.2840711932456306,0.0090783263329417
ActorCritic+novel,temperature,3.7551307386710504,276.0,2.0,0.024601485722651646,0.026490263309013606
ActorCritic+novel,novel_value,2.3773307866948623,276.0,2.0,0.09469578549183189,0.016935289860349645
Relative+novel,factual_lr,0.1846313778444963,276.0,2.0,0.8315133061019704,0.0013361209275122299
Relative+novel,counterfactual_lr,0.09305249669672754,276.0,2.0,0.9111742392836067,0.0006738390890370649
Relative+novel,contextual_lr,5.534245387727207,276.0,2.0,0.004399980263614435,0.038556968567170946
Relative+novel,temperature,0.23935850613188225,276.0,2.0,0.7872958623103735,0.0017314787099599327
Relative+novel,novel_value,0.9648715207945422,276.0,2.0,0.3823136032273725,0.006943276457102021
Hybrid2012+bias+novel,factual_lr,0.32589322151299027,276.0,2.0,0.7221596659964742,0.0023559813273072994
Hybrid2012+bias+novel,counterfactual_lr,2.373674818678594,276.0,2.0,0.09503674396121675,0.01690968639059054
Hybrid2012+bias+novel,factual_actor_lr,0.8104973027175648,276.0,2.0,0.4456922947164067,0.00583887615466161
Hybrid2012+bias+novel,counterfactual_actor_lr,0.6142501083454576,276.0,2.0,0.5417844172425648,0.004431363354527651
Hybrid2012+bias+novel,critic_lr,3.349317939051558,276.0,2.0,0.03654104382196497,0.023695324377127513
Hybrid2012+bias+novel,temperature,2.00549807289461,276.0,2.0,0.13654989623453567,0.01432442368692144
Hybrid2012+bias+novel,mixing_factor,0.3660975966050648,276.0,2.0,0.6937713448565344,0.0026458619774938352
Hybrid2012+bias+novel,valence_factor,0.08234164821133827,276.0,2.0,0.9209798768285731,0.0005963227971692575
Hybrid2012+bias+novel,novel_value,1.6403860950874343,276.0,2.0,0.19578989538008426,0.011747218272301407
Hybrid2021+bias+decay+novel,factual_lr,0.32320408655621324,276.0,2.0,0.724099695567924,0.0023365861764882423
Hybrid2021+bias+decay+novel,counterfactual_lr,0.2944332064457504,276.0,2.0,0.7451873952474919,0.0021290315135550353
Hybrid2021+bias+decay+novel,factual_actor_lr,0.4881302521529397,276.0,2.0,0.6143017750360924,0.00352470822780393
Hybrid2021+bias+decay+novel,counterfactual_actor_lr,1.0726726357963925,276.0,2.0,0.3435147674446106,0.00771303675600965
Hybrid2021+bias+decay+novel,critic_lr,0.12334695997948589,276.0,2.0,0.8840056120385335,0.000893020352419005
Hybrid2021+bias+decay+novel,temperature,1.4476206670521041,276.0,2.0,0.23690866835781624,0.010381106971401599
Hybrid2021+bias+decay+novel,mixing_factor,0.7150376774917943,276.0,2.0,0.4900775711455515,0.0051547235935172075
Hybrid2021+bias+decay+novel,noise_factor,2.1901340941555434,276.0,2.0,0.11384282498305454,0.01562259789754239
Hybrid2021+bias+decay+novel,valence_factor,0.1936904106904586,276.0,2.0,0.8240248347245511,0.0014015864987384496
Hybrid2021+bias+decay+novel,novel_value,1.126158671299008,276.0,2.0,0.3257619204725764,0.008094514231214323
Hybrid2021+bias+decay+novel,decay_factor,2.2750967004407214,276.0,2.0,0.10471148776791418,0.016218821116190107
