model,parameter,factor,meandiff,p-adj,reject
QLearning+novel,factual_lr,acute pain vs chronic pain,0.1213,0.884,False
QLearning+novel,factual_lr,acute pain vs no pain,0.1103,0.9,False
QLearning+novel,factual_lr,chronic pain vs no pain,-0.011,0.9987,False
QLearning+novel,counterfactual_lr,acute pain vs chronic pain,0.0055,0.9997,False
QLearning+novel,counterfactual_lr,acute pain vs no pain,-0.1968,0.6883,False
QLearning+novel,counterfactual_lr,chronic pain vs no pain,-0.2023,0.61,False
QLearning+novel,temperature,acute pain vs chronic pain,-0.0767,0.7477,False
QLearning+novel,temperature,acute pain vs no pain,-0.2354,0.0619,False
QLearning+novel,temperature,chronic pain vs no pain,-0.1587,0.2023,False
QLearning+novel,novel_value,acute pain vs chronic pain,0.0741,0.2407,False
QLearning+novel,novel_value,acute pain vs no pain,0.0758,0.2142,False
QLearning+novel,novel_value,chronic pain vs no pain,0.0017,0.999,False
ActorCritic+novel,factual_actor_lr,acute pain vs chronic pain,0.1424,0.3597,False
ActorCritic+novel,factual_actor_lr,acute pain vs no pain,-0.0207,0.9776,False
ActorCritic+novel,factual_actor_lr,chronic pain vs no pain,-0.1632,0.1773,False
ActorCritic+novel,counterfactual_actor_lr,acute pain vs chronic pain,-0.0998,0.9216,False
ActorCritic+novel,counterfactual_actor_lr,acute pain vs no pain,-0.0614,0.9685,False
ActorCritic+novel,counterfactual_actor_lr,chronic pain vs no pain,0.0384,0.9845,False
ActorCritic+novel,critic_lr,acute pain vs chronic pain,0.2275,0.5611,False
ActorCritic+novel,critic_lr,acute pain vs no pain,-0.0744,0.9378,False
ActorCritic+novel,critic_lr,chronic pain vs no pain,-0.3019,0.2694,False
ActorCritic+novel,temperature,acute pain vs chronic pain,-0.1204,0.3836,False
ActorCritic+novel,temperature,acute pain vs no pain,-0.2426,0.0195,True
ActorCritic+novel,temperature,chronic pain vs no pain,-0.1222,0.2796,False
ActorCritic+novel,novel_value,acute pain vs chronic pain,0.0947,0.1279,False
ActorCritic+novel,novel_value,acute pain vs no pain,0.094,0.1232,False
ActorCritic+novel,novel_value,chronic pain vs no pain,-0.0007,0.9999,False
Relative+novel,factual_lr,acute pain vs chronic pain,0.0487,0.9702,False
Relative+novel,factual_lr,acute pain vs no pain,0.0361,0.983,False
Relative+novel,factual_lr,chronic pain vs no pain,-0.0126,0.9974,False
Relative+novel,counterfactual_lr,acute pain vs chronic pain,0.0656,0.9417,False
Relative+novel,counterfactual_lr,acute pain vs no pain,0.0823,0.9069,False
Relative+novel,counterfactual_lr,chronic pain vs no pain,0.0167,0.995,False
Relative+novel,contextual_lr,acute pain vs chronic pain,-0.2124,0.5701,False
Relative+novel,contextual_lr,acute pain vs no pain,-0.6465,0.0054,True
Relative+novel,contextual_lr,chronic pain vs no pain,-0.4341,0.0503,False
Relative+novel,temperature,acute pain vs chronic pain,-0.0616,0.7718,False
Relative+novel,temperature,acute pain vs no pain,-0.0306,0.9359,False
Relative+novel,temperature,chronic pain vs no pain,0.031,0.9184,False
Relative+novel,novel_value,acute pain vs chronic pain,0.0444,0.3772,False
Relative+novel,novel_value,acute pain vs no pain,0.0365,0.5042,False
Relative+novel,novel_value,chronic pain vs no pain,-0.0078,0.9611,False
Hybrid2012+bias+novel,factual_lr,acute pain vs chronic pain,0.2155,0.6906,False
Hybrid2012+bias+novel,factual_lr,acute pain vs no pain,0.1978,0.7243,False
Hybrid2012+bias+novel,factual_lr,chronic pain vs no pain,-0.0177,0.9967,False
Hybrid2012+bias+novel,counterfactual_lr,acute pain vs chronic pain,-0.4313,0.1307,False
Hybrid2012+bias+novel,counterfactual_lr,acute pain vs no pain,-0.0836,0.9229,False
Hybrid2012+bias+novel,counterfactual_lr,chronic pain vs no pain,0.3477,0.1796,False
Hybrid2012+bias+novel,factual_actor_lr,acute pain vs chronic pain,0.2326,0.4859,False
Hybrid2012+bias+novel,factual_actor_lr,acute pain vs no pain,0.2265,0.4929,False
Hybrid2012+bias+novel,factual_actor_lr,chronic pain vs no pain,-0.0061,0.9993,False
Hybrid2012+bias+novel,counterfactual_actor_lr,acute pain vs chronic pain,-0.2964,0.5881,False
Hybrid2012+bias+novel,counterfactual_actor_lr,acute pain vs no pain,-0.2976,0.575,False
Hybrid2012+bias+novel,counterfactual_actor_lr,chronic pain vs no pain,-0.0012,1.0,False
Hybrid2012+bias+novel,critic_lr,acute pain vs chronic pain,-0.0642,0.962,False
Hybrid2012+bias+novel,critic_lr,acute pain vs no pain,-0.5251,0.072,False
Hybrid2012+bias+novel,critic_lr,chronic pain vs no pain,-0.4609,0.0787,False
Hybrid2012+bias+novel,temperature,acute pain vs chronic pain,-0.1503,0.1171,False
Hybrid2012+bias+novel,temperature,acute pain vs no pain,-0.1042,0.3412,False
Hybrid2012+bias+novel,temperature,chronic pain vs no pain,0.046,0.7677,False
Hybrid2012+bias+novel,mixing_factor,acute pain vs chronic pain,-0.0003,1.0,False
Hybrid2012+bias+novel,mixing_factor,acute pain vs no pain,0.027,0.7779,False
Hybrid2012+bias+novel,mixing_factor,chronic pain vs no pain,0.0272,0.7256,False
Hybrid2012+bias+novel,valence_factor,acute pain vs chronic pain,-0.0081,0.9797,False
Hybrid2012+bias+novel,valence_factor,acute pain vs no pain,-0.0165,0.9153,False
Hybrid2012+bias+novel,valence_factor,chronic pain vs no pain,-0.0084,0.9715,False
Hybrid2012+bias+novel,novel_value,acute pain vs chronic pain,0.05,0.1694,False
Hybrid2012+bias+novel,novel_value,acute pain vs no pain,0.027,0.5833,False
Hybrid2012+bias+novel,novel_value,chronic pain vs no pain,-0.0231,0.611,False
Hybrid2021+bias+decay+novel,factual_lr,acute pain vs chronic pain,-0.0336,0.99,False
Hybrid2021+bias+decay+novel,factual_lr,acute pain vs no pain,-0.1712,0.7644,False
Hybrid2021+bias+decay+novel,factual_lr,chronic pain vs no pain,-0.1376,0.8046,False
Hybrid2021+bias+decay+novel,counterfactual_lr,acute pain vs chronic pain,-0.134,0.7999,False
Hybrid2021+bias+decay+novel,counterfactual_lr,acute pain vs no pain,-0.0098,0.9988,False
Hybrid2021+bias+decay+novel,counterfactual_lr,chronic pain vs no pain,0.1242,0.7799,False
Hybrid2021+bias+decay+novel,factual_actor_lr,acute pain vs chronic pain,-0.1454,0.7142,False
Hybrid2021+bias+decay+novel,factual_actor_lr,acute pain vs no pain,0.0007,1.0,False
Hybrid2021+bias+decay+novel,factual_actor_lr,chronic pain vs no pain,0.1461,0.644,False
Hybrid2021+bias+decay+novel,counterfactual_actor_lr,acute pain vs chronic pain,-0.2722,0.6388,False
Hybrid2021+bias+decay+novel,counterfactual_actor_lr,acute pain vs no pain,-0.4341,0.3096,False
Hybrid2021+bias+decay+novel,counterfactual_actor_lr,chronic pain vs no pain,-0.1619,0.814,False
Hybrid2021+bias+decay+novel,critic_lr,acute pain vs chronic pain,-0.0142,0.9978,False
Hybrid2021+bias+decay+novel,critic_lr,acute pain vs no pain,-0.0955,0.9034,False
Hybrid2021+bias+decay+novel,critic_lr,chronic pain vs no pain,-0.0813,0.9119,False
Hybrid2021+bias+decay+novel,temperature,acute pain vs chronic pain,0.0449,0.6275,False
Hybrid2021+bias+decay+novel,temperature,acute pain vs no pain,0.0813,0.2086,False
Hybrid2021+bias+decay+novel,temperature,chronic pain vs no pain,0.0364,0.6722,False
Hybrid2021+bias+decay+novel,mixing_factor,acute pain vs chronic pain,0.0043,0.994,False
Hybrid2021+bias+decay+novel,mixing_factor,acute pain vs no pain,0.0414,0.5715,False
Hybrid2021+bias+decay+novel,mixing_factor,chronic pain vs no pain,0.037,0.5704,False
Hybrid2021+bias+decay+novel,noise_factor,acute pain vs chronic pain,-0.0147,0.094,False
Hybrid2021+bias+decay+novel,noise_factor,acute pain vs no pain,-0.0095,0.3556,False
Hybrid2021+bias+decay+novel,noise_factor,chronic pain vs no pain,0.0052,0.6793,False
Hybrid2021+bias+decay+novel,valence_factor,acute pain vs chronic pain,-0.0253,0.8105,False
Hybrid2021+bias+decay+novel,valence_factor,acute pain vs no pain,-0.0127,0.9465,False
Hybrid2021+bias+decay+novel,valence_factor,chronic pain vs no pain,0.0126,0.9348,False
Hybrid2021+bias+decay+novel,novel_value,acute pain vs chronic pain,0.0422,0.2974,False
Hybrid2021+bias+decay+novel,novel_value,acute pain vs no pain,0.0212,0.7275,False
Hybrid2021+bias+decay+novel,novel_value,chronic pain vs no pain,-0.021,0.6758,False
Hybrid2021+bias+decay+novel,decay_factor,acute pain vs chronic pain,-0.0384,0.4012,False
Hybrid2021+bias+decay+novel,decay_factor,acute pain vs no pain,-0.0624,0.0851,False
Hybrid2021+bias+decay+novel,decay_factor,chronic pain vs no pain,-0.024,0.6295,False
