model,parameter,condition1,condition2,comparison,t_value,p_value,cohens_d,df,homogeneity_assumption,normality_assumption
QLearning+novel,factual_lr,no pain,acute pain,no pain vs acute pain,0.9444008287350071,0.34625951528601584,0.14568524267740823,176.0,met,violated
QLearning+novel,factual_lr,no pain,chronic pain,no pain vs chronic pain,0.2254068348023947,0.821883047280107,0.03106356377534189,209.0,met,violated
QLearning+novel,counterfactual_lr,no pain,acute pain,no pain vs acute pain,-0.8328045346783162,0.4060836518069709,-0.12847016546985712,176.0,met,violated
QLearning+novel,counterfactual_lr,no pain,chronic pain,no pain vs chronic pain,-0.9507474181181849,0.34283076116125355,-0.1310235471912235,209.0,met,violated
QLearning+novel,temperature,no pain,acute pain,no pain vs acute pain,-2.251353183739479,0.02559998472980575,-0.34729844039312396,176.0,met,violated
QLearning+novel,temperature,no pain,chronic pain,no pain vs chronic pain,-1.7116544700279464,0.08844380530524655,-0.2358849847551174,209.0,met,violated
QLearning+novel,novel_value,no pain,acute pain,no pain vs acute pain,1.7220771687468404,0.0868123488194533,0.26565121779293066,176.0,met,violated
QLearning+novel,novel_value,no pain,chronic pain,no pain vs chronic pain,0.043720615920222555,0.9651688477403733,0.006025186157845082,209.0,met,violated
ActorCritic+novel,factual_actor_lr,no pain,acute pain,no pain vs acute pain,0.20790558734194636,0.835543070035124,0.03207194977419847,176.0,met,violated
ActorCritic+novel,factual_actor_lr,no pain,chronic pain,no pain vs chronic pain,-2.0278180583511682,0.043984488669524376,-0.27463066371204925,188.76755577051208,violated,violated
ActorCritic+novel,counterfactual_actor_lr,no pain,acute pain,no pain vs acute pain,-0.24356805561379855,0.8078490391428612,-0.03757331655256031,176.0,met,violated
ActorCritic+novel,counterfactual_actor_lr,no pain,chronic pain,no pain vs chronic pain,0.16924897704960543,0.8657645035002789,0.02332438764379446,209.0,met,violated
ActorCritic+novel,critic_lr,no pain,acute pain,no pain vs acute pain,-0.3325391045678076,0.7398779565877056,-0.05129817623474654,176.0,met,violated
ActorCritic+novel,critic_lr,no pain,chronic pain,no pain vs chronic pain,-1.5952786689614051,0.11216094619524289,-0.21984710763614637,209.0,met,violated
ActorCritic+novel,temperature,no pain,acute pain,no pain vs acute pain,-2.900009595314821,0.004207351701761092,-0.44736153210089974,176.0,met,met
ActorCritic+novel,temperature,no pain,chronic pain,no pain vs chronic pain,-1.5388965464564952,0.12534215383681419,-0.2120770253324939,209.0,met,violated
ActorCritic+novel,novel_value,no pain,acute pain,no pain vs acute pain,1.9434845368749973,0.053552640156088974,0.29980598044759965,176.0,met,violated
ActorCritic+novel,novel_value,no pain,chronic pain,no pain vs chronic pain,-0.0169067175155305,0.9865271622212892,-0.002329933332482037,209.0,met,violated
Relative+novel,factual_lr,no pain,acute pain,no pain vs acute pain,0.6105291752287217,0.5422989052764069,0.09418150466256278,176.0,met,violated
Relative+novel,factual_lr,no pain,chronic pain,no pain vs chronic pain,0.2115882231860434,0.8326344815478826,0.029159205712696985,209.0,met,violated
