block_number,trial_number,state_id,stim_id,action,w_values
0,84096,State GH,GH,0,"[np.float64(0.02752692589374638), np.float64(-0.9724730741062536)]"
0,84097,State FN,FN,1,"[np.float64(-0.9102249610917539), np.float64(-0.52)]"
0,84098,State FN,FN,1,"[np.float64(-0.9102249610917539), np.float64(-0.52)]"
0,84099,State BN,BN,0,"[np.float64(0.28546205312666184), np.float64(-0.52)]"
0,84100,State DG,DG,1,"[np.float64(-0.9705982600888688), np.float64(0.02752692589374638)]"
0,84101,State DG,DG,1,"[np.float64(-0.9705982600888688), np.float64(0.02752692589374638)]"
0,84102,State BG,BG,0,"[np.float64(0.28546205312666184), np.float64(0.02752692589374638)]"
0,84103,State DH,DH,0,"[np.float64(-0.9705982600888688), np.float64(-0.9724730741062536)]"
0,84104,State EN,EN,0,"[np.float64(0.0897750389082461), np.float64(-0.52)]"
0,84105,State CF,CF,0,"[np.float64(0.029401739911131153), np.float64(-0.9102249610917539)]"
0,84106,State AG,AG,1,"[np.float64(-0.7145379468733382), np.float64(0.02752692589374638)]"
0,84107,State BE,BE,1,"[np.float64(0.28546205312666184), np.float64(0.0897750389082461)]"
0,84108,State BN,BN,0,"[np.float64(0.28546205312666184), np.float64(-0.52)]"
0,84109,State BH,BH,0,"[np.float64(0.28546205312666184), np.float64(-0.9724730741062536)]"
0,84110,State AG,AG,1,"[np.float64(-0.7145379468733382), np.float64(0.02752692589374638)]"
0,84111,State GF,GF,0,"[np.float64(0.02752692589374638), np.float64(-0.9102249610917539)]"
0,84112,State AB,AB,1,"[np.float64(-0.7145379468733382), np.float64(0.28546205312666184)]"
0,84113,State DF,DF,1,"[np.float64(-0.9705982600888688), np.float64(-0.9102249610917539)]"
0,84114,State AD,AD,0,"[np.float64(-0.7145379468733382), np.float64(-0.9705982600888688)]"
0,84115,State EH,EH,0,"[np.float64(0.0897750389082461), np.float64(-0.9724730741062536)]"
0,84116,State CE,CE,1,"[np.float64(0.029401739911131153), np.float64(0.0897750389082461)]"
0,84117,State EH,EH,0,"[np.float64(0.0897750389082461), np.float64(-0.9724730741062536)]"
0,84118,State CN,CN,0,"[np.float64(0.029401739911131153), np.float64(-0.52)]"
0,84119,State CH,CH,0,"[np.float64(0.029401739911131153), np.float64(-0.9724730741062536)]"
0,84120,State CH,CH,0,"[np.float64(0.029401739911131153), np.float64(-0.9724730741062536)]"
0,84121,State CB,CB,0,"[np.float64(0.029401739911131153), np.float64(0.28546205312666184)]"
0,84122,State CB,CB,1,"[np.float64(0.029401739911131153), np.float64(0.28546205312666184)]"
0,84123,State AD,AD,0,"[np.float64(-0.7145379468733382), np.float64(-0.9705982600888688)]"
0,84124,State CH,CH,0,"[np.float64(0.029401739911131153), np.float64(-0.9724730741062536)]"
0,84125,State BG,BG,1,"[np.float64(0.28546205312666184), np.float64(0.02752692589374638)]"
0,84126,State DG,DG,1,"[np.float64(-0.9705982600888688), np.float64(0.02752692589374638)]"
0,84127,State BG,BG,0,"[np.float64(0.28546205312666184), np.float64(0.02752692589374638)]"
0,84128,State AN,AN,1,"[np.float64(-0.7145379468733382), np.float64(-0.52)]"
0,84129,State AB,AB,1,"[np.float64(-0.7145379468733382), np.float64(0.28546205312666184)]"
0,84130,State DF,DF,1,"[np.float64(-0.9705982600888688), np.float64(-0.9102249610917539)]"
0,84131,State AN,AN,1,"[np.float64(-0.7145379468733382), np.float64(-0.52)]"
0,84132,State DN,DN,1,"[np.float64(-0.9705982600888688), np.float64(-0.52)]"
0,84133,State GN,GN,0,"[np.float64(0.02752692589374638), np.float64(-0.52)]"
