block_number,trial_number,state_id,stim_id,q_values,action,w_values
0,41856,State CF,CF,"[np.float64(0.9514038182707214), np.float64(-0.9901)]",0,"[np.float64(0.10371320541042559), np.float64(-0.6961516580113765)]"
0,41857,State AN,AN,"[np.float64(0.9931542353555611), np.float64(0.96)]",1,"[np.float64(-0.41976336940106024), np.float64(0.96)]"
0,41858,State AN,AN,"[np.float64(0.9931542353555611), np.float64(0.96)]",1,"[np.float64(-0.41976336940106024), np.float64(0.96)]"
0,41859,State GN,GN,"[np.float64(-0.23713676268956843), np.float64(0.96)]",1,"[np.float64(0.05586831954970961), np.float64(0.96)]"
0,41860,State GH,GH,"[np.float64(-0.23713676268956843), np.float64(-0.009900999999999938)]",0,"[np.float64(0.05586831954970961), np.float64(-0.9441316804502904)]"
0,41861,State CF,CF,"[np.float64(0.9514038182707214), np.float64(-0.9901)]",0,"[np.float64(0.10371320541042559), np.float64(-0.6961516580113765)]"
0,41862,State BG,BG,"[np.float64(0.9968995239), np.float64(-0.23713676268956843)]",0,"[np.float64(-0.5802366305989398), np.float64(0.05586831954970961)]"
0,41863,State CE,CE,"[np.float64(0.9514038182707214), np.float64(-0.3146248723383743)]",0,"[np.float64(0.10371320541042559), np.float64(0.3038483419886236)]"
0,41864,State FN,FN,"[np.float64(-0.9901), np.float64(0.96)]",1,"[np.float64(-0.6961516580113765), np.float64(0.96)]"
0,41865,State CN,CN,"[np.float64(0.9514038182707214), np.float64(0.96)]",1,"[np.float64(0.10371320541042559), np.float64(0.96)]"
0,41866,State DE,DE,"[np.float64(9.900000099683181e-09), np.float64(-0.3146248723383743)]",1,"[np.float64(-0.8962867945895744), np.float64(0.3038483419886236)]"
0,41867,State CB,CB,"[np.float64(0.9514038182707214), np.float64(0.9968995239)]",0,"[np.float64(0.10371320541042559), np.float64(-0.5802366305989398)]"
0,41868,State BG,BG,"[np.float64(0.9968995239), np.float64(-0.23713676268956843)]",0,"[np.float64(-0.5802366305989398), np.float64(0.05586831954970961)]"
0,41869,State CN,CN,"[np.float64(0.9514038182707214), np.float64(0.96)]",1,"[np.float64(0.10371320541042559), np.float64(0.96)]"
0,41870,State EF,EF,"[np.float64(-0.3146248723383743), np.float64(-0.9901)]",0,"[np.float64(0.3038483419886236), np.float64(-0.6961516580113765)]"
0,41871,State CD,CD,"[np.float64(0.9514038182707214), np.float64(9.900000099683181e-09)]",0,"[np.float64(0.10371320541042559), np.float64(-0.8962867945895744)]"
0,41872,State GF,GF,"[np.float64(-0.23713676268956843), np.float64(-0.9901)]",0,"[np.float64(0.05586831954970961), np.float64(-0.6961516580113765)]"
0,41873,State CH,CH,"[np.float64(0.9514038182707214), np.float64(-0.009900999999999938)]",0,"[np.float64(0.10371320541042559), np.float64(-0.9441316804502904)]"
0,41874,State DG,DG,"[np.float64(9.900000099683181e-09), np.float64(-0.23713676268956843)]",1,"[np.float64(-0.8962867945895744), np.float64(0.05586831954970961)]"
0,41875,State CE,CE,"[np.float64(0.9514038182707214), np.float64(-0.3146248723383743)]",0,"[np.float64(0.10371320541042559), np.float64(0.3038483419886236)]"
0,41876,State FN,FN,"[np.float64(-0.9901), np.float64(0.96)]",1,"[np.float64(-0.6961516580113765), np.float64(0.96)]"
0,41877,State EN,EN,"[np.float64(-0.3146248723383743), np.float64(0.96)]",1,"[np.float64(0.3038483419886236), np.float64(0.96)]"
0,41878,State EH,EH,"[np.float64(-0.3146248723383743), np.float64(-0.009900999999999938)]",0,"[np.float64(0.3038483419886236), np.float64(-0.9441316804502904)]"
