block_number,trial_number,state_id,stim_id,q_values,action
0,55680,State HN,HN,"[np.float64(-0.8181042170164996), np.float64(-0.33)]",1
0,55681,State CN,CN,"[np.float64(0.7744220778559633), np.float64(-0.33)]",0
0,55682,State DN,DN,"[np.float64(0.3537256743014593), np.float64(-0.33)]",0
0,55683,State EN,EN,"[np.float64(-0.3928481202029043), np.float64(-0.33)]",1
0,55684,State CG,CG,"[np.float64(0.7744220778559633), np.float64(-0.4136804010402034)]",0
0,55685,State BG,BG,"[np.float64(0.5873661817358351), np.float64(-0.4136804010402034)]",0
0,55686,State FN,FN,"[np.float64(-0.7718684765454646), np.float64(-0.33)]",1
0,55687,State DF,DF,"[np.float64(0.3537256743014593), np.float64(-0.7718684765454646)]",0
0,55688,State CB,CB,"[np.float64(0.7744220778559633), np.float64(0.5873661817358351)]",0
0,55689,State CB,CB,"[np.float64(0.7744220778559633), np.float64(0.5873661817358351)]",0
0,55690,State AG,AG,"[np.float64(0.5952882216318169), np.float64(-0.4136804010402034)]",0
0,55691,State BG,BG,"[np.float64(0.5873661817358351), np.float64(-0.4136804010402034)]",0
0,55692,State CD,CD,"[np.float64(0.7744220778559633), np.float64(0.3537256743014593)]",0
0,55693,State CB,CB,"[np.float64(0.7744220778559633), np.float64(0.5873661817358351)]",0
0,55694,State BF,BF,"[np.float64(0.5873661817358351), np.float64(-0.7718684765454646)]",0
0,55695,State CE,CE,"[np.float64(0.7744220778559633), np.float64(-0.3928481202029043)]",0
0,55696,State AG,AG,"[np.float64(0.5952882216318169), np.float64(-0.4136804010402034)]",0
0,55697,State AG,AG,"[np.float64(0.5952882216318169), np.float64(-0.4136804010402034)]",0
0,55698,State GF,GF,"[np.float64(-0.4136804010402034), np.float64(-0.7718684765454646)]",1
0,55699,State DN,DN,"[np.float64(0.3537256743014593), np.float64(-0.33)]",0
0,55700,State BE,BE,"[np.float64(0.5873661817358351), np.float64(-0.3928481202029043)]",0
0,55701,State CB,CB,"[np.float64(0.7744220778559633), np.float64(0.5873661817358351)]",0
0,55702,State AF,AF,"[np.float64(0.5952882216318169), np.float64(-0.7718684765454646)]",0
0,55703,State DH,DH,"[np.float64(0.3537256743014593), np.float64(-0.8181042170164996)]",0
0,55704,State EH,EH,"[np.float64(-0.3928481202029043), np.float64(-0.8181042170164996)]",0
0,55705,State EH,EH,"[np.float64(-0.3928481202029043), np.float64(-0.8181042170164996)]",0
0,55706,State CF,CF,"[np.float64(0.7744220778559633), np.float64(-0.7718684765454646)]",0
0,55707,State GH,GH,"[np.float64(-0.4136804010402034), np.float64(-0.8181042170164996)]",0
0,55708,State AE,AE,"[np.float64(0.5952882216318169), np.float64(-0.3928481202029043)]",0
0,55709,State CH,CH,"[np.float64(0.7744220778559633), np.float64(-0.8181042170164996)]",0
0,55710,State CB,CB,"[np.float64(0.7744220778559633), np.float64(0.5873661817358351)]",1
0,55711,State GH,GH,"[np.float64(-0.4136804010402034), np.float64(-0.8181042170164996)]",0
0,55712,State EF,EF,"[np.float64(-0.3928481202029043), np.float64(-0.7718684765454646)]",0
0,55713,State GH,GH,"[np.float64(-0.4136804010402034), np.float64(-0.8181042170164996)]",0
0,55714,State DN,DN,"[np.float64(0.3537256743014593), np.float64(-0.33)]",0
0,55715,State DN,DN,"[np.float64(0.3537256743014593), np.float64(-0.33)]",0
0,55716,State AF,AF,"[np.float64(0.5952882216318169), np.float64(-0.7718684765454646)]",0
0,55717,State AD,AD,"[np.float64(0.5952882216318169), np.float64(0.3537256743014593)]",0
0,55718,State DG,DG,"[np.float64(0.3537256743014593), np.float64(-0.4136804010402034)]",0
0,55719,State BE,BE,"[np.float64(0.5873661817358351), np.float64(-0.3928481202029043)]",0
0,55720,State AN,AN,"[np.float64(0.5952882216318169), np.float64(-0.33)]",0
0,55721,State DF,DF,"[np.float64(0.3537256743014593), np.float64(-0.7718684765454646)]",0
0,55722,State EN,EN,"[np.float64(-0.3928481202029043), np.float64(-0.33)]",1
0,55723,State FN,FN,"[np.float64(-0.7718684765454646), np.float64(-0.33)]",1
0,55724,State DF,DF,"[np.float64(0.3537256743014593), np.float64(-0.7718684765454646)]",0
0,55725,State EF,EF,"[np.float64(-0.3928481202029043), np.float64(-0.7718684765454646)]",0
0,55726,State BG,BG,"[np.float64(0.5873661817358351), np.float64(-0.4136804010402034)]",0
0,55727,State GF,GF,"[np.float64(-0.4136804010402034), np.float64(-0.7718684765454646)]",0
0,55728,State CH,CH,"[np.float64(0.7744220778559633), np.float64(-0.8181042170164996)]",0
0,55729,State DG,DG,"[np.float64(0.3537256743014593), np.float64(-0.4136804010402034)]",0
0,55730,State CB,CB,"[np.float64(0.7744220778559633), np.float64(0.5873661817358351)]",0
0,55731,State GH,GH,"[np.float64(-0.4136804010402034), np.float64(-0.8181042170164996)]",0
0,55732,State EN,EN,"[np.float64(-0.3928481202029043), np.float64(-0.33)]",0
0,55733,State CB,CB,"[np.float64(0.7744220778559633), np.float64(0.5873661817358351)]",1
0,55734,State GN,GN,"[np.float64(-0.4136804010402034), np.float64(-0.33)]",1
0,55735,State DN,DN,"[np.float64(0.3537256743014593), np.float64(-0.33)]",0
0,55736,State EN,EN,"[np.float64(-0.3928481202029043), np.float64(-0.33)]",1
0,55737,State AD,AD,"[np.float64(0.5952882216318169), np.float64(0.3537256743014593)]",0
0,55738,State BH,BH,"[np.float64(0.5873661817358351), np.float64(-0.8181042170164996)]",0
0,55739,State CB,CB,"[np.float64(0.7744220778559633), np.float64(0.5873661817358351)]",0
0,55740,State BN,BN,"[np.float64(0.5873661817358351), np.float64(-0.33)]",0
0,55741,State DN,DN,"[np.float64(0.3537256743014593), np.float64(-0.33)]",0
0,55742,State EH,EH,"[np.float64(-0.3928481202029043), np.float64(-0.8181042170164996)]",0
0,55743,State EF,EF,"[np.float64(-0.3928481202029043), np.float64(-0.7718684765454646)]",0
0,55744,State DE,DE,"[np.float64(0.3537256743014593), np.float64(-0.3928481202029043)]",0
0,55745,State EH,EH,"[np.float64(-0.3928481202029043), np.float64(-0.8181042170164996)]",0
0,55746,State GF,GF,"[np.float64(-0.4136804010402034), np.float64(-0.7718684765454646)]",0
0,55747,State DF,DF,"[np.float64(0.3537256743014593), np.float64(-0.7718684765454646)]",0
0,55748,State CE,CE,"[np.float64(0.7744220778559633), np.float64(-0.3928481202029043)]",0
0,55749,State AD,AD,"[np.float64(0.5952882216318169), np.float64(0.3537256743014593)]",0
0,55750,State GH,GH,"[np.float64(-0.4136804010402034), np.float64(-0.8181042170164996)]",0
0,55751,State DG,DG,"[np.float64(0.3537256743014593), np.float64(-0.4136804010402034)]",0
0,55752,State CH,CH,"[np.float64(0.7744220778559633), np.float64(-0.8181042170164996)]",0
0,55753,State AD,AD,"[np.float64(0.5952882216318169), np.float64(0.3537256743014593)]",0
0,55754,State EH,EH,"[np.float64(-0.3928481202029043), np.float64(-0.8181042170164996)]",0
0,55755,State CE,CE,"[np.float64(0.7744220778559633), np.float64(-0.3928481202029043)]",0
0,55756,State DG,DG,"[np.float64(0.3537256743014593), np.float64(-0.4136804010402034)]",0
0,55757,State BE,BE,"[np.float64(0.5873661817358351), np.float64(-0.3928481202029043)]",0
0,55758,State BN,BN,"[np.float64(0.5873661817358351), np.float64(-0.33)]",0
0,55759,State CN,CN,"[np.float64(0.7744220778559633), np.float64(-0.33)]",0
0,55760,State DE,DE,"[np.float64(0.3537256743014593), np.float64(-0.3928481202029043)]",0
0,55761,State EN,EN,"[np.float64(-0.3928481202029043), np.float64(-0.33)]",0
0,55762,State FN,FN,"[np.float64(-0.7718684765454646), np.float64(-0.33)]",1
0,55763,State CD,CD,"[np.float64(0.7744220778559633), np.float64(0.3537256743014593)]",0
0,55764,State AN,AN,"[np.float64(0.5952882216318169), np.float64(-0.33)]",0
0,55765,State AB,AB,"[np.float64(0.5952882216318169), np.float64(0.5873661817358351)]",0
0,55766,State CD,CD,"[np.float64(0.7744220778559633), np.float64(0.3537256743014593)]",0
0,55767,State AE,AE,"[np.float64(0.5952882216318169), np.float64(-0.3928481202029043)]",0
0,55768,State DH,DH,"[np.float64(0.3537256743014593), np.float64(-0.8181042170164996)]",0
0,55769,State DG,DG,"[np.float64(0.3537256743014593), np.float64(-0.4136804010402034)]",0
0,55770,State GF,GF,"[np.float64(-0.4136804010402034), np.float64(-0.7718684765454646)]",0
0,55771,State AE,AE,"[np.float64(0.5952882216318169), np.float64(-0.3928481202029043)]",0
0,55772,State BE,BE,"[np.float64(0.5873661817358351), np.float64(-0.3928481202029043)]",0
0,55773,State EF,EF,"[np.float64(-0.3928481202029043), np.float64(-0.7718684765454646)]",0
0,55774,State BN,BN,"[np.float64(0.5873661817358351), np.float64(-0.33)]",0
0,55775,State CG,CG,"[np.float64(0.7744220778559633), np.float64(-0.4136804010402034)]",0
0,55776,State BF,BF,"[np.float64(0.5873661817358351), np.float64(-0.7718684765454646)]",0
0,55777,State DN,DN,"[np.float64(0.3537256743014593), np.float64(-0.33)]",0
0,55778,State AH,AH,"[np.float64(0.5952882216318169), np.float64(-0.8181042170164996)]",0
0,55779,State DH,DH,"[np.float64(0.3537256743014593), np.float64(-0.8181042170164996)]",0
0,55780,State AG,AG,"[np.float64(0.5952882216318169), np.float64(-0.4136804010402034)]",0
0,55781,State AE,AE,"[np.float64(0.5952882216318169), np.float64(-0.3928481202029043)]",0
0,55782,State BN,BN,"[np.float64(0.5873661817358351), np.float64(-0.33)]",0
0,55783,State GN,GN,"[np.float64(-0.4136804010402034), np.float64(-0.33)]",0
0,55784,State HN,HN,"[np.float64(-0.8181042170164996), np.float64(-0.33)]",1
0,55785,State AH,AH,"[np.float64(0.5952882216318169), np.float64(-0.8181042170164996)]",0
0,55786,State AF,AF,"[np.float64(0.5952882216318169), np.float64(-0.7718684765454646)]",0
0,55787,State DF,DF,"[np.float64(0.3537256743014593), np.float64(-0.7718684765454646)]",0
0,55788,State GF,GF,"[np.float64(-0.4136804010402034), np.float64(-0.7718684765454646)]",0
0,55789,State BE,BE,"[np.float64(0.5873661817358351), np.float64(-0.3928481202029043)]",0
0,55790,State GN,GN,"[np.float64(-0.4136804010402034), np.float64(-0.33)]",1
0,55791,State BH,BH,"[np.float64(0.5873661817358351), np.float64(-0.8181042170164996)]",0
0,55792,State CG,CG,"[np.float64(0.7744220778559633), np.float64(-0.4136804010402034)]",0
0,55793,State DN,DN,"[np.float64(0.3537256743014593), np.float64(-0.33)]",0
0,55794,State AB,AB,"[np.float64(0.5952882216318169), np.float64(0.5873661817358351)]",0
0,55795,State CN,CN,"[np.float64(0.7744220778559633), np.float64(-0.33)]",0
0,55796,State AE,AE,"[np.float64(0.5952882216318169), np.float64(-0.3928481202029043)]",0
0,55797,State CF,CF,"[np.float64(0.7744220778559633), np.float64(-0.7718684765454646)]",0
0,55798,State AG,AG,"[np.float64(0.5952882216318169), np.float64(-0.4136804010402034)]",0
0,55799,State BN,BN,"[np.float64(0.5873661817358351), np.float64(-0.33)]",0
0,55800,State AH,AH,"[np.float64(0.5952882216318169), np.float64(-0.8181042170164996)]",0
0,55801,State DF,DF,"[np.float64(0.3537256743014593), np.float64(-0.7718684765454646)]",0
0,55802,State DG,DG,"[np.float64(0.3537256743014593), np.float64(-0.4136804010402034)]",0
0,55803,State GN,GN,"[np.float64(-0.4136804010402034), np.float64(-0.33)]",1
0,55804,State DN,DN,"[np.float64(0.3537256743014593), np.float64(-0.33)]",0
0,55805,State AH,AH,"[np.float64(0.5952882216318169), np.float64(-0.8181042170164996)]",0
0,55806,State CD,CD,"[np.float64(0.7744220778559633), np.float64(0.3537256743014593)]",1
0,55807,State DH,DH,"[np.float64(0.3537256743014593), np.float64(-0.8181042170164996)]",0
0,55808,State AH,AH,"[np.float64(0.5952882216318169), np.float64(-0.8181042170164996)]",0
0,55809,State CF,CF,"[np.float64(0.7744220778559633), np.float64(-0.7718684765454646)]",0
0,55810,State CE,CE,"[np.float64(0.7744220778559633), np.float64(-0.3928481202029043)]",0
0,55811,State AF,AF,"[np.float64(0.5952882216318169), np.float64(-0.7718684765454646)]",0
0,55812,State DG,DG,"[np.float64(0.3537256743014593), np.float64(-0.4136804010402034)]",0
0,55813,State CE,CE,"[np.float64(0.7744220778559633), np.float64(-0.3928481202029043)]",0
0,55814,State BH,BH,"[np.float64(0.5873661817358351), np.float64(-0.8181042170164996)]",0
0,55815,State HN,HN,"[np.float64(-0.8181042170164996), np.float64(-0.33)]",1
0,55816,State BN,BN,"[np.float64(0.5873661817358351), np.float64(-0.33)]",0
0,55817,State BH,BH,"[np.float64(0.5873661817358351), np.float64(-0.8181042170164996)]",0
0,55818,State HN,HN,"[np.float64(-0.8181042170164996), np.float64(-0.33)]",1
0,55819,State DF,DF,"[np.float64(0.3537256743014593), np.float64(-0.7718684765454646)]",0
0,55820,State AB,AB,"[np.float64(0.5952882216318169), np.float64(0.5873661817358351)]",1
0,55821,State DH,DH,"[np.float64(0.3537256743014593), np.float64(-0.8181042170164996)]",0
0,55822,State DE,DE,"[np.float64(0.3537256743014593), np.float64(-0.3928481202029043)]",0
0,55823,State BN,BN,"[np.float64(0.5873661817358351), np.float64(-0.33)]",0
0,55824,State DE,DE,"[np.float64(0.3537256743014593), np.float64(-0.3928481202029043)]",0
0,55825,State AN,AN,"[np.float64(0.5952882216318169), np.float64(-0.33)]",0
0,55826,State DH,DH,"[np.float64(0.3537256743014593), np.float64(-0.8181042170164996)]",0
0,55827,State EH,EH,"[np.float64(-0.3928481202029043), np.float64(-0.8181042170164996)]",0
0,55828,State CF,CF,"[np.float64(0.7744220778559633), np.float64(-0.7718684765454646)]",0
0,55829,State AB,AB,"[np.float64(0.5952882216318169), np.float64(0.5873661817358351)]",1
0,55830,State EF,EF,"[np.float64(-0.3928481202029043), np.float64(-0.7718684765454646)]",0
0,55831,State GN,GN,"[np.float64(-0.4136804010402034), np.float64(-0.33)]",1
0,55832,State CG,CG,"[np.float64(0.7744220778559633), np.float64(-0.4136804010402034)]",0
0,55833,State AN,AN,"[np.float64(0.5952882216318169), np.float64(-0.33)]",0
0,55834,State AB,AB,"[np.float64(0.5952882216318169), np.float64(0.5873661817358351)]",1
0,55835,State BE,BE,"[np.float64(0.5873661817358351), np.float64(-0.3928481202029043)]",0
0,55836,State AH,AH,"[np.float64(0.5952882216318169), np.float64(-0.8181042170164996)]",0
0,55837,State BN,BN,"[np.float64(0.5873661817358351), np.float64(-0.33)]",0
0,55838,State GN,GN,"[np.float64(-0.4136804010402034), np.float64(-0.33)]",1
0,55839,State CD,CD,"[np.float64(0.7744220778559633), np.float64(0.3537256743014593)]",0
0,55840,State HN,HN,"[np.float64(-0.8181042170164996), np.float64(-0.33)]",1
0,55841,State BE,BE,"[np.float64(0.5873661817358351), np.float64(-0.3928481202029043)]",0
0,55842,State DG,DG,"[np.float64(0.3537256743014593), np.float64(-0.4136804010402034)]",0
0,55843,State AH,AH,"[np.float64(0.5952882216318169), np.float64(-0.8181042170164996)]",0
0,55844,State BF,BF,"[np.float64(0.5873661817358351), np.float64(-0.7718684765454646)]",0
0,55845,State CG,CG,"[np.float64(0.7744220778559633), np.float64(-0.4136804010402034)]",0
0,55846,State EN,EN,"[np.float64(-0.3928481202029043), np.float64(-0.33)]",1
0,55847,State BG,BG,"[np.float64(0.5873661817358351), np.float64(-0.4136804010402034)]",0
0,55848,State EN,EN,"[np.float64(-0.3928481202029043), np.float64(-0.33)]",1
0,55849,State AF,AF,"[np.float64(0.5952882216318169), np.float64(-0.7718684765454646)]",0
0,55850,State EH,EH,"[np.float64(-0.3928481202029043), np.float64(-0.8181042170164996)]",0
0,55851,State AD,AD,"[np.float64(0.5952882216318169), np.float64(0.3537256743014593)]",0
0,55852,State BN,BN,"[np.float64(0.5873661817358351), np.float64(-0.33)]",0
0,55853,State CF,CF,"[np.float64(0.7744220778559633), np.float64(-0.7718684765454646)]",0
0,55854,State BF,BF,"[np.float64(0.5873661817358351), np.float64(-0.7718684765454646)]",0
0,55855,State EF,EF,"[np.float64(-0.3928481202029043), np.float64(-0.7718684765454646)]",0
0,55856,State FN,FN,"[np.float64(-0.7718684765454646), np.float64(-0.33)]",1
0,55857,State BN,BN,"[np.float64(0.5873661817358351), np.float64(-0.33)]",0
0,55858,State CN,CN,"[np.float64(0.7744220778559633), np.float64(-0.33)]",0
0,55859,State GH,GH,"[np.float64(-0.4136804010402034), np.float64(-0.8181042170164996)]",0
0,55860,State EH,EH,"[np.float64(-0.3928481202029043), np.float64(-0.8181042170164996)]",0
0,55861,State AE,AE,"[np.float64(0.5952882216318169), np.float64(-0.3928481202029043)]",0
0,55862,State DN,DN,"[np.float64(0.3537256743014593), np.float64(-0.33)]",0
0,55863,State CE,CE,"[np.float64(0.7744220778559633), np.float64(-0.3928481202029043)]",0
0,55864,State EH,EH,"[np.float64(-0.3928481202029043), np.float64(-0.8181042170164996)]",0
0,55865,State BN,BN,"[np.float64(0.5873661817358351), np.float64(-0.33)]",0
0,55866,State AN,AN,"[np.float64(0.5952882216318169), np.float64(-0.33)]",0
0,55867,State GF,GF,"[np.float64(-0.4136804010402034), np.float64(-0.7718684765454646)]",0
0,55868,State AB,AB,"[np.float64(0.5952882216318169), np.float64(0.5873661817358351)]",0
0,55869,State DE,DE,"[np.float64(0.3537256743014593), np.float64(-0.3928481202029043)]",0
0,55870,State AH,AH,"[np.float64(0.5952882216318169), np.float64(-0.8181042170164996)]",0
0,55871,State FN,FN,"[np.float64(-0.7718684765454646), np.float64(-0.33)]",1
0,55872,State CN,CN,"[np.float64(0.7744220778559633), np.float64(-0.33)]",0
0,55873,State BE,BE,"[np.float64(0.5873661817358351), np.float64(-0.3928481202029043)]",0
0,55874,State CD,CD,"[np.float64(0.7744220778559633), np.float64(0.3537256743014593)]",0
0,55875,State DF,DF,"[np.float64(0.3537256743014593), np.float64(-0.7718684765454646)]",0
0,55876,State GF,GF,"[np.float64(-0.4136804010402034), np.float64(-0.7718684765454646)]",0
0,55877,State CE,CE,"[np.float64(0.7744220778559633), np.float64(-0.3928481202029043)]",0
0,55878,State HN,HN,"[np.float64(-0.8181042170164996), np.float64(-0.33)]",1
0,55879,State BG,BG,"[np.float64(0.5873661817358351), np.float64(-0.4136804010402034)]",0
0,55880,State CB,CB,"[np.float64(0.7744220778559633), np.float64(0.5873661817358351)]",0
0,55881,State DF,DF,"[np.float64(0.3537256743014593), np.float64(-0.7718684765454646)]",0
0,55882,State BH,BH,"[np.float64(0.5873661817358351), np.float64(-0.8181042170164996)]",0
0,55883,State CB,CB,"[np.float64(0.7744220778559633), np.float64(0.5873661817358351)]",0
0,55884,State AN,AN,"[np.float64(0.5952882216318169), np.float64(-0.33)]",0
0,55885,State FN,FN,"[np.float64(-0.7718684765454646), np.float64(-0.33)]",1
0,55886,State HN,HN,"[np.float64(-0.8181042170164996), np.float64(-0.33)]",1
0,55887,State EF,EF,"[np.float64(-0.3928481202029043), np.float64(-0.7718684765454646)]",0
0,55888,State EN,EN,"[np.float64(-0.3928481202029043), np.float64(-0.33)]",1
0,55889,State GH,GH,"[np.float64(-0.4136804010402034), np.float64(-0.8181042170164996)]",0
0,55890,State AB,AB,"[np.float64(0.5952882216318169), np.float64(0.5873661817358351)]",0
0,55891,State EF,EF,"[np.float64(-0.3928481202029043), np.float64(-0.7718684765454646)]",0
0,55892,State GN,GN,"[np.float64(-0.4136804010402034), np.float64(-0.33)]",0
0,55893,State EF,EF,"[np.float64(-0.3928481202029043), np.float64(-0.7718684765454646)]",0
0,55894,State AN,AN,"[np.float64(0.5952882216318169), np.float64(-0.33)]",0
0,55895,State AH,AH,"[np.float64(0.5952882216318169), np.float64(-0.8181042170164996)]",0
0,55896,State BH,BH,"[np.float64(0.5873661817358351), np.float64(-0.8181042170164996)]",0
0,55897,State BF,BF,"[np.float64(0.5873661817358351), np.float64(-0.7718684765454646)]",0
0,55898,State AG,AG,"[np.float64(0.5952882216318169), np.float64(-0.4136804010402034)]",0
0,55899,State GF,GF,"[np.float64(-0.4136804010402034), np.float64(-0.7718684765454646)]",0
0,55900,State BF,BF,"[np.float64(0.5873661817358351), np.float64(-0.7718684765454646)]",0
0,55901,State DN,DN,"[np.float64(0.3537256743014593), np.float64(-0.33)]",0
0,55902,State AB,AB,"[np.float64(0.5952882216318169), np.float64(0.5873661817358351)]",0
0,55903,State AD,AD,"[np.float64(0.5952882216318169), np.float64(0.3537256743014593)]",0
0,55904,State DN,DN,"[np.float64(0.3537256743014593), np.float64(-0.33)]",0
0,55905,State FN,FN,"[np.float64(-0.7718684765454646), np.float64(-0.33)]",1
0,55906,State EN,EN,"[np.float64(-0.3928481202029043), np.float64(-0.33)]",0
