block_number,trial_number,state_id,stim_id,q_values,action
0,61824,State AF,AF,"[np.float64(-0.5059965767347875), np.float64(-0.31808975309041765)]",1
0,61825,State GH,GH,"[np.float64(0.4895821807532815), np.float64(-0.45731309072595494)]",0
0,61826,State AG,AG,"[np.float64(-0.5059965767347875), np.float64(0.4895821807532815)]",1
0,61827,State DF,DF,"[np.float64(-0.34254945896169475), np.float64(-0.31808975309041765)]",0
0,61828,State GN,GN,"[np.float64(0.4895821807532815), np.float64(-0.93)]",0
0,61829,State CG,CG,"[np.float64(0.16374258229955785), np.float64(0.4895821807532815)]",1
0,61830,State BN,BN,"[np.float64(-0.35061672262498855), np.float64(-0.93)]",0
0,61831,State EF,EF,"[np.float64(0.16424993685156558), np.float64(-0.31808975309041765)]",0
0,61832,State CE,CE,"[np.float64(0.16374258229955785), np.float64(0.16424993685156558)]",0
0,61833,State CE,CE,"[np.float64(0.16374258229955785), np.float64(0.16424993685156558)]",1
0,61834,State AN,AN,"[np.float64(-0.5059965767347875), np.float64(-0.93)]",0
0,61835,State AD,AD,"[np.float64(-0.5059965767347875), np.float64(-0.34254945896169475)]",1
0,61836,State AD,AD,"[np.float64(-0.5059965767347875), np.float64(-0.34254945896169475)]",1
0,61837,State BH,BH,"[np.float64(-0.35061672262498855), np.float64(-0.45731309072595494)]",0
0,61838,State CB,CB,"[np.float64(0.16374258229955785), np.float64(-0.35061672262498855)]",0
0,61839,State DF,DF,"[np.float64(-0.34254945896169475), np.float64(-0.31808975309041765)]",0
0,61840,State BG,BG,"[np.float64(-0.35061672262498855), np.float64(0.4895821807532815)]",1
0,61841,State DF,DF,"[np.float64(-0.34254945896169475), np.float64(-0.31808975309041765)]",1
0,61842,State AB,AB,"[np.float64(-0.5059965767347875), np.float64(-0.35061672262498855)]",1
0,61843,State CE,CE,"[np.float64(0.16374258229955785), np.float64(0.16424993685156558)]",0
0,61844,State AN,AN,"[np.float64(-0.5059965767347875), np.float64(-0.93)]",0
0,61845,State HN,HN,"[np.float64(-0.45731309072595494), np.float64(-0.93)]",0
0,61846,State AH,AH,"[np.float64(-0.5059965767347875), np.float64(-0.45731309072595494)]",0
