block_number,trial_number,state_index,state_id,stim_id,context,feedback,probabilities,rewards,q_values,action,prediction_errors,correct_action,accuracy,context_value,context_prediction_errors,trial_total,averaged_pe,q_values1,q_values2
0,1,0,State AB,"['A', 'B']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[0, 0]",1,"[1, 1]",0,0,[0.86],[1.],1,1.0,0.0,0.0
0,1,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[0, 0]",1,"[0, -1]",0,0,[-0.43],[-0.5],1,-0.5,0.0,0.0
0,1,0,State GH,"['G', 'H']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[0, 0]",1,"[-1, -1]",0,0,[-0.86],[-1.],1,-1.0,0.0,0.0
0,2,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(-0.36), np.float64(-0.02)]",1,"[np.float64(0.21999999999999997), np.float64(-0.12000000000000001)]",0,0,[-0.9804],[-0.14],2,0.04999999999999998,-0.36,-0.02
0,2,0,State AB,"['B', 'A']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[np.float64(0.36), np.float64(0.02)]",0,"[np.float64(-0.21999999999999997), np.float64(0.12000000000000001)]",0,1,[0.9804],[0.14],2,-0.04999999999999998,0.36,0.02
0,1,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[0, 0]",0,"[1, 0]",0,1,[0.43],[0.5],1,0.5,0.0,0.0
0,2,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(0.0), np.float64(-0.02)]",1,"[np.float64(0.43), np.float64(-0.55)]",0,0,[-0.4902],[-0.07],2,-0.060000000000000026,0.0,-0.02
0,2,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.02), np.float64(0.0)]",0,"[np.float64(0.55), np.float64(-0.43)]",0,1,[0.4902],[0.07],2,0.060000000000000026,0.02,0.0
0,3,0,State CD,"['C', 'D']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(0.031), np.float64(-0.1548)]",0,"[np.float64(-0.5212), np.float64(-0.3354)]",0,1,[0.068628],[-0.4902],3,-0.4283,0.031,-0.1548
0,3,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(-0.2808), np.float64(-0.0224)]",1,"[np.float64(1.2611999999999999), np.float64(0.002799999999999938)]",0,0,[-0.567256],[0.4804],3,0.6319999999999999,-0.2808,-0.0224
0,4,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(0.17323199999999994), np.float64(-0.022344000000000003)]",1,"[np.float64(0.39402400000000004), np.float64(-0.4104)]",0,0,[-0.50941584],[0.067256],4,-0.008187999999999973,0.17323199999999994,-0.022344000000000003
0,4,0,State CD,"['D', 'C']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(0.020575999999999997), np.float64(-0.275544)]",0,"[np.float64(-0.08920400000000002), np.float64(0.206916)]",0,1,[0.00960792],[-0.068628],4,0.058855999999999985,0.020575999999999997,-0.275544
0,3,0,State AB,"['B', 'A']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(0.35559999999999997), np.float64(0.0632)]",0,"[np.float64(-1.3359999999999999), np.float64(-1.0435999999999999)]",0,1,[0.137256],[-0.9804],3,-1.1898,0.35559999999999997,0.0632
0,3,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(0.1548), np.float64(-0.031)]",1,"[np.float64(0.3354), np.float64(-0.4788)]",0,0,[-0.498628],[-0.0098],3,-0.07170000000000001,0.1548,-0.031
0,4,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(0.275544), np.float64(-0.040576)]",0,"[np.float64(0.223084), np.float64(-0.46079599999999993)]",0,1,[-0.49980792],[-0.001372],4,-0.11885599999999996,0.275544,-0.040576
