block_number,trial_number,state_index,state_id,stim_id,context,feedback,probabilities,rewards,q_values,action,prediction_errors,correct_action,accuracy,context_value,context_prediction_errors,trial_total,averaged_pe,q_values1,q_values2
0,1,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]","[0, 0]",1,"[np.float64(0.0), np.float64(0.0)]",0,0,[0.],[0.],1,0.0,0.0,0.0
0,1,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[0, 0]",1,"[np.float64(-0.16000000000000003), np.float64(-0.16000000000000003)]",0,0,[-0.84],[-1.],1,-0.16000000000000003,0.0,0.0
0,1,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[0, 0]",0,"[np.float64(0.5800000000000001), np.float64(-0.42)]",0,1,[0.42],[0.5],1,0.08000000000000004,0.0,0.0
0,1,0,State CD,"['D', 'C']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[0, 0]",1,"[np.float64(0.0), np.float64(0.0)]",0,0,[0.],[0.],1,0.0,0.0,0.0
0,2,0,State EF,"['F', 'E']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]","[np.float64(0.0), np.float64(0.0)]",1,"[np.float64(0.0), np.float64(0.0)]",0,0,[0.],[0.],2,0.0,0.0,0.0
0,2,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.06960000000000001), np.float64(-0.34859999999999997)]",0,"[np.float64(0.44320000000000004), np.float64(-0.1386)]",0,1,[0.4872],[0.08],2,0.15230000000000002,0.06960000000000001,-0.34859999999999997
0,2,0,State CD,"['C', 'D']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(0.0), np.float64(0.0)]",1,"[np.float64(0.0), np.float64(0.0)]",0,0,[0.],[0.],2,0.0,0.0,0.0
0,2,0,State GH,"['G', 'H']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(-0.13280000000000003), np.float64(-0.019200000000000002)]",0,"[np.float64(0.10719999999999996), np.float64(-0.006400000000000065)]",0,1,[-0.9744],[-0.16],2,0.050399999999999945,-0.13280000000000003,-0.019200000000000002
0,3,0,State GH,"['G', 'H']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(-0.11993600000000003), np.float64(-0.024512000000000055)]",1,"[np.float64(0.11584000000000004), np.float64(0.020416000000000066)]",0,0,[-0.995904],[-0.0256],3,0.06812800000000005,-0.11993600000000003,-0.024512000000000055
0,3,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.122784), np.float64(-0.463638)]",0,"[np.float64(0.37926400000000005), np.float64(-0.03431400000000001)]",0,1,[0.497952],[0.0128],3,0.17247500000000002,0.122784,-0.463638
0,4,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(-0.0237888), np.float64(-0.022062080000000046)]",0,"[np.float64(0.023133440000000005), np.float64(0.021406720000000053)]",0,1,[-0.99934464],[-0.004096],4,0.02227008000000003,-0.0237888,-0.022062080000000046
0,3,0,State CD,"['C', 'D']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[np.float64(0.0), np.float64(0.0)]",0,"[np.float64(0.16000000000000003), np.float64(0.16000000000000003)]",0,1,[0.84],[1.],3,0.16000000000000003,0.0,0.0
0,3,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(0.0), np.float64(0.0)]",1,"[np.float64(0.42), np.float64(-0.5800000000000001)]",0,0,[-0.42],[-0.5],3,-0.08000000000000004,0.0,0.0
0,4,0,State CD,"['D', 'C']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[np.float64(0.019200000000000002), np.float64(0.13280000000000003)]",0,"[np.float64(0.006400000000000065), np.float64(-0.10719999999999996)]",0,1,[0.9744],[0.16],4,-0.050399999999999945,0.019200000000000002,0.13280000000000003
0,4,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(0.34859999999999997), np.float64(-0.06960000000000001)]",0,"[np.float64(0.1386), np.float64(-0.44320000000000004)]",0,1,[-0.4872],[-0.08],4,-0.15230000000000002,0.34859999999999997,-0.06960000000000001
0,4,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.16829568), np.float64(-0.49211862)]",0,"[np.float64(0.33203200000000005), np.float64(-0.0075536999999999965)]",0,1,[0.49967232],[0.002048],4,0.16223915000000003,0.16829568,-0.49211862
0,5,0,State CD,"['C', 'D']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(0.01996800000000001), np.float64(0.04382400000000007)]",1,"[np.float64(-0.17587200000000006), np.float64(-0.19972800000000013)]",0,0,[0.155904],[-0.9744],5,-0.18780000000000008,0.01996800000000001,0.04382400000000007
0,5,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(-0.021012787199999997), np.float64(-0.004294502400000004)]",0,"[np.float64(0.6009079296000001), np.float64(-0.4158103551999999)]",0,1,[-0.57989514],[0.49934464],5,0.09254878720000007,-0.021012787199999997,-0.004294502400000004
0,6,0,State CD,"['D', 'C']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(-0.12600576000000002), np.float64(0.019856640000000057)]",1,"[np.float64(0.10106112), np.float64(-0.044801280000000075)]",0,0,[0.02494464],[-0.155904],6,0.028129919999999965,-0.12600576000000002,0.019856640000000057
0,5,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(0.36523199999999995), np.float64(-0.437456)]",0,"[np.float64(-0.44727999999999996), np.float64(0.355408)]",0,1,[-0.917952],[-0.5128],5,-0.04593599999999998,0.36523199999999995,-0.437456
0,6,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(0.05109616435200001), np.float64(-0.34941709721599995)]",0,"[np.float64(0.461687058432), np.float64(-0.13779968000000004)]",0,1,[-0.51278322],[0.07989514],6,0.16194368921599997,0.05109616435200001,-0.34941709721599995
0,5,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.20813952000000002), np.float64(-0.498388191)]",0,"[np.float64(0.2919129088), np.float64(-0.0015593802000000156)]",0,1,[0.49994757],[0.00032768],5,0.14517676429999998,0.20813952000000002,-0.498388191
0,6,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.24316906905600003), np.float64(-0.499682476566)]",0,"[np.float64(0.256839319552), np.float64(-0.0003091348259999793)]",0,1,[0.49999161],[5.24288e-05],6,0.12826509236300002,0.24316906905600003,-0.499682476566
0,6,0,State EF,"['E', 'F']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(0.31155839999999996), np.float64(-0.14246736000000004)]",0,"[np.float64(-0.32468607999999993), np.float64(0.12933968000000007)]",0,1,[-0.98687232],[-0.082048],6,-0.09767319999999993,0.31155839999999996,-0.14246736000000004
0,7,0,State GH,"['H', 'G']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]","[np.float64(0.10649861136384), np.float64(-0.463790831616)]",0,"[np.float64(-0.024453295718399964), np.float64(0.54583614726144)]",0,1,[-0.08204532],[0.51278322],7,0.26069142577152005,0.10649861136384,-0.463790831616
0,7,0,State CD,"['C', 'D']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(-0.04212503040000003), np.float64(0.014480486400000048)]",1,"[np.float64(0.03813388800000002), np.float64(-0.018471628800000053)]",0,0,[0.00399114],[-0.02494464],7,0.009831129599999983,-0.04212503040000003,0.014480486400000048
0,7,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(0.27259607039999995), np.float64(-0.035115425599999986)]",0,"[np.float64(0.30530350080000007), np.float64(-0.3869850032)]",0,1,[-0.57789957],[0.48687232],7,-0.04084075119999997,0.27259607039999995,-0.035115425599999986
0,8,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]","[np.float64(0.10356421587763201), np.float64(-0.010746829389004786)]",0,"[np.float64(-0.0904369653743616), np.float64(0.02387407989227519)]",0,1,[-0.01312725],[0.08204532],8,-0.03328144274104321,0.10356421587763201,-0.010746829389004786
