block_number,trial_number,state_id,stim_id,q_values,action
0,20352,State GN,GN,"[np.float64(0.48903479209028355), np.float64(-0.32)]",0
0,20353,State AE,AE,"[np.float64(-0.16973221633951466), np.float64(0.30890976685072075)]",1
0,20354,State DE,DE,"[np.float64(-0.5363226540784766), np.float64(0.30890976685072075)]",1
0,20355,State GN,GN,"[np.float64(0.48903479209028355), np.float64(-0.32)]",0
0,20356,State AF,AF,"[np.float64(-0.16973221633951466), np.float64(-0.4226402953143395)]",0
0,20357,State BN,BN,"[np.float64(-0.3215882200725855), np.float64(-0.32)]",1
0,20358,State CH,CH,"[np.float64(0.32798191437195523), np.float64(-0.5085973241852557)]",0
0,20359,State CG,CG,"[np.float64(0.32798191437195523), np.float64(0.48903479209028355)]",1
0,20360,State FN,FN,"[np.float64(-0.4226402953143395), np.float64(-0.32)]",0
0,20361,State CE,CE,"[np.float64(0.32798191437195523), np.float64(0.30890976685072075)]",1
0,20362,State DF,DF,"[np.float64(-0.5363226540784766), np.float64(-0.4226402953143395)]",0
0,20363,State FN,FN,"[np.float64(-0.4226402953143395), np.float64(-0.32)]",1
0,20364,State DE,DE,"[np.float64(-0.5363226540784766), np.float64(0.30890976685072075)]",1
0,20365,State AG,AG,"[np.float64(-0.16973221633951466), np.float64(0.48903479209028355)]",1
0,20366,State GF,GF,"[np.float64(0.48903479209028355), np.float64(-0.4226402953143395)]",0
0,20367,State GN,GN,"[np.float64(0.48903479209028355), np.float64(-0.32)]",0
0,20368,State AG,AG,"[np.float64(-0.16973221633951466), np.float64(0.48903479209028355)]",1
0,20369,State AN,AN,"[np.float64(-0.16973221633951466), np.float64(-0.32)]",0
0,20370,State CE,CE,"[np.float64(0.32798191437195523), np.float64(0.30890976685072075)]",0
0,20371,State DH,DH,"[np.float64(-0.5363226540784766), np.float64(-0.5085973241852557)]",1
0,20372,State DG,DG,"[np.float64(-0.5363226540784766), np.float64(0.48903479209028355)]",1
0,20373,State BE,BE,"[np.float64(-0.3215882200725855), np.float64(0.30890976685072075)]",1
0,20374,State CN,CN,"[np.float64(0.32798191437195523), np.float64(-0.32)]",0
0,20375,State FN,FN,"[np.float64(-0.4226402953143395), np.float64(-0.32)]",0
0,20376,State DE,DE,"[np.float64(-0.5363226540784766), np.float64(0.30890976685072075)]",1
0,20377,State DG,DG,"[np.float64(-0.5363226540784766), np.float64(0.48903479209028355)]",1
0,20378,State DE,DE,"[np.float64(-0.5363226540784766), np.float64(0.30890976685072075)]",1
0,20379,State DF,DF,"[np.float64(-0.5363226540784766), np.float64(-0.4226402953143395)]",1
0,20380,State DF,DF,"[np.float64(-0.5363226540784766), np.float64(-0.4226402953143395)]",1
0,20381,State AG,AG,"[np.float64(-0.16973221633951466), np.float64(0.48903479209028355)]",1
0,20382,State GH,GH,"[np.float64(0.48903479209028355), np.float64(-0.5085973241852557)]",0
0,20383,State BN,BN,"[np.float64(-0.3215882200725855), np.float64(-0.32)]",0
0,20384,State BF,BF,"[np.float64(-0.3215882200725855), np.float64(-0.4226402953143395)]",0
0,20385,State EF,EF,"[np.float64(0.30890976685072075), np.float64(-0.4226402953143395)]",0
0,20386,State EH,EH,"[np.float64(0.30890976685072075), np.float64(-0.5085973241852557)]",0
0,20387,State CF,CF,"[np.float64(0.32798191437195523), np.float64(-0.4226402953143395)]",0
0,20388,State AF,AF,"[np.float64(-0.16973221633951466), np.float64(-0.4226402953143395)]",0
0,20389,State FN,FN,"[np.float64(-0.4226402953143395), np.float64(-0.32)]",1
0,20390,State HN,HN,"[np.float64(-0.5085973241852557), np.float64(-0.32)]",1
0,20391,State GF,GF,"[np.float64(0.48903479209028355), np.float64(-0.4226402953143395)]",0
0,20392,State BF,BF,"[np.float64(-0.3215882200725855), np.float64(-0.4226402953143395)]",0
0,20393,State DN,DN,"[np.float64(-0.5363226540784766), np.float64(-0.32)]",1
0,20394,State GF,GF,"[np.float64(0.48903479209028355), np.float64(-0.4226402953143395)]",0
0,20395,State GF,GF,"[np.float64(0.48903479209028355), np.float64(-0.4226402953143395)]",0
0,20396,State DF,DF,"[np.float64(-0.5363226540784766), np.float64(-0.4226402953143395)]",0
0,20397,State DH,DH,"[np.float64(-0.5363226540784766), np.float64(-0.5085973241852557)]",0
0,20398,State BE,BE,"[np.float64(-0.3215882200725855), np.float64(0.30890976685072075)]",1
0,20399,State CN,CN,"[np.float64(0.32798191437195523), np.float64(-0.32)]",0
0,20400,State GH,GH,"[np.float64(0.48903479209028355), np.float64(-0.5085973241852557)]",0
0,20401,State CF,CF,"[np.float64(0.32798191437195523), np.float64(-0.4226402953143395)]",0
0,20402,State CG,CG,"[np.float64(0.32798191437195523), np.float64(0.48903479209028355)]",0
0,20403,State CE,CE,"[np.float64(0.32798191437195523), np.float64(0.30890976685072075)]",0
0,20404,State EF,EF,"[np.float64(0.30890976685072075), np.float64(-0.4226402953143395)]",0
0,20405,State BG,BG,"[np.float64(-0.3215882200725855), np.float64(0.48903479209028355)]",1
0,20406,State CF,CF,"[np.float64(0.32798191437195523), np.float64(-0.4226402953143395)]",0
0,20407,State EF,EF,"[np.float64(0.30890976685072075), np.float64(-0.4226402953143395)]",0
0,20408,State DH,DH,"[np.float64(-0.5363226540784766), np.float64(-0.5085973241852557)]",1
0,20409,State EH,EH,"[np.float64(0.30890976685072075), np.float64(-0.5085973241852557)]",0
0,20410,State AG,AG,"[np.float64(-0.16973221633951466), np.float64(0.48903479209028355)]",1
0,20411,State BF,BF,"[np.float64(-0.3215882200725855), np.float64(-0.4226402953143395)]",1
0,20412,State CH,CH,"[np.float64(0.32798191437195523), np.float64(-0.5085973241852557)]",0
0,20413,State BH,BH,"[np.float64(-0.3215882200725855), np.float64(-0.5085973241852557)]",0
0,20414,State EH,EH,"[np.float64(0.30890976685072075), np.float64(-0.5085973241852557)]",0
0,20415,State DH,DH,"[np.float64(-0.5363226540784766), np.float64(-0.5085973241852557)]",1
0,20416,State AN,AN,"[np.float64(-0.16973221633951466), np.float64(-0.32)]",0
0,20417,State CF,CF,"[np.float64(0.32798191437195523), np.float64(-0.4226402953143395)]",0
0,20418,State CN,CN,"[np.float64(0.32798191437195523), np.float64(-0.32)]",0
0,20419,State FN,FN,"[np.float64(-0.4226402953143395), np.float64(-0.32)]",1
0,20420,State EH,EH,"[np.float64(0.30890976685072075), np.float64(-0.5085973241852557)]",0
0,20421,State GH,GH,"[np.float64(0.48903479209028355), np.float64(-0.5085973241852557)]",0
0,20422,State CD,CD,"[np.float64(0.32798191437195523), np.float64(-0.5363226540784766)]",0
0,20423,State BF,BF,"[np.float64(-0.3215882200725855), np.float64(-0.4226402953143395)]",0
0,20424,State AN,AN,"[np.float64(-0.16973221633951466), np.float64(-0.32)]",0
0,20425,State AH,AH,"[np.float64(-0.16973221633951466), np.float64(-0.5085973241852557)]",0
0,20426,State DE,DE,"[np.float64(-0.5363226540784766), np.float64(0.30890976685072075)]",1
0,20427,State HN,HN,"[np.float64(-0.5085973241852557), np.float64(-0.32)]",1
0,20428,State CE,CE,"[np.float64(0.32798191437195523), np.float64(0.30890976685072075)]",0
0,20429,State EH,EH,"[np.float64(0.30890976685072075), np.float64(-0.5085973241852557)]",0
0,20430,State DN,DN,"[np.float64(-0.5363226540784766), np.float64(-0.32)]",0
0,20431,State CE,CE,"[np.float64(0.32798191437195523), np.float64(0.30890976685072075)]",0
0,20432,State HN,HN,"[np.float64(-0.5085973241852557), np.float64(-0.32)]",1
0,20433,State AN,AN,"[np.float64(-0.16973221633951466), np.float64(-0.32)]",0
0,20434,State CF,CF,"[np.float64(0.32798191437195523), np.float64(-0.4226402953143395)]",0
0,20435,State BN,BN,"[np.float64(-0.3215882200725855), np.float64(-0.32)]",0
0,20436,State AH,AH,"[np.float64(-0.16973221633951466), np.float64(-0.5085973241852557)]",0
0,20437,State CD,CD,"[np.float64(0.32798191437195523), np.float64(-0.5363226540784766)]",0
0,20438,State BG,BG,"[np.float64(-0.3215882200725855), np.float64(0.48903479209028355)]",1
0,20439,State BH,BH,"[np.float64(-0.3215882200725855), np.float64(-0.5085973241852557)]",0
0,20440,State BE,BE,"[np.float64(-0.3215882200725855), np.float64(0.30890976685072075)]",1
0,20441,State CD,CD,"[np.float64(0.32798191437195523), np.float64(-0.5363226540784766)]",0
0,20442,State DG,DG,"[np.float64(-0.5363226540784766), np.float64(0.48903479209028355)]",1
0,20443,State DN,DN,"[np.float64(-0.5363226540784766), np.float64(-0.32)]",1
0,20444,State CB,CB,"[np.float64(0.32798191437195523), np.float64(-0.3215882200725855)]",0
0,20445,State CE,CE,"[np.float64(0.32798191437195523), np.float64(0.30890976685072075)]",1
0,20446,State BN,BN,"[np.float64(-0.3215882200725855), np.float64(-0.32)]",0
0,20447,State CG,CG,"[np.float64(0.32798191437195523), np.float64(0.48903479209028355)]",1
0,20448,State AH,AH,"[np.float64(-0.16973221633951466), np.float64(-0.5085973241852557)]",1
0,20449,State CH,CH,"[np.float64(0.32798191437195523), np.float64(-0.5085973241852557)]",0
0,20450,State AB,AB,"[np.float64(-0.16973221633951466), np.float64(-0.3215882200725855)]",1
0,20451,State BF,BF,"[np.float64(-0.3215882200725855), np.float64(-0.4226402953143395)]",0
0,20452,State CD,CD,"[np.float64(0.32798191437195523), np.float64(-0.5363226540784766)]",0
0,20453,State EF,EF,"[np.float64(0.30890976685072075), np.float64(-0.4226402953143395)]",0
0,20454,State DH,DH,"[np.float64(-0.5363226540784766), np.float64(-0.5085973241852557)]",1
0,20455,State CG,CG,"[np.float64(0.32798191437195523), np.float64(0.48903479209028355)]",1
0,20456,State DH,DH,"[np.float64(-0.5363226540784766), np.float64(-0.5085973241852557)]",0
0,20457,State AD,AD,"[np.float64(-0.16973221633951466), np.float64(-0.5363226540784766)]",0
0,20458,State CH,CH,"[np.float64(0.32798191437195523), np.float64(-0.5085973241852557)]",0
0,20459,State CB,CB,"[np.float64(0.32798191437195523), np.float64(-0.3215882200725855)]",0
0,20460,State AF,AF,"[np.float64(-0.16973221633951466), np.float64(-0.4226402953143395)]",0
0,20461,State DH,DH,"[np.float64(-0.5363226540784766), np.float64(-0.5085973241852557)]",1
0,20462,State DG,DG,"[np.float64(-0.5363226540784766), np.float64(0.48903479209028355)]",1
0,20463,State DG,DG,"[np.float64(-0.5363226540784766), np.float64(0.48903479209028355)]",1
0,20464,State CE,CE,"[np.float64(0.32798191437195523), np.float64(0.30890976685072075)]",0
0,20465,State BN,BN,"[np.float64(-0.3215882200725855), np.float64(-0.32)]",0
0,20466,State DF,DF,"[np.float64(-0.5363226540784766), np.float64(-0.4226402953143395)]",1
0,20467,State CH,CH,"[np.float64(0.32798191437195523), np.float64(-0.5085973241852557)]",0
0,20468,State CH,CH,"[np.float64(0.32798191437195523), np.float64(-0.5085973241852557)]",0
0,20469,State CB,CB,"[np.float64(0.32798191437195523), np.float64(-0.3215882200725855)]",0
0,20470,State BG,BG,"[np.float64(-0.3215882200725855), np.float64(0.48903479209028355)]",1
