block_number,trial_number,state_id,stim_id,q_values,action
0,52224,State AH,AH,"[np.float64(0.3831460924309547), np.float64(-0.5317071212055787)]",0
0,52225,State BE,BE,"[np.float64(-0.048442770697622754), np.float64(0.20660582339994243)]",1
0,52226,State GN,GN,"[np.float64(0.0842904809093506), np.float64(-0.34)]",0
0,52227,State GH,GH,"[np.float64(0.0842904809093506), np.float64(-0.5317071212055787)]",0
0,52228,State AB,AB,"[np.float64(0.3831460924309547), np.float64(-0.048442770697622754)]",0
0,52229,State EH,EH,"[np.float64(0.20660582339994243), np.float64(-0.5317071212055787)]",0
0,52230,State DG,DG,"[np.float64(-0.11806126427274559), np.float64(0.0842904809093506)]",1
0,52231,State GN,GN,"[np.float64(0.0842904809093506), np.float64(-0.34)]",0
0,52232,State FN,FN,"[np.float64(-0.6674450368758974), np.float64(-0.34)]",1
0,52233,State AF,AF,"[np.float64(0.3831460924309547), np.float64(-0.6674450368758974)]",0
0,52234,State EH,EH,"[np.float64(0.20660582339994243), np.float64(-0.5317071212055787)]",0
0,52235,State BN,BN,"[np.float64(-0.048442770697622754), np.float64(-0.34)]",0
0,52236,State AF,AF,"[np.float64(0.3831460924309547), np.float64(-0.6674450368758974)]",0
0,52237,State CN,CN,"[np.float64(0.3836123224648469), np.float64(-0.34)]",0
0,52238,State AF,AF,"[np.float64(0.3831460924309547), np.float64(-0.6674450368758974)]",0
0,52239,State AH,AH,"[np.float64(0.3831460924309547), np.float64(-0.5317071212055787)]",0
0,52240,State GH,GH,"[np.float64(0.0842904809093506), np.float64(-0.5317071212055787)]",0
0,52241,State AG,AG,"[np.float64(0.3831460924309547), np.float64(0.0842904809093506)]",0
0,52242,State HN,HN,"[np.float64(-0.5317071212055787), np.float64(-0.34)]",0
0,52243,State BN,BN,"[np.float64(-0.048442770697622754), np.float64(-0.34)]",0
0,52244,State GN,GN,"[np.float64(0.0842904809093506), np.float64(-0.34)]",0
0,52245,State GN,GN,"[np.float64(0.0842904809093506), np.float64(-0.34)]",0
0,52246,State DG,DG,"[np.float64(-0.11806126427274559), np.float64(0.0842904809093506)]",1
0,52247,State EH,EH,"[np.float64(0.20660582339994243), np.float64(-0.5317071212055787)]",0
0,52248,State CB,CB,"[np.float64(0.3836123224648469), np.float64(-0.048442770697622754)]",0
0,52249,State GN,GN,"[np.float64(0.0842904809093506), np.float64(-0.34)]",1
0,52250,State BH,BH,"[np.float64(-0.048442770697622754), np.float64(-0.5317071212055787)]",0
0,52251,State CN,CN,"[np.float64(0.3836123224648469), np.float64(-0.34)]",0
0,52252,State BH,BH,"[np.float64(-0.048442770697622754), np.float64(-0.5317071212055787)]",0
0,52253,State CF,CF,"[np.float64(0.3836123224648469), np.float64(-0.6674450368758974)]",0
0,52254,State FN,FN,"[np.float64(-0.6674450368758974), np.float64(-0.34)]",1
0,52255,State HN,HN,"[np.float64(-0.5317071212055787), np.float64(-0.34)]",1
0,52256,State CF,CF,"[np.float64(0.3836123224648469), np.float64(-0.6674450368758974)]",0
0,52257,State DH,DH,"[np.float64(-0.11806126427274559), np.float64(-0.5317071212055787)]",0
0,52258,State BN,BN,"[np.float64(-0.048442770697622754), np.float64(-0.34)]",0
0,52259,State AB,AB,"[np.float64(0.3831460924309547), np.float64(-0.048442770697622754)]",0
0,52260,State BG,BG,"[np.float64(-0.048442770697622754), np.float64(0.0842904809093506)]",1
0,52261,State AN,AN,"[np.float64(0.3831460924309547), np.float64(-0.34)]",0
0,52262,State AH,AH,"[np.float64(0.3831460924309547), np.float64(-0.5317071212055787)]",0
0,52263,State CB,CB,"[np.float64(0.3836123224648469), np.float64(-0.048442770697622754)]",0
0,52264,State CH,CH,"[np.float64(0.3836123224648469), np.float64(-0.5317071212055787)]",0
0,52265,State HN,HN,"[np.float64(-0.5317071212055787), np.float64(-0.34)]",1
0,52266,State FN,FN,"[np.float64(-0.6674450368758974), np.float64(-0.34)]",1
0,52267,State CH,CH,"[np.float64(0.3836123224648469), np.float64(-0.5317071212055787)]",0
0,52268,State DH,DH,"[np.float64(-0.11806126427274559), np.float64(-0.5317071212055787)]",0
0,52269,State AG,AG,"[np.float64(0.3831460924309547), np.float64(0.0842904809093506)]",0
0,52270,State BE,BE,"[np.float64(-0.048442770697622754), np.float64(0.20660582339994243)]",1
0,52271,State GF,GF,"[np.float64(0.0842904809093506), np.float64(-0.6674450368758974)]",0
0,52272,State CD,CD,"[np.float64(0.3836123224648469), np.float64(-0.11806126427274559)]",0
0,52273,State BG,BG,"[np.float64(-0.048442770697622754), np.float64(0.0842904809093506)]",1
0,52274,State AH,AH,"[np.float64(0.3831460924309547), np.float64(-0.5317071212055787)]",0
0,52275,State CG,CG,"[np.float64(0.3836123224648469), np.float64(0.0842904809093506)]",0
0,52276,State CD,CD,"[np.float64(0.3836123224648469), np.float64(-0.11806126427274559)]",0
0,52277,State CF,CF,"[np.float64(0.3836123224648469), np.float64(-0.6674450368758974)]",0
0,52278,State CE,CE,"[np.float64(0.3836123224648469), np.float64(0.20660582339994243)]",0
