block_number,trial_number,state_index,state_id,stim_id,context,feedback,probabilities,rewards,q_values,action,prediction_errors,correct_action,accuracy,trial_total,averaged_pe,q_values1,q_values2
0,1,0,State CD,"['D', 'C']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[0, 0]",0,"[np.float64(0.0), np.float64(0.0)]",0,1,1,0.0,0.0,0.0
0,1,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[0, 0]",1,"[np.float64(0.46), np.float64(-0.54)]",0,0,1,-0.04000000000000001,0.0,0.0
0,1,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[0, 0]",1,"[np.float64(0.54), np.float64(-0.46)]",0,0,1,0.04000000000000001,0.0,0.0
0,2,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.0), np.float64(0.0)]",1,"[np.float64(0.54), np.float64(-0.46)]",0,0,2,0.04000000000000001,0.0,0.0
0,2,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(0.0184), np.float64(-0.0918)]",1,"[np.float64(0.4416), np.float64(-0.44820000000000004)]",0,0,2,-0.003300000000000025,0.0184,-0.0918
0,1,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[0, 0]",1,"[np.float64(-0.07999999999999996), np.float64(-0.07999999999999996)]",0,0,1,-0.07999999999999996,0.0,0.0
0,2,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(-0.0031999999999999984), np.float64(-0.013599999999999994)]",1,"[np.float64(0.4632), np.float64(-0.5264000000000001)]",0,0,2,-0.031600000000000045,-0.0031999999999999984,-0.013599999999999994
0,2,0,State AB,"['B', 'A']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(0.0216), np.float64(-0.0782)]",0,"[np.float64(-0.0216), np.float64(0.0782)]",0,1,2,0.028300000000000002,0.0216,-0.0782
0,3,0,State EF,"['E', 'F']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[-1, 0]","[np.float64(0.036064), np.float64(-0.16799400000000003)]",0,"[np.float64(-0.576064), np.float64(0.627994)]",0,1,3,0.025965000000000016,0.036064,-0.16799400000000003
0,3,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(0.015328000000000001), np.float64(-0.10308800000000001)]",0,"[np.float64(0.444672), np.float64(-0.436912)]",0,1,3,0.0038799999999999946,0.015328000000000001,-0.10308800000000001
0,4,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(0.09092224000000002), np.float64(-0.12056448000000002)]",0,"[np.float64(0.36907776000000003), np.float64(-0.41943552)]",0,1,4,-0.025178879999999987,0.09092224000000002,-0.12056448000000002
0,3,0,State AB,"['B', 'A']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(0.017928), np.float64(-0.075072)]",0,"[np.float64(-0.017928), np.float64(0.075072)]",0,1,3,0.028572,0.017928,-0.075072
0,4,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(-0.06186688000000001), np.float64(-0.14287424000000004)]",0,"[np.float64(-0.018133119999999947), np.float64(0.06287424000000008)]",0,1,4,0.022370560000000067,-0.06186688000000001,-0.14287424000000004
0,3,0,State CD,"['C', 'D']",Reward,"[0.0, 10.0]","['75', '25']","[0, 1]","[np.float64(0.0216), np.float64(-0.0782)]",1,"[np.float64(-0.48160000000000003), np.float64(0.6182000000000001)]",0,0,3,0.06830000000000003,0.0216,-0.0782
0,4,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.0023360000000000013), np.float64(0.026894000000000015)]",0,"[np.float64(0.537664), np.float64(-0.48689400000000005)]",0,1,4,0.02538499999999999,0.0023360000000000013,0.026894000000000015
